,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune
15092,16196,21001A32-,AURORE,16196,20,1,female,parent,8767,4,single_with_child,6,Worker,21001A32-,Anderlecht
15100,16328,21001A32-,AURORE,16328,19,1,female,parent,8835,4,single_with_child,6,Worker,21001A32-,Anderlecht
15101,16329,21001A32-,AURORE,16329,19,1,female,parent,8836,4,single_with_child,6,Worker,21001A32-,Anderlecht
15102,16330,21001A32-,AURORE,16330,19,1,female,parent,8837,4,single_with_child,6,Worker,21001A32-,Anderlecht
15103,16331,21001A32-,AURORE,16331,19,1,female,parent,8838,4,single_with_child,6,Worker,21001A32-,Anderlecht
15111,16463,21001A32-,AURORE,16463,18,1,female,parent,8906,4,single_with_child,6,Worker,21001A32-,Anderlecht
15112,16464,21001A32-,AURORE,16464,18,1,female,parent,8907,4,single_with_child,6,Worker,21001A32-,Anderlecht
15113,16465,21001A32-,AURORE,16465,18,1,female,parent,8908,4,single_with_child,6,Worker,21001A32-,Anderlecht
15114,16466,21001A32-,AURORE,16466,18,1,female,parent,8909,4,single_with_child,6,Worker,21001A32-,Anderlecht
18352,20032,21001A41-,ROMAIN ROLLAND,20032,20,1,female,parent,11073,4,single_with_child,6,Worker,21001A41-,Anderlecht
18356,20112,21001A41-,ROMAIN ROLLAND,20112,19,1,female,parent,11114,4,single_with_child,6,Worker,21001A41-,Anderlecht
18357,20113,21001A41-,ROMAIN ROLLAND,20113,19,1,female,parent,11115,4,single_with_child,6,Worker,21001A41-,Anderlecht
18361,20193,21001A41-,ROMAIN ROLLAND,20193,18,1,female,parent,11156,4,single_with_child,6,Worker,21001A41-,Anderlecht
18362,20194,21001A41-,ROMAIN ROLLAND,20194,18,1,female,parent,11157,4,single_with_child,6,Worker,21001A41-,Anderlecht
19611,21595,21001A85-,AUBADE,21595,20,1,female,parent,12054,4,single_with_child,6,Worker,21001A85-,Anderlecht
20920,22944,21001A51-,SCHERDEMAEL,22944,20,1,female,parent,12764,4,single_with_child,6,Worker,21001A51-,Anderlecht
20926,23018,21001A51-,SCHERDEMAEL,23018,19,1,female,parent,12802,4,single_with_child,6,Worker,21001A51-,Anderlecht
20927,23019,21001A51-,SCHERDEMAEL,23019,19,1,female,parent,12803,4,single_with_child,6,Worker,21001A51-,Anderlecht
20933,23093,21001A51-,SCHERDEMAEL,23093,18,1,female,parent,12841,4,single_with_child,6,Worker,21001A51-,Anderlecht
20934,23094,21001A51-,SCHERDEMAEL,23094,18,1,female,parent,12842,4,single_with_child,6,Worker,21001A51-,Anderlecht
21769,24065,21001A42-,KAT,24065,20,1,female,parent,13494,4,single_with_child,6,Worker,21001A42-,Anderlecht
24516,26996,21001A552,TREFLE,26996,20,1,female,parent,14917,4,single_with_child,6,Worker,21001A552,Anderlecht
24517,26997,21001A552,TREFLE,26997,20,1,female,parent,14918,4,single_with_child,6,Worker,21001A552,Anderlecht
24524,27066,21001A552,TREFLE,27066,19,1,female,parent,14955,4,single_with_child,6,Worker,21001A552,Anderlecht
24525,27067,21001A552,TREFLE,27067,19,1,female,parent,14956,4,single_with_child,6,Worker,21001A552,Anderlecht
24532,27136,21001A552,TREFLE,27136,18,1,female,parent,14993,4,single_with_child,6,Worker,21001A552,Anderlecht
24533,27137,21001A552,TREFLE,27137,18,1,female,parent,14994,4,single_with_child,6,Worker,21001A552,Anderlecht
26144,28872,21001A84-,POESIE,28872,20,1,female,parent,16038,4,single_with_child,6,Worker,21001A84-,Anderlecht
26153,28905,21001A84-,POESIE,28905,19,1,female,parent,16053,4,single_with_child,6,Worker,21001A84-,Anderlecht
26162,28938,21001A84-,POESIE,28938,18,1,female,parent,16068,4,single_with_child,6,Worker,21001A84-,Anderlecht
28090,30914,21001A34-,ROUE - CITE JARDIN,30914,20,1,female,parent,16979,4,single_with_child,6,Worker,21001A34-,Anderlecht
28091,30915,21001A34-,ROUE - CITE JARDIN,30915,20,1,female,parent,16980,4,single_with_child,6,Worker,21001A34-,Anderlecht
28094,30966,21001A34-,ROUE - CITE JARDIN,30966,19,1,female,parent,17006,4,single_with_child,6,Worker,21001A34-,Anderlecht
28095,30967,21001A34-,ROUE - CITE JARDIN,30967,19,1,female,parent,17007,4,single_with_child,6,Worker,21001A34-,Anderlecht
28096,30968,21001A34-,ROUE - CITE JARDIN,30968,19,1,female,parent,17008,4,single_with_child,6,Worker,21001A34-,Anderlecht
28099,31019,21001A34-,ROUE - CITE JARDIN,31019,18,1,female,parent,17034,4,single_with_child,6,Worker,21001A34-,Anderlecht
28100,31020,21001A34-,ROUE - CITE JARDIN,31020,18,1,female,parent,17035,4,single_with_child,6,Worker,21001A34-,Anderlecht
28101,31021,21001A34-,ROUE - CITE JARDIN,31021,18,1,female,parent,17036,4,single_with_child,6,Worker,21001A34-,Anderlecht
29504,32520,21001A350,CERIA - ZONE D'HABITAT,32520,20,1,female,parent,17885,4,single_with_child,6,Worker,21001A350,Anderlecht
29511,32559,21001A350,CERIA - ZONE D'HABITAT,32559,19,1,female,parent,17906,4,single_with_child,6,Worker,21001A350,Anderlecht
29518,32598,21001A350,CERIA - ZONE D'HABITAT,32598,18,1,female,parent,17927,4,single_with_child,6,Worker,21001A350,Anderlecht
31565,34709,21001A441,DOCTEUR ROUX,34709,20,1,female,parent,19037,4,single_with_child,6,Worker,21001A441,Anderlecht
31566,34710,21001A441,DOCTEUR ROUX,34710,20,1,female,parent,19038,4,single_with_child,6,Worker,21001A441,Anderlecht
31572,34766,21001A441,DOCTEUR ROUX,34766,19,1,female,parent,19068,4,single_with_child,6,Worker,21001A441,Anderlecht
31578,34822,21001A441,DOCTEUR ROUX,34822,18,1,female,parent,19098,4,single_with_child,6,Worker,21001A441,Anderlecht
33317,36661,21001C512,CHANTS D'OISEAUX,36661,20,1,female,parent,20294,4,single_with_child,6,Worker,21001C512,Anderlecht
33322,36722,21001C512,CHANTS D'OISEAUX,36722,19,1,female,parent,20325,4,single_with_child,6,Worker,21001C512,Anderlecht
33327,36783,21001C512,CHANTS D'OISEAUX,36783,18,1,female,parent,20356,4,single_with_child,6,Worker,21001C512,Anderlecht
34758,38326,21001C71-,BON AIR - CITE JARDIN,38326,20,1,female,parent,21230,4,single_with_child,6,Worker,21001C71-,Anderlecht
34765,38367,21001C71-,BON AIR - CITE JARDIN,38367,19,1,female,parent,21251,4,single_with_child,6,Worker,21001C71-,Anderlecht
34766,38368,21001C71-,BON AIR - CITE JARDIN,38368,19,1,female,parent,21252,4,single_with_child,6,Worker,21001C71-,Anderlecht
34773,38409,21001C71-,BON AIR - CITE JARDIN,38409,18,1,female,parent,21273,4,single_with_child,6,Worker,21001C71-,Anderlecht
34774,38410,21001C71-,BON AIR - CITE JARDIN,38410,18,1,female,parent,21274,4,single_with_child,6,Worker,21001C71-,Anderlecht
36523,40227,21001A82-,MOORTEBEEK,40227,20,1,female,parent,22287,4,single_with_child,6,Worker,21001A82-,Anderlecht
36524,40228,21001A82-,MOORTEBEEK,40228,20,1,female,parent,22288,4,single_with_child,6,Worker,21001A82-,Anderlecht
36529,40297,21001A82-,MOORTEBEEK,40297,19,1,female,parent,22323,4,single_with_child,6,Worker,21001A82-,Anderlecht
36530,40298,21001A82-,MOORTEBEEK,40298,19,1,female,parent,22324,4,single_with_child,6,Worker,21001A82-,Anderlecht
36531,40299,21001A82-,MOORTEBEEK,40299,19,1,female,parent,22325,4,single_with_child,6,Worker,21001A82-,Anderlecht
36536,40368,21001A82-,MOORTEBEEK,40368,18,1,female,parent,22360,4,single_with_child,6,Worker,21001A82-,Anderlecht
36537,40369,21001A82-,MOORTEBEEK,40369,18,1,female,parent,22361,4,single_with_child,6,Worker,21001A82-,Anderlecht
36538,40370,21001A82-,MOORTEBEEK,40370,18,1,female,parent,22362,4,single_with_child,6,Worker,21001A82-,Anderlecht
38949,43029,21001A451,VENIZELOS,43029,20,1,female,parent,23968,4,single_with_child,6,Worker,21001A451,Anderlecht
38957,43077,21001A451,VENIZELOS,43077,19,1,female,parent,23993,4,single_with_child,6,Worker,21001A451,Anderlecht
38965,43125,21001A451,VENIZELOS,43125,18,1,female,parent,24018,4,single_with_child,6,Worker,21001A451,Anderlecht
41298,45538,21001A30-,BIZET,45538,20,1,female,parent,25106,4,single_with_child,6,Worker,21001A30-,Anderlecht
41299,45539,21001A30-,BIZET,45539,20,1,female,parent,25107,4,single_with_child,6,Worker,21001A30-,Anderlecht
41300,45540,21001A30-,BIZET,45540,20,1,female,parent,25108,4,single_with_child,6,Worker,21001A30-,Anderlecht
41305,45599,21001A30-,BIZET,45599,19,1,female,parent,25139,4,single_with_child,6,Worker,21001A30-,Anderlecht
41306,45600,21001A30-,BIZET,45600,19,1,female,parent,25140,4,single_with_child,6,Worker,21001A30-,Anderlecht
41311,45659,21001A30-,BIZET,45659,18,1,female,parent,25171,4,single_with_child,6,Worker,21001A30-,Anderlecht
41312,45660,21001A30-,BIZET,45660,18,1,female,parent,25172,4,single_with_child,6,Worker,21001A30-,Anderlecht
44304,48760,21001A80-,SILLON,48760,20,1,female,parent,27048,4,single_with_child,6,Worker,21001A80-,Anderlecht
44305,48761,21001A80-,SILLON,48761,20,1,female,parent,27049,4,single_with_child,6,Worker,21001A80-,Anderlecht
44306,48762,21001A80-,SILLON,48762,20,1,female,parent,27050,4,single_with_child,6,Worker,21001A80-,Anderlecht
44311,48863,21001A80-,SILLON,48863,19,1,female,parent,27102,4,single_with_child,6,Worker,21001A80-,Anderlecht
44312,48864,21001A80-,SILLON,48864,19,1,female,parent,27103,4,single_with_child,6,Worker,21001A80-,Anderlecht
44317,48965,21001A80-,SILLON,48965,18,1,female,parent,27155,4,single_with_child,6,Worker,21001A80-,Anderlecht
44318,48966,21001A80-,SILLON,48966,18,1,female,parent,27156,4,single_with_child,6,Worker,21001A80-,Anderlecht
46631,51471,21001A81-,BROECK,51471,20,1,female,parent,28744,4,single_with_child,6,Worker,21001A81-,Anderlecht
46632,51472,21001A81-,BROECK,51472,20,1,female,parent,28745,4,single_with_child,6,Worker,21001A81-,Anderlecht
46638,51546,21001A81-,BROECK,51546,19,1,female,parent,28783,4,single_with_child,6,Worker,21001A81-,Anderlecht
46639,51547,21001A81-,BROECK,51547,19,1,female,parent,28784,4,single_with_child,6,Worker,21001A81-,Anderlecht
46645,51621,21001A81-,BROECK,51621,18,1,female,parent,28822,4,single_with_child,6,Worker,21001A81-,Anderlecht
46646,51622,21001A81-,BROECK,51622,18,1,female,parent,28823,4,single_with_child,6,Worker,21001A81-,Anderlecht
47776,52888,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,52888,20,1,female,parent,29602,4,single_with_child,6,Worker,21001A31-,Anderlecht
49357,54533,21001A031,RAUTER-SUD,54533,20,1,female,parent,30316,4,single_with_child,6,Worker,21001A031,Anderlecht
49358,54534,21001A031,RAUTER-SUD,54534,20,1,female,parent,30317,4,single_with_child,6,Worker,21001A031,Anderlecht
49365,54571,21001A031,RAUTER-SUD,54571,19,1,female,parent,30337,4,single_with_child,6,Worker,21001A031,Anderlecht
49366,54572,21001A031,RAUTER-SUD,54572,19,1,female,parent,30338,4,single_with_child,6,Worker,21001A031,Anderlecht
49373,54609,21001A031,RAUTER-SUD,54609,18,1,female,parent,30358,4,single_with_child,6,Worker,21001A031,Anderlecht
49374,54610,21001A031,RAUTER-SUD,54610,18,1,female,parent,30359,4,single_with_child,6,Worker,21001A031,Anderlecht
50764,56060,21001B22-,BROGNIEZ-SUD,56060,20,1,female,parent,31190,4,single_with_child,6,Worker,21001B22-,Anderlecht
50771,56079,21001B22-,BROGNIEZ-SUD,56079,19,1,female,parent,31200,4,single_with_child,6,Worker,21001B22-,Anderlecht
50776,56096,21001B22-,BROGNIEZ-SUD,56096,18,1,female,parent,31210,4,single_with_child,6,Worker,21001B22-,Anderlecht
52571,57915,21001B321,ALBERT I- QUARTIER,57915,20,1,female,parent,32088,4,single_with_child,6,Worker,21001B321,Anderlecht
52574,57918,21001B321,ALBERT I- QUARTIER,57918,20,1,female,parent,32089,4,single_with_child,6,Worker,21001B321,Anderlecht
52591,57965,21001B321,ALBERT I- QUARTIER,57965,19,1,female,parent,32110,4,single_with_child,6,Worker,21001B321,Anderlecht
52592,57966,21001B321,ALBERT I- QUARTIER,57966,19,1,female,parent,32111,4,single_with_child,6,Worker,21001B321,Anderlecht
52601,58005,21001B321,ALBERT I- QUARTIER,58005,18,1,female,parent,32132,4,single_with_child,6,Worker,21001B321,Anderlecht
52602,58006,21001B321,ALBERT I- QUARTIER,58006,18,1,female,parent,32133,4,single_with_child,6,Worker,21001B321,Anderlecht
56949,62413,21001B20-,CONSEIL-NORD,62413,20,1,female,parent,33971,4,single_with_child,6,Worker,21001B20-,Anderlecht
56954,62418,21001B20-,CONSEIL-NORD,62418,20,1,female,parent,33972,4,single_with_child,6,Worker,21001B20-,Anderlecht
56958,62422,21001B20-,CONSEIL-NORD,62422,20,1,female,parent,33973,4,single_with_child,6,Worker,21001B20-,Anderlecht
56961,62425,21001B20-,CONSEIL-NORD,62425,20,1,female,parent,33974,4,single_with_child,6,Worker,21001B20-,Anderlecht
56965,62429,21001B20-,CONSEIL-NORD,62429,20,1,female,parent,33975,4,single_with_child,6,Worker,21001B20-,Anderlecht
56967,62431,21001B20-,CONSEIL-NORD,62431,20,1,female,parent,33976,4,single_with_child,6,Worker,21001B20-,Anderlecht
56984,62504,21001B20-,CONSEIL-NORD,62504,19,1,female,parent,34011,4,single_with_child,6,Worker,21001B20-,Anderlecht
56986,62506,21001B20-,CONSEIL-NORD,62506,19,1,female,parent,34012,4,single_with_child,6,Worker,21001B20-,Anderlecht
56988,62508,21001B20-,CONSEIL-NORD,62508,19,1,female,parent,34013,4,single_with_child,6,Worker,21001B20-,Anderlecht
57001,62577,21001B20-,CONSEIL-NORD,62577,18,1,female,parent,34048,4,single_with_child,6,Worker,21001B20-,Anderlecht
57002,62578,21001B20-,CONSEIL-NORD,62578,18,1,female,parent,34049,4,single_with_child,6,Worker,21001B20-,Anderlecht
57003,62579,21001B20-,CONSEIL-NORD,62579,18,1,female,parent,34050,4,single_with_child,6,Worker,21001B20-,Anderlecht
59580,65268,21001B23-,CONSEIL-SUD,65268,20,1,female,parent,35905,4,single_with_child,6,Worker,21001B23-,Anderlecht
59593,65299,21001B23-,CONSEIL-SUD,65299,19,1,female,parent,35919,4,single_with_child,6,Worker,21001B23-,Anderlecht
59603,65327,21001B23-,CONSEIL-SUD,65327,18,1,female,parent,35933,4,single_with_child,6,Worker,21001B23-,Anderlecht
61050,66810,21001A142,VEEWEYDE-NORD,66810,20,1,female,parent,36851,4,single_with_child,6,Worker,21001A142,Anderlecht
61055,66837,21001A142,VEEWEYDE-NORD,66837,19,1,female,parent,36866,4,single_with_child,6,Worker,21001A142,Anderlecht
61060,66864,21001A142,VEEWEYDE-NORD,66864,18,1,female,parent,36881,4,single_with_child,6,Worker,21001A142,Anderlecht
62384,68232,21001A051,LINDE-EST,68232,20,1,female,parent,37554,4,single_with_child,6,Worker,21001A051,Anderlecht
62386,68234,21001A051,LINDE-EST,68234,20,1,female,parent,37555,4,single_with_child,6,Worker,21001A051,Anderlecht
62401,68273,21001A051,LINDE-EST,68273,19,1,female,parent,37573,4,single_with_child,6,Worker,21001A051,Anderlecht
62413,68309,21001A051,LINDE-EST,68309,18,1,female,parent,37591,4,single_with_child,6,Worker,21001A051,Anderlecht
64744,70688,21001A941,CROCUS,70688,20,1,female,parent,38804,4,single_with_child,6,Worker,21001A941,Anderlecht
64745,70689,21001A941,CROCUS,70689,20,1,female,parent,38805,4,single_with_child,6,Worker,21001A941,Anderlecht
64749,70743,21001A941,CROCUS,70743,19,1,female,parent,38833,4,single_with_child,6,Worker,21001A941,Anderlecht
64750,70744,21001A941,CROCUS,70744,19,1,female,parent,38834,4,single_with_child,6,Worker,21001A941,Anderlecht
64754,70798,21001A941,CROCUS,70798,18,1,female,parent,38862,4,single_with_child,6,Worker,21001A941,Anderlecht
64755,70799,21001A941,CROCUS,70799,18,1,female,parent,38863,4,single_with_child,6,Worker,21001A941,Anderlecht
67116,73284,21001A90-,SCHEUTKAPEL,73284,20,1,female,parent,40231,4,single_with_child,6,Worker,21001A90-,Anderlecht
67117,73285,21001A90-,SCHEUTKAPEL,73285,20,1,female,parent,40232,4,single_with_child,6,Worker,21001A90-,Anderlecht
67122,73322,21001A90-,SCHEUTKAPEL,73322,19,1,female,parent,40252,4,single_with_child,6,Worker,21001A90-,Anderlecht
67127,73359,21001A90-,SCHEUTKAPEL,73359,18,1,female,parent,40272,4,single_with_child,6,Worker,21001A90-,Anderlecht
68574,74870,21001A132,RAUTER-NORD,74870,20,1,female,parent,41190,4,single_with_child,6,Worker,21001A132,Anderlecht
68578,74894,21001A132,RAUTER-NORD,74894,19,1,female,parent,41203,4,single_with_child,6,Worker,21001A132,Anderlecht
68582,74918,21001A132,RAUTER-NORD,74918,18,1,female,parent,41216,4,single_with_child,6,Worker,21001A132,Anderlecht
69399,75775,21001B31-,ALBERT I- IMMEUBLES,75775,20,1,female,parent,41702,4,single_with_child,6,Worker,21001B31-,Anderlecht
72497,78921,21001B25-,REVISION-NORD,78921,20,1,female,parent,42963,4,single_with_child,6,Worker,21001B25-,Anderlecht
72498,78922,21001B25-,REVISION-NORD,78922,20,1,female,parent,42964,4,single_with_child,6,Worker,21001B25-,Anderlecht
72499,78923,21001B25-,REVISION-NORD,78923,20,1,female,parent,42965,4,single_with_child,6,Worker,21001B25-,Anderlecht
72500,78924,21001B25-,REVISION-NORD,78924,20,1,female,parent,42966,4,single_with_child,6,Worker,21001B25-,Anderlecht
72501,78925,21001B25-,REVISION-NORD,78925,20,1,female,parent,42967,4,single_with_child,6,Worker,21001B25-,Anderlecht
72508,78984,21001B25-,REVISION-NORD,78984,19,1,female,parent,42998,4,single_with_child,6,Worker,21001B25-,Anderlecht
72509,78985,21001B25-,REVISION-NORD,78985,19,1,female,parent,42999,4,single_with_child,6,Worker,21001B25-,Anderlecht
72516,79044,21001B25-,REVISION-NORD,79044,18,1,female,parent,43030,4,single_with_child,6,Worker,21001B25-,Anderlecht
72517,79045,21001B25-,REVISION-NORD,79045,18,1,female,parent,43031,4,single_with_child,6,Worker,21001B25-,Anderlecht
74114,80746,21001B11-,ROSEE-OUEST,80746,20,1,female,parent,44218,4,single_with_child,6,Worker,21001B11-,Anderlecht
76762,83434,21001A72-,OSSEGEM,83434,20,1,female,parent,45466,4,single_with_child,6,Worker,21001A72-,Anderlecht
76764,83436,21001A72-,OSSEGEM,83436,20,1,female,parent,45467,4,single_with_child,6,Worker,21001A72-,Anderlecht
76766,83438,21001A72-,OSSEGEM,83438,20,1,female,parent,45468,4,single_with_child,6,Worker,21001A72-,Anderlecht
76776,83514,21001A72-,OSSEGEM,83514,19,1,female,parent,45505,4,single_with_child,6,Worker,21001A72-,Anderlecht
76778,83516,21001A72-,OSSEGEM,83516,19,1,female,parent,45506,4,single_with_child,6,Worker,21001A72-,Anderlecht
76787,83591,21001A72-,OSSEGEM,83591,18,1,female,parent,45543,4,single_with_child,6,Worker,21001A72-,Anderlecht
76788,83592,21001A72-,OSSEGEM,83592,18,1,female,parent,45544,4,single_with_child,6,Worker,21001A72-,Anderlecht
79929,86865,21001A011,KLEINMOLEN,86865,20,1,female,parent,47266,4,single_with_child,6,Worker,21001A011,Anderlecht
79930,86866,21001A011,KLEINMOLEN,86866,20,1,female,parent,47267,4,single_with_child,6,Worker,21001A011,Anderlecht
79931,86867,21001A011,KLEINMOLEN,86867,20,1,female,parent,47268,4,single_with_child,6,Worker,21001A011,Anderlecht
79937,86907,21001A011,KLEINMOLEN,86907,19,1,female,parent,47290,4,single_with_child,6,Worker,21001A011,Anderlecht
79938,86908,21001A011,KLEINMOLEN,86908,19,1,female,parent,47291,4,single_with_child,6,Worker,21001A011,Anderlecht
79944,86948,21001A011,KLEINMOLEN,86948,18,1,female,parent,47313,4,single_with_child,6,Worker,21001A011,Anderlecht
79945,86949,21001A011,KLEINMOLEN,86949,18,1,female,parent,47314,4,single_with_child,6,Worker,21001A011,Anderlecht
81751,88823,21001B17-,ABATTOIR,88823,20,1,female,parent,48535,4,single_with_child,6,Worker,21001B17-,Anderlecht
81761,88841,21001B17-,ABATTOIR,88841,19,1,female,parent,48543,4,single_with_child,6,Worker,21001B17-,Anderlecht
81768,88856,21001B17-,ABATTOIR,88856,18,1,female,parent,48551,4,single_with_child,6,Worker,21001B17-,Anderlecht
82688,89792,21001A712,SCHEUT - DE SMET,89792,20,1,female,parent,49009,4,single_with_child,6,Worker,21001A712,Anderlecht
85711,92871,21001B21-,BROGNIEZ-NORD,92871,20,1,female,parent,50284,4,single_with_child,6,Worker,21001B21-,Anderlecht
85716,92876,21001B21-,BROGNIEZ-NORD,92876,20,1,female,parent,50285,4,single_with_child,6,Worker,21001B21-,Anderlecht
85718,92878,21001B21-,BROGNIEZ-NORD,92878,20,1,female,parent,50286,4,single_with_child,6,Worker,21001B21-,Anderlecht
85733,92927,21001B21-,BROGNIEZ-NORD,92927,19,1,female,parent,50309,4,single_with_child,6,Worker,21001B21-,Anderlecht
85734,92928,21001B21-,BROGNIEZ-NORD,92928,19,1,female,parent,50310,4,single_with_child,6,Worker,21001B21-,Anderlecht
85742,92970,21001B21-,BROGNIEZ-NORD,92970,18,1,female,parent,50333,4,single_with_child,6,Worker,21001B21-,Anderlecht
85743,92971,21001B21-,BROGNIEZ-NORD,92971,18,1,female,parent,50334,4,single_with_child,6,Worker,21001B21-,Anderlecht
88512,95808,21001A911,SCHEUT-EST,95808,20,1,female,parent,51961,4,single_with_child,6,Worker,21001A911,Anderlecht
88513,95809,21001A911,SCHEUT-EST,95809,20,1,female,parent,51962,4,single_with_child,6,Worker,21001A911,Anderlecht
88518,95842,21001A911,SCHEUT-EST,95842,19,1,female,parent,51980,4,single_with_child,6,Worker,21001A911,Anderlecht
88523,95875,21001A911,SCHEUT-EST,95875,18,1,female,parent,51998,4,single_with_child,6,Worker,21001A911,Anderlecht
90246,97654,21001A931,AGRAFE-NORBERT GILLE,97654,20,1,female,parent,52869,4,single_with_child,6,Worker,21001A931,Anderlecht
90262,97700,21001A931,AGRAFE-NORBERT GILLE,97700,19,1,female,parent,52890,4,single_with_child,6,Worker,21001A931,Anderlecht
90277,97745,21001A931,AGRAFE-NORBERT GILLE,97745,18,1,female,parent,52911,4,single_with_child,6,Worker,21001A931,Anderlecht
92737,100265,21001A74-,SCHEUT-OUEST,100265,20,1,female,parent,54144,4,single_with_child,6,Worker,21001A74-,Anderlecht
92738,100266,21001A74-,SCHEUT-OUEST,100266,20,1,female,parent,54145,4,single_with_child,6,Worker,21001A74-,Anderlecht
92739,100267,21001A74-,SCHEUT-OUEST,100267,20,1,female,parent,54146,4,single_with_child,6,Worker,21001A74-,Anderlecht
92743,100315,21001A74-,SCHEUT-OUEST,100315,19,1,female,parent,54171,4,single_with_child,6,Worker,21001A74-,Anderlecht
92747,100363,21001A74-,SCHEUT-OUEST,100363,18,1,female,parent,54196,4,single_with_child,6,Worker,21001A74-,Anderlecht
