,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code_x,Commune_x,Code_y,Name,Commune_y,WorkID,WorkType
60,134674,21002A23-,TH. BALIS (PLACE),134674,18,0,male,child,72663,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
61,134686,21002A23-,TH. BALIS (PLACE),134686,18,1,female,child,72666,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
63,134924,21002A23-,TH. BALIS (PLACE),134924,18,0,male,child,72766,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
66,136580,21002A22-,CANARIS (AVENUE DES),136580,18,0,male,parent,73650,3,single,,,21002A22-,Auderghem,21002A22-,CANARIS (AVENUE DES),Auderghem,6,Worker
68,135975,21002A22-,CANARIS (AVENUE DES),135975,18,0,male,child,73350,1,couple_with_child,,,21002A22-,Auderghem,21002A22-,CANARIS (AVENUE DES),Auderghem,6,Worker
69,136025,21002A22-,CANARIS (AVENUE DES),136025,18,1,female,child,73372,1,couple_with_child,,,21002A22-,Auderghem,21002A22-,CANARIS (AVENUE DES),Auderghem,6,Worker
70,137756,21002A24-,AVENUE DE BROUCKERE,137756,18,1,female,parent,74264,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
71,137790,21002A24-,AVENUE DE BROUCKERE,137790,18,1,female,parent,74281,3,single,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
72,138007,21002A24-,AVENUE DE BROUCKERE,138007,19,0,male,parent,74464,3,single,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
73,138008,21002A24-,AVENUE DE BROUCKERE,138008,18,0,male,parent,74465,3,single,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
74,137057,21002A24-,AVENUE DE BROUCKERE,137057,18,0,male,child,73949,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
75,137059,21002A24-,AVENUE DE BROUCKERE,137059,18,1,female,child,73949,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
76,137129,21002A24-,AVENUE DE BROUCKERE,137129,18,1,female,child,73981,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
77,137135,21002A24-,AVENUE DE BROUCKERE,137135,18,0,male,child,73983,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
78,137162,21002A24-,AVENUE DE BROUCKERE,137162,18,0,male,child,73996,4,single_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
79,137169,21002A24-,AVENUE DE BROUCKERE,137169,18,1,female,child,73998,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
80,137239,21002A24-,AVENUE DE BROUCKERE,137239,18,0,male,child,74033,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
82,137278,21002A24-,AVENUE DE BROUCKERE,137278,18,0,male,child,74051,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
83,137371,21002A24-,AVENUE DE BROUCKERE,137371,18,1,female,child,74095,1,couple_with_child,,,21002A24-,Auderghem,21002A24-,AVENUE DE BROUCKERE,Auderghem,6,Worker
85,139322,21002A25-,WATERMAEL (CHAUSSEE DE),139322,18,1,female,parent,75087,1,couple_with_child,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
86,139364,21002A25-,WATERMAEL (CHAUSSEE DE),139364,18,1,female,parent,75108,3,single,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
89,139578,21002A25-,WATERMAEL (CHAUSSEE DE),139578,18,0,male,parent,75278,3,single,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
90,139579,21002A25-,WATERMAEL (CHAUSSEE DE),139579,18,0,male,parent,75279,3,single,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
91,138428,21002A25-,WATERMAEL (CHAUSSEE DE),138428,18,1,female,child,74739,4,single_with_child,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
92,138571,21002A25-,WATERMAEL (CHAUSSEE DE),138571,18,1,female,child,74791,1,couple_with_child,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
93,138636,21002A25-,WATERMAEL (CHAUSSEE DE),138636,18,1,female,child,74814,1,couple_with_child,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
94,138739,21002A25-,WATERMAEL (CHAUSSEE DE),138739,18,1,female,child,74857,1,couple_with_child,,,21002A25-,Auderghem,21002A25-,WATERMAEL (CHAUSSEE DE),Auderghem,6,Worker
95,140352,21002A45-,VAL DUC,140352,18,1,female,parent,75693,1,couple_with_child,,,21002A45-,Auderghem,21002A45-,VAL DUC,Auderghem,6,Worker
96,140506,21002A45-,VAL DUC,140506,18,0,male,parent,75793,3,single,,,21002A45-,Auderghem,21002A45-,VAL DUC,Auderghem,6,Worker
99,141520,21002A441,CHANT D'OISEAUX,141520,18,1,female,parent,76279,1,couple_with_child,,,21002A441,Auderghem,21002A441,CHANT D'OISEAUX,Auderghem,6,Worker
100,141522,21002A441,CHANT D'OISEAUX,141522,18,1,female,parent,76280,1,couple_with_child,,,21002A441,Auderghem,21002A441,CHANT D'OISEAUX,Auderghem,6,Worker
104,142916,21002A130,PARC DES PRINCES,142916,18,0,male,parent,77015,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
105,142919,21002A130,PARC DES PRINCES,142919,18,0,male,parent,77016,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
106,142922,21002A130,PARC DES PRINCES,142922,18,0,male,parent,77017,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
107,142995,21002A130,PARC DES PRINCES,142995,18,1,female,parent,77054,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
109,142999,21002A130,PARC DES PRINCES,142999,18,1,female,parent,77056,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
110,142369,21002A130,PARC DES PRINCES,142369,18,1,female,child,76833,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
111,142395,21002A130,PARC DES PRINCES,142395,18,1,female,child,76842,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
112,142433,21002A130,PARC DES PRINCES,142433,18,0,male,child,76854,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,6,Worker
113,144246,21002A311,AMITIE (PLACE DE L'),144246,18,1,female,parent,77743,1,couple_with_child,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
114,144248,21002A311,AMITIE (PLACE DE L'),144248,18,1,female,parent,77744,1,couple_with_child,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
115,144270,21002A311,AMITIE (PLACE DE L'),144270,18,1,female,parent,77755,3,single,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
116,144271,21002A311,AMITIE (PLACE DE L'),144271,18,1,female,parent,77756,3,single,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
118,144415,21002A311,AMITIE (PLACE DE L'),144415,18,0,male,parent,77876,3,single,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
119,144416,21002A311,AMITIE (PLACE DE L'),144416,18,0,male,parent,77877,3,single,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
122,143847,21002A311,AMITIE (PLACE DE L'),143847,18,1,female,child,77571,4,single_with_child,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
123,143873,21002A311,AMITIE (PLACE DE L'),143873,18,0,male,child,77583,4,single_with_child,,,21002A311,Auderghem,21002A311,AMITIE (PLACE DE L'),Auderghem,6,Worker
124,144943,21002A372,QUARTIER INDUSTRIE,144943,18,1,female,parent,78176,1,couple_with_child,,,21002A372,Auderghem,21002A372,QUARTIER INDUSTRIE,Auderghem,6,Worker
125,144963,21002A372,QUARTIER INDUSTRIE,144963,18,1,female,parent,78184,3,single,,,21002A372,Auderghem,21002A372,QUARTIER INDUSTRIE,Auderghem,6,Worker
126,145077,21002A372,QUARTIER INDUSTRIE,145077,18,0,male,parent,78282,3,single,,,21002A372,Auderghem,21002A372,QUARTIER INDUSTRIE,Auderghem,6,Worker
128,146060,21002A30-,TRIOMPHE (BOULEVARD DU),146060,18,1,female,parent,78727,1,couple_with_child,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
129,146082,21002A30-,TRIOMPHE (BOULEVARD DU),146082,18,1,female,parent,78738,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
130,146083,21002A30-,TRIOMPHE (BOULEVARD DU),146083,18,1,female,parent,78739,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
131,146084,21002A30-,TRIOMPHE (BOULEVARD DU),146084,18,1,female,parent,78740,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
132,146085,21002A30-,TRIOMPHE (BOULEVARD DU),146085,18,1,female,parent,78741,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
133,146086,21002A30-,TRIOMPHE (BOULEVARD DU),146086,18,1,female,parent,78742,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
135,146290,21002A30-,TRIOMPHE (BOULEVARD DU),146290,19,0,male,parent,78924,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
136,146294,21002A30-,TRIOMPHE (BOULEVARD DU),146294,18,0,male,parent,78928,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
137,146296,21002A30-,TRIOMPHE (BOULEVARD DU),146296,18,0,male,parent,78930,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
138,146297,21002A30-,TRIOMPHE (BOULEVARD DU),146297,18,0,male,parent,78931,3,single,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
139,145438,21002A30-,TRIOMPHE (BOULEVARD DU),145438,18,1,female,child,78490,1,couple_with_child,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
140,145476,21002A30-,TRIOMPHE (BOULEVARD DU),145476,18,1,female,child,78501,4,single_with_child,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
141,145585,21002A30-,TRIOMPHE (BOULEVARD DU),145585,18,1,female,child,78531,1,couple_with_child,,,21002A30-,Auderghem,21002A30-,TRIOMPHE (BOULEVARD DU),Auderghem,6,Worker
142,149283,21002A21-,LEBON,149283,18,1,female,parent,80590,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
143,149377,21002A21-,LEBON,149377,18,1,female,parent,80637,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
144,149378,21002A21-,LEBON,149378,18,1,female,parent,80638,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
145,149957,21002A21-,LEBON,149957,19,0,male,parent,81123,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
146,149960,21002A21-,LEBON,149960,19,0,male,parent,81126,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
147,149961,21002A21-,LEBON,149961,18,0,male,parent,81127,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
148,149962,21002A21-,LEBON,149962,18,0,male,parent,81128,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
149,149963,21002A21-,LEBON,149963,18,0,male,parent,81129,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
150,149964,21002A21-,LEBON,149964,18,0,male,parent,81130,3,single,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
152,147214,21002A21-,LEBON,147214,18,1,female,child,79612,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
153,147221,21002A21-,LEBON,147221,18,1,female,child,79613,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
154,147297,21002A21-,LEBON,147297,18,0,male,child,79654,4,single_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
155,147327,21002A21-,LEBON,147327,18,0,male,child,79662,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
156,147416,21002A21-,LEBON,147416,18,1,female,child,79707,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
157,147463,21002A21-,LEBON,147463,18,0,male,child,79731,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
158,147526,21002A21-,LEBON,147526,18,0,male,child,79759,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
159,147548,21002A21-,LEBON,147548,18,1,female,child,79776,4,single_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
161,147740,21002A21-,LEBON,147740,18,1,female,child,79866,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
162,147974,21002A21-,LEBON,147974,18,1,female,child,79983,1,couple_with_child,,,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,6,Worker
163,150759,21002A411,PUTDAAL,150759,18,1,female,parent,81555,1,couple_with_child,,,21002A411,Auderghem,21002A411,PUTDAAL,Auderghem,6,Worker
164,150535,21002A411,PUTDAAL,150535,18,1,female,child,81487,1,couple_with_child,,,21002A411,Auderghem,21002A411,PUTDAAL,Auderghem,6,Worker
165,150543,21002A411,PUTDAAL,150543,18,1,female,child,81489,1,couple_with_child,,,21002A411,Auderghem,21002A411,PUTDAAL,Auderghem,6,Worker
169,151867,21002A00-,CENTRE - NORD,151867,18,0,male,parent,82165,1,couple_with_child,,,21002A00-,Auderghem,21002A00-,CENTRE - NORD,Auderghem,6,Worker
170,151902,21002A00-,CENTRE - NORD,151902,18,1,female,parent,82184,1,couple_with_child,,,21002A00-,Auderghem,21002A00-,CENTRE - NORD,Auderghem,6,Worker
171,151904,21002A00-,CENTRE - NORD,151904,18,1,female,parent,82185,1,couple_with_child,,,21002A00-,Auderghem,21002A00-,CENTRE - NORD,Auderghem,6,Worker
172,151936,21002A00-,CENTRE - NORD,151936,18,1,female,parent,82201,3,single,,,21002A00-,Auderghem,21002A00-,CENTRE - NORD,Auderghem,6,Worker
173,152119,21002A00-,CENTRE - NORD,152119,18,0,male,parent,82350,3,single,,,21002A00-,Auderghem,21002A00-,CENTRE - NORD,Auderghem,6,Worker
175,153113,21002A02-,CENTRE-SUD,153113,18,1,female,parent,82857,1,couple_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
177,153334,21002A02-,CENTRE-SUD,153334,18,0,male,parent,83025,3,single,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
178,152526,21002A02-,CENTRE-SUD,152526,18,0,male,child,82599,1,couple_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
179,152536,21002A02-,CENTRE-SUD,152536,18,0,male,child,82603,4,single_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
180,152578,21002A02-,CENTRE-SUD,152578,18,1,female,child,82621,4,single_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
181,152605,21002A02-,CENTRE-SUD,152605,18,0,male,child,82633,4,single_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
182,152725,21002A02-,CENTRE-SUD,152725,18,1,female,child,82682,1,couple_with_child,,,21002A02-,Auderghem,21002A02-,CENTRE-SUD,Auderghem,6,Worker
184,155196,21002A030,LAMMERENDRIES,155196,18,1,female,parent,83910,1,couple_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
185,155198,21002A030,LAMMERENDRIES,155198,18,1,female,parent,83911,1,couple_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
186,155253,21002A030,LAMMERENDRIES,155253,18,1,female,parent,83939,3,single,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
187,155570,21002A030,LAMMERENDRIES,155570,18,0,male,parent,84200,3,single,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
188,155571,21002A030,LAMMERENDRIES,155571,18,0,male,parent,84201,3,single,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
189,153874,21002A030,LAMMERENDRIES,153874,18,1,female,child,83378,1,couple_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
190,153924,21002A030,LAMMERENDRIES,153924,18,0,male,child,83400,4,single_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
191,153970,21002A030,LAMMERENDRIES,153970,18,0,male,child,83415,4,single_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
192,153980,21002A030,LAMMERENDRIES,153980,18,0,male,child,83417,4,single_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,6,Worker
