,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName,long,lat
17,17,21001A041,VEEWEYDE-SUD,17,90,0,male,parent,12,2,couple_no_child,4.301314966817025,50.83016044162608
18,18,21001A041,VEEWEYDE-SUD,18,100,1,female,parent,13,3,single,4.301314966817025,50.83016044162608
19,19,21001A041,VEEWEYDE-SUD,19,100,1,female,parent,14,3,single,4.301314966817025,50.83016044162608
20,20,21001A041,VEEWEYDE-SUD,20,99,1,female,parent,15,2,couple_no_child,4.301314966817025,50.83016044162608
21,21,21001A041,VEEWEYDE-SUD,21,89,0,male,parent,15,2,couple_no_child,4.301314966817025,50.83016044162608
22,22,21001A041,VEEWEYDE-SUD,22,99,1,female,parent,16,3,single,4.301314966817025,50.83016044162608
23,23,21001A041,VEEWEYDE-SUD,23,99,1,female,parent,17,3,single,4.301314966817025,50.83016044162608
24,24,21001A041,VEEWEYDE-SUD,24,98,1,female,parent,18,2,couple_no_child,4.301314966817025,50.83016044162608
25,25,21001A041,VEEWEYDE-SUD,25,89,0,male,parent,18,2,couple_no_child,4.301314966817025,50.83016044162608
26,26,21001A041,VEEWEYDE-SUD,26,98,1,female,parent,19,3,single,4.301314966817025,50.83016044162608
27,27,21001A041,VEEWEYDE-SUD,27,98,1,female,parent,20,3,single,4.301314966817025,50.83016044162608
28,28,21001A041,VEEWEYDE-SUD,28,97,1,female,parent,21,2,couple_no_child,4.301314966817025,50.83016044162608
29,29,21001A041,VEEWEYDE-SUD,29,88,0,male,parent,21,2,couple_no_child,4.301314966817025,50.83016044162608
30,30,21001A041,VEEWEYDE-SUD,30,97,1,female,parent,22,3,single,4.301314966817025,50.83016044162608
31,31,21001A041,VEEWEYDE-SUD,31,97,1,female,parent,23,3,single,4.301314966817025,50.83016044162608
32,32,21001A041,VEEWEYDE-SUD,32,96,1,female,parent,24,2,couple_no_child,4.301314966817025,50.83016044162608
33,33,21001A041,VEEWEYDE-SUD,33,88,0,male,parent,24,2,couple_no_child,4.301314966817025,50.83016044162608
34,34,21001A041,VEEWEYDE-SUD,34,96,1,female,parent,25,3,single,4.301314966817025,50.83016044162608
35,35,21001A041,VEEWEYDE-SUD,35,96,1,female,parent,26,3,single,4.301314966817025,50.83016044162608
36,36,21001A041,VEEWEYDE-SUD,36,95,1,female,parent,27,2,couple_no_child,4.301314966817025,50.83016044162608
37,37,21001A041,VEEWEYDE-SUD,37,87,0,male,parent,27,2,couple_no_child,4.301314966817025,50.83016044162608
38,38,21001A041,VEEWEYDE-SUD,38,95,1,female,parent,28,3,single,4.301314966817025,50.83016044162608
39,39,21001A041,VEEWEYDE-SUD,39,95,1,female,parent,29,3,single,4.301314966817025,50.83016044162608
40,40,21001A041,VEEWEYDE-SUD,40,94,1,female,parent,30,2,couple_no_child,4.301314966817025,50.83016044162608
41,41,21001A041,VEEWEYDE-SUD,41,87,0,male,parent,30,2,couple_no_child,4.301314966817025,50.83016044162608
42,42,21001A041,VEEWEYDE-SUD,42,94,1,female,parent,31,3,single,4.301314966817025,50.83016044162608
43,43,21001A041,VEEWEYDE-SUD,43,94,1,female,parent,32,3,single,4.301314966817025,50.83016044162608
44,44,21001A041,VEEWEYDE-SUD,44,93,1,female,parent,33,2,couple_no_child,4.301314966817025,50.83016044162608
45,45,21001A041,VEEWEYDE-SUD,45,86,0,male,parent,33,2,couple_no_child,4.301314966817025,50.83016044162608
46,46,21001A041,VEEWEYDE-SUD,46,93,1,female,parent,34,3,single,4.301314966817025,50.83016044162608
47,47,21001A041,VEEWEYDE-SUD,47,93,1,female,parent,35,3,single,4.301314966817025,50.83016044162608
48,48,21001A041,VEEWEYDE-SUD,48,92,1,female,parent,36,2,couple_no_child,4.301314966817025,50.83016044162608
49,49,21001A041,VEEWEYDE-SUD,49,85,0,male,parent,36,2,couple_no_child,4.301314966817025,50.83016044162608
50,50,21001A041,VEEWEYDE-SUD,50,92,1,female,parent,37,3,single,4.301314966817025,50.83016044162608
51,51,21001A041,VEEWEYDE-SUD,51,92,1,female,parent,38,3,single,4.301314966817025,50.83016044162608
52,52,21001A041,VEEWEYDE-SUD,52,91,1,female,parent,39,2,couple_no_child,4.301314966817025,50.83016044162608
53,53,21001A041,VEEWEYDE-SUD,53,86,0,male,parent,39,2,couple_no_child,4.301314966817025,50.83016044162608
54,54,21001A041,VEEWEYDE-SUD,54,91,1,female,parent,40,3,single,4.301314966817025,50.83016044162608
55,55,21001A041,VEEWEYDE-SUD,55,91,1,female,parent,41,3,single,4.301314966817025,50.83016044162608
56,56,21001A041,VEEWEYDE-SUD,56,90,1,female,parent,42,2,couple_no_child,4.301314966817025,50.83016044162608
57,57,21001A041,VEEWEYDE-SUD,57,83,0,male,parent,42,2,couple_no_child,4.301314966817025,50.83016044162608
58,58,21001A041,VEEWEYDE-SUD,58,90,1,female,parent,43,3,single,4.301314966817025,50.83016044162608
59,59,21001A041,VEEWEYDE-SUD,59,90,1,female,parent,44,3,single,4.301314966817025,50.83016044162608
60,60,21001A041,VEEWEYDE-SUD,60,89,1,female,parent,45,2,couple_no_child,4.301314966817025,50.83016044162608
61,61,21001A041,VEEWEYDE-SUD,61,85,0,male,parent,45,2,couple_no_child,4.301314966817025,50.83016044162608
62,62,21001A041,VEEWEYDE-SUD,62,89,1,female,parent,46,3,single,4.301314966817025,50.83016044162608
63,63,21001A041,VEEWEYDE-SUD,63,89,1,female,parent,47,3,single,4.301314966817025,50.83016044162608
64,64,21001A041,VEEWEYDE-SUD,64,88,1,female,parent,48,2,couple_no_child,4.301314966817025,50.83016044162608
65,65,21001A041,VEEWEYDE-SUD,65,83,0,male,parent,48,2,couple_no_child,4.301314966817025,50.83016044162608
66,66,21001A041,VEEWEYDE-SUD,66,88,1,female,parent,49,3,single,4.301314966817025,50.83016044162608
67,67,21001A041,VEEWEYDE-SUD,67,88,1,female,parent,50,3,single,4.301314966817025,50.83016044162608
68,68,21001A041,VEEWEYDE-SUD,68,87,1,female,parent,51,2,couple_no_child,4.301314966817025,50.83016044162608
69,69,21001A041,VEEWEYDE-SUD,69,82,0,male,parent,51,2,couple_no_child,4.301314966817025,50.83016044162608
70,70,21001A041,VEEWEYDE-SUD,70,87,1,female,parent,52,3,single,4.301314966817025,50.83016044162608
71,71,21001A041,VEEWEYDE-SUD,71,87,1,female,parent,53,3,single,4.301314966817025,50.83016044162608
72,72,21001A041,VEEWEYDE-SUD,72,86,1,female,parent,54,2,couple_no_child,4.301314966817025,50.83016044162608
73,73,21001A041,VEEWEYDE-SUD,73,79,0,male,parent,54,2,couple_no_child,4.301314966817025,50.83016044162608
74,74,21001A041,VEEWEYDE-SUD,74,86,1,female,parent,55,3,single,4.301314966817025,50.83016044162608
75,75,21001A041,VEEWEYDE-SUD,75,86,1,female,parent,56,3,single,4.301314966817025,50.83016044162608
76,76,21001A041,VEEWEYDE-SUD,76,85,1,female,parent,57,2,couple_no_child,4.301314966817025,50.83016044162608
77,77,21001A041,VEEWEYDE-SUD,77,80,0,male,parent,57,2,couple_no_child,4.301314966817025,50.83016044162608
78,78,21001A041,VEEWEYDE-SUD,78,85,1,female,parent,58,3,single,4.301314966817025,50.83016044162608
79,79,21001A041,VEEWEYDE-SUD,79,85,1,female,parent,59,3,single,4.301314966817025,50.83016044162608
80,80,21001A041,VEEWEYDE-SUD,80,84,1,female,parent,60,2,couple_no_child,4.301314966817025,50.83016044162608
81,81,21001A041,VEEWEYDE-SUD,81,82,0,male,parent,60,2,couple_no_child,4.301314966817025,50.83016044162608
82,82,21001A041,VEEWEYDE-SUD,82,84,1,female,parent,61,3,single,4.301314966817025,50.83016044162608
83,83,21001A041,VEEWEYDE-SUD,83,84,1,female,parent,62,3,single,4.301314966817025,50.83016044162608
84,84,21001A041,VEEWEYDE-SUD,84,83,1,female,parent,63,2,couple_no_child,4.301314966817025,50.83016044162608
85,85,21001A041,VEEWEYDE-SUD,85,76,0,male,parent,63,2,couple_no_child,4.301314966817025,50.83016044162608
86,86,21001A041,VEEWEYDE-SUD,86,83,1,female,parent,64,3,single,4.301314966817025,50.83016044162608
87,87,21001A041,VEEWEYDE-SUD,87,83,1,female,parent,65,3,single,4.301314966817025,50.83016044162608
88,88,21001A041,VEEWEYDE-SUD,88,82,1,female,parent,66,2,couple_no_child,4.301314966817025,50.83016044162608
89,89,21001A041,VEEWEYDE-SUD,89,84,0,male,parent,66,2,couple_no_child,4.301314966817025,50.83016044162608
90,90,21001A041,VEEWEYDE-SUD,90,82,1,female,parent,67,3,single,4.301314966817025,50.83016044162608
91,91,21001A041,VEEWEYDE-SUD,91,82,1,female,parent,68,3,single,4.301314966817025,50.83016044162608
92,92,21001A041,VEEWEYDE-SUD,92,81,1,female,parent,69,2,couple_no_child,4.301314966817025,50.83016044162608
93,93,21001A041,VEEWEYDE-SUD,93,79,0,male,parent,69,2,couple_no_child,4.301314966817025,50.83016044162608
94,94,21001A041,VEEWEYDE-SUD,94,81,1,female,parent,70,3,single,4.301314966817025,50.83016044162608
95,95,21001A041,VEEWEYDE-SUD,95,81,1,female,parent,71,3,single,4.301314966817025,50.83016044162608
96,96,21001A041,VEEWEYDE-SUD,96,80,1,female,parent,72,2,couple_no_child,4.301314966817025,50.83016044162608
97,97,21001A041,VEEWEYDE-SUD,97,74,0,male,parent,72,2,couple_no_child,4.301314966817025,50.83016044162608
98,98,21001A041,VEEWEYDE-SUD,98,80,1,female,parent,73,3,single,4.301314966817025,50.83016044162608
99,99,21001A041,VEEWEYDE-SUD,99,80,1,female,parent,74,3,single,4.301314966817025,50.83016044162608
100,100,21001A041,VEEWEYDE-SUD,100,79,1,female,parent,75,2,couple_no_child,4.301314966817025,50.83016044162608
101,101,21001A041,VEEWEYDE-SUD,101,77,0,male,parent,75,2,couple_no_child,4.301314966817025,50.83016044162608
102,102,21001A041,VEEWEYDE-SUD,102,79,1,female,parent,76,3,single,4.301314966817025,50.83016044162608
103,103,21001A041,VEEWEYDE-SUD,103,79,1,female,parent,77,3,single,4.301314966817025,50.83016044162608
104,104,21001A041,VEEWEYDE-SUD,104,78,1,female,parent,78,2,couple_no_child,4.301314966817025,50.83016044162608
105,105,21001A041,VEEWEYDE-SUD,105,73,0,male,parent,78,2,couple_no_child,4.301314966817025,50.83016044162608
106,106,21001A041,VEEWEYDE-SUD,106,78,1,female,parent,79,3,single,4.301314966817025,50.83016044162608
107,107,21001A041,VEEWEYDE-SUD,107,78,1,female,parent,80,3,single,4.301314966817025,50.83016044162608
108,108,21001A041,VEEWEYDE-SUD,108,77,1,female,parent,81,2,couple_no_child,4.301314966817025,50.83016044162608
109,109,21001A041,VEEWEYDE-SUD,109,76,0,male,parent,81,2,couple_no_child,4.301314966817025,50.83016044162608
110,110,21001A041,VEEWEYDE-SUD,110,77,1,female,parent,82,3,single,4.301314966817025,50.83016044162608
111,111,21001A041,VEEWEYDE-SUD,111,77,1,female,parent,83,3,single,4.301314966817025,50.83016044162608
112,112,21001A041,VEEWEYDE-SUD,112,76,1,female,parent,84,2,couple_no_child,4.301314966817025,50.83016044162608
113,113,21001A041,VEEWEYDE-SUD,113,73,0,male,parent,84,2,couple_no_child,4.301314966817025,50.83016044162608
114,114,21001A041,VEEWEYDE-SUD,114,76,1,female,parent,85,3,single,4.301314966817025,50.83016044162608
115,115,21001A041,VEEWEYDE-SUD,115,76,1,female,parent,86,3,single,4.301314966817025,50.83016044162608
116,116,21001A041,VEEWEYDE-SUD,116,75,1,female,parent,87,2,couple_no_child,4.301314966817025,50.83016044162608
117,117,21001A041,VEEWEYDE-SUD,117,80,0,male,parent,87,2,couple_no_child,4.301314966817025,50.83016044162608
118,118,21001A041,VEEWEYDE-SUD,118,75,1,female,parent,88,3,single,4.301314966817025,50.83016044162608
119,119,21001A041,VEEWEYDE-SUD,119,75,1,female,parent,89,3,single,4.301314966817025,50.83016044162608
120,120,21001A041,VEEWEYDE-SUD,120,74,1,female,parent,90,2,couple_no_child,4.301314966817025,50.83016044162608
121,121,21001A041,VEEWEYDE-SUD,121,74,0,male,parent,90,2,couple_no_child,4.301314966817025,50.83016044162608
122,122,21001A041,VEEWEYDE-SUD,122,74,1,female,parent,91,3,single,4.301314966817025,50.83016044162608
123,123,21001A041,VEEWEYDE-SUD,123,74,1,female,parent,92,3,single,4.301314966817025,50.83016044162608
124,124,21001A041,VEEWEYDE-SUD,124,73,1,female,parent,93,2,couple_no_child,4.301314966817025,50.83016044162608
125,125,21001A041,VEEWEYDE-SUD,125,72,0,male,parent,93,2,couple_no_child,4.301314966817025,50.83016044162608
126,126,21001A041,VEEWEYDE-SUD,126,73,1,female,parent,94,3,single,4.301314966817025,50.83016044162608
127,127,21001A041,VEEWEYDE-SUD,127,73,1,female,parent,95,3,single,4.301314966817025,50.83016044162608
128,128,21001A041,VEEWEYDE-SUD,128,72,1,female,parent,96,2,couple_no_child,4.301314966817025,50.83016044162608
129,129,21001A041,VEEWEYDE-SUD,129,69,0,male,parent,96,2,couple_no_child,4.301314966817025,50.83016044162608
130,130,21001A041,VEEWEYDE-SUD,130,72,1,female,parent,97,3,single,4.301314966817025,50.83016044162608
131,131,21001A041,VEEWEYDE-SUD,131,72,1,female,parent,98,3,single,4.301314966817025,50.83016044162608
132,132,21001A041,VEEWEYDE-SUD,132,71,1,female,parent,99,2,couple_no_child,4.301314966817025,50.83016044162608
133,133,21001A041,VEEWEYDE-SUD,133,64,0,male,parent,99,2,couple_no_child,4.301314966817025,50.83016044162608
134,134,21001A041,VEEWEYDE-SUD,134,71,1,female,parent,100,3,single,4.301314966817025,50.83016044162608
135,135,21001A041,VEEWEYDE-SUD,135,71,1,female,parent,101,3,single,4.301314966817025,50.83016044162608
136,136,21001A041,VEEWEYDE-SUD,136,70,1,female,parent,102,1,couple_with_child,4.301314966817025,50.83016044162608
137,137,21001A041,VEEWEYDE-SUD,137,72,0,male,parent,102,1,couple_with_child,4.301314966817025,50.83016044162608
138,138,21001A041,VEEWEYDE-SUD,138,34,0,male,child,102,1,couple_with_child,4.301314966817025,50.83016044162608
139,139,21001A041,VEEWEYDE-SUD,139,46,1,female,child,102,1,couple_with_child,4.301314966817025,50.83016044162608
140,140,21001A041,VEEWEYDE-SUD,140,36,0,male,child,102,1,couple_with_child,4.301314966817025,50.83016044162608
141,141,21001A041,VEEWEYDE-SUD,141,70,1,female,parent,103,2,couple_no_child,4.301314966817025,50.83016044162608
142,142,21001A041,VEEWEYDE-SUD,142,67,0,male,parent,103,2,couple_no_child,4.301314966817025,50.83016044162608
143,143,21001A041,VEEWEYDE-SUD,143,70,1,female,parent,104,3,single,4.301314966817025,50.83016044162608
144,144,21001A041,VEEWEYDE-SUD,144,70,1,female,parent,105,3,single,4.301314966817025,50.83016044162608
145,145,21001A041,VEEWEYDE-SUD,145,70,1,female,parent,106,4,single_with_child,4.301314966817025,50.83016044162608
146,146,21001A041,VEEWEYDE-SUD,146,30,1,female,child,106,4,single_with_child,4.301314966817025,50.83016044162608
147,147,21001A041,VEEWEYDE-SUD,147,35,0,male,child,106,4,single_with_child,4.301314966817025,50.83016044162608
148,148,21001A041,VEEWEYDE-SUD,148,70,1,female,parent,107,4,single_with_child,4.301314966817025,50.83016044162608
149,149,21001A041,VEEWEYDE-SUD,149,54,0,male,child,107,4,single_with_child,4.301314966817025,50.83016044162608
150,150,21001A041,VEEWEYDE-SUD,150,54,0,male,child,107,4,single_with_child,4.301314966817025,50.83016044162608
151,151,21001A041,VEEWEYDE-SUD,151,54,0,male,child,107,4,single_with_child,4.301314966817025,50.83016044162608
152,152,21001A041,VEEWEYDE-SUD,152,69,1,female,parent,108,1,couple_with_child,4.301314966817025,50.83016044162608
153,153,21001A041,VEEWEYDE-SUD,153,75,0,male,parent,108,1,couple_with_child,4.301314966817025,50.83016044162608
154,154,21001A041,VEEWEYDE-SUD,154,39,0,male,child,108,1,couple_with_child,4.301314966817025,50.83016044162608
155,155,21001A041,VEEWEYDE-SUD,155,21,1,female,child,108,1,couple_with_child,4.301314966817025,50.83016044162608
156,156,21001A041,VEEWEYDE-SUD,156,69,1,female,parent,109,2,couple_no_child,4.301314966817025,50.83016044162608
157,157,21001A041,VEEWEYDE-SUD,157,62,0,male,parent,109,2,couple_no_child,4.301314966817025,50.83016044162608
158,158,21001A041,VEEWEYDE-SUD,158,69,1,female,parent,110,3,single,4.301314966817025,50.83016044162608
159,159,21001A041,VEEWEYDE-SUD,159,69,1,female,parent,111,3,single,4.301314966817025,50.83016044162608
160,160,21001A041,VEEWEYDE-SUD,160,69,1,female,parent,112,4,single_with_child,4.301314966817025,50.83016044162608
161,161,21001A041,VEEWEYDE-SUD,161,20,1,female,child,112,4,single_with_child,4.301314966817025,50.83016044162608
162,162,21001A041,VEEWEYDE-SUD,162,69,1,female,parent,113,4,single_with_child,4.301314966817025,50.83016044162608
163,163,21001A041,VEEWEYDE-SUD,163,36,1,female,child,113,4,single_with_child,4.301314966817025,50.83016044162608
164,164,21001A041,VEEWEYDE-SUD,164,33,1,female,child,113,4,single_with_child,4.301314966817025,50.83016044162608
165,165,21001A041,VEEWEYDE-SUD,165,36,1,female,child,113,4,single_with_child,4.301314966817025,50.83016044162608
166,166,21001A041,VEEWEYDE-SUD,166,68,1,female,parent,114,1,couple_with_child,4.301314966817025,50.83016044162608
167,167,21001A041,VEEWEYDE-SUD,167,67,0,male,parent,114,1,couple_with_child,4.301314966817025,50.83016044162608
168,168,21001A041,VEEWEYDE-SUD,168,45,1,female,child,114,1,couple_with_child,4.301314966817025,50.83016044162608
169,169,21001A041,VEEWEYDE-SUD,169,47,1,female,child,114,1,couple_with_child,4.301314966817025,50.83016044162608
170,170,21001A041,VEEWEYDE-SUD,170,45,1,female,child,114,1,couple_with_child,4.301314966817025,50.83016044162608
171,171,21001A041,VEEWEYDE-SUD,171,68,1,female,parent,115,2,couple_no_child,4.301314966817025,50.83016044162608
172,172,21001A041,VEEWEYDE-SUD,172,61,0,male,parent,115,2,couple_no_child,4.301314966817025,50.83016044162608
173,173,21001A041,VEEWEYDE-SUD,173,68,1,female,parent,116,3,single,4.301314966817025,50.83016044162608
174,174,21001A041,VEEWEYDE-SUD,174,68,1,female,parent,117,3,single,4.301314966817025,50.83016044162608
175,175,21001A041,VEEWEYDE-SUD,175,68,1,female,parent,118,4,single_with_child,4.301314966817025,50.83016044162608
176,176,21001A041,VEEWEYDE-SUD,176,18,1,female,child,118,4,single_with_child,4.301314966817025,50.83016044162608
177,177,21001A041,VEEWEYDE-SUD,177,18,1,female,child,118,4,single_with_child,4.301314966817025,50.83016044162608
178,178,21001A041,VEEWEYDE-SUD,178,68,1,female,parent,119,4,single_with_child,4.301314966817025,50.83016044162608
179,179,21001A041,VEEWEYDE-SUD,179,46,0,male,child,119,4,single_with_child,4.301314966817025,50.83016044162608
180,180,21001A041,VEEWEYDE-SUD,180,67,1,female,parent,120,1,couple_with_child,4.301314966817025,50.83016044162608
181,181,21001A041,VEEWEYDE-SUD,181,65,0,male,parent,120,1,couple_with_child,4.301314966817025,50.83016044162608
182,182,21001A041,VEEWEYDE-SUD,182,19,1,female,child,120,1,couple_with_child,4.301314966817025,50.83016044162608
183,183,21001A041,VEEWEYDE-SUD,183,39,1,female,child,120,1,couple_with_child,4.301314966817025,50.83016044162608
184,184,21001A041,VEEWEYDE-SUD,184,34,1,female,child,120,1,couple_with_child,4.301314966817025,50.83016044162608
185,185,21001A041,VEEWEYDE-SUD,185,67,1,female,parent,121,2,couple_no_child,4.301314966817025,50.83016044162608
186,186,21001A041,VEEWEYDE-SUD,186,70,0,male,parent,121,2,couple_no_child,4.301314966817025,50.83016044162608
187,187,21001A041,VEEWEYDE-SUD,187,67,1,female,parent,122,3,single,4.301314966817025,50.83016044162608
188,188,21001A041,VEEWEYDE-SUD,188,67,1,female,parent,123,3,single,4.301314966817025,50.83016044162608
189,189,21001A041,VEEWEYDE-SUD,189,67,1,female,parent,124,4,single_with_child,4.301314966817025,50.83016044162608
190,190,21001A041,VEEWEYDE-SUD,190,26,1,female,child,124,4,single_with_child,4.301314966817025,50.83016044162608
191,191,21001A041,VEEWEYDE-SUD,191,51,1,female,child,124,4,single_with_child,4.301314966817025,50.83016044162608
192,192,21001A041,VEEWEYDE-SUD,192,67,1,female,parent,125,4,single_with_child,4.301314966817025,50.83016044162608
193,193,21001A041,VEEWEYDE-SUD,193,17,0,male,child,125,4,single_with_child,4.301314966817025,50.83016044162608
194,194,21001A041,VEEWEYDE-SUD,194,66,1,female,parent,126,1,couple_with_child,4.301314966817025,50.83016044162608
195,195,21001A041,VEEWEYDE-SUD,195,67,0,male,parent,126,1,couple_with_child,4.301314966817025,50.83016044162608
196,196,21001A041,VEEWEYDE-SUD,196,33,0,male,child,126,1,couple_with_child,4.301314966817025,50.83016044162608
197,197,21001A041,VEEWEYDE-SUD,197,47,0,male,child,126,1,couple_with_child,4.301314966817025,50.83016044162608
198,198,21001A041,VEEWEYDE-SUD,198,46,0,male,child,126,1,couple_with_child,4.301314966817025,50.83016044162608
199,199,21001A041,VEEWEYDE-SUD,199,66,1,female,parent,127,2,couple_no_child,4.301314966817025,50.83016044162608
200,200,21001A041,VEEWEYDE-SUD,200,59,0,male,parent,127,2,couple_no_child,4.301314966817025,50.83016044162608
201,201,21001A041,VEEWEYDE-SUD,201,66,1,female,parent,128,3,single,4.301314966817025,50.83016044162608
202,202,21001A041,VEEWEYDE-SUD,202,66,1,female,parent,129,3,single,4.301314966817025,50.83016044162608
203,203,21001A041,VEEWEYDE-SUD,203,66,1,female,parent,130,4,single_with_child,4.301314966817025,50.83016044162608
204,204,21001A041,VEEWEYDE-SUD,204,41,0,male,child,130,4,single_with_child,4.301314966817025,50.83016044162608
205,205,21001A041,VEEWEYDE-SUD,205,66,1,female,parent,131,4,single_with_child,4.301314966817025,50.83016044162608
206,206,21001A041,VEEWEYDE-SUD,206,39,1,female,child,131,4,single_with_child,4.301314966817025,50.83016044162608
207,207,21001A041,VEEWEYDE-SUD,207,65,1,female,parent,132,1,couple_with_child,4.301314966817025,50.83016044162608
208,208,21001A041,VEEWEYDE-SUD,208,62,0,male,parent,132,1,couple_with_child,4.301314966817025,50.83016044162608
209,209,21001A041,VEEWEYDE-SUD,209,45,1,female,child,132,1,couple_with_child,4.301314966817025,50.83016044162608
210,210,21001A041,VEEWEYDE-SUD,210,65,1,female,parent,133,2,couple_no_child,4.301314966817025,50.83016044162608
211,211,21001A041,VEEWEYDE-SUD,211,69,0,male,parent,133,2,couple_no_child,4.301314966817025,50.83016044162608
212,212,21001A041,VEEWEYDE-SUD,212,65,1,female,parent,134,3,single,4.301314966817025,50.83016044162608
213,213,21001A041,VEEWEYDE-SUD,213,65,1,female,parent,135,3,single,4.301314966817025,50.83016044162608
214,214,21001A041,VEEWEYDE-SUD,214,65,1,female,parent,136,4,single_with_child,4.301314966817025,50.83016044162608
215,215,21001A041,VEEWEYDE-SUD,215,15,1,female,child,136,4,single_with_child,4.301314966817025,50.83016044162608
216,216,21001A041,VEEWEYDE-SUD,216,65,1,female,parent,137,4,single_with_child,4.301314966817025,50.83016044162608
217,217,21001A041,VEEWEYDE-SUD,217,36,1,female,child,137,4,single_with_child,4.301314966817025,50.83016044162608
218,218,21001A041,VEEWEYDE-SUD,218,40,1,female,child,137,4,single_with_child,4.301314966817025,50.83016044162608
219,219,21001A041,VEEWEYDE-SUD,219,23,1,female,child,137,4,single_with_child,4.301314966817025,50.83016044162608
220,220,21001A041,VEEWEYDE-SUD,220,64,1,female,parent,138,1,couple_with_child,4.301314966817025,50.83016044162608
221,221,21001A041,VEEWEYDE-SUD,221,63,0,male,parent,138,1,couple_with_child,4.301314966817025,50.83016044162608
222,222,21001A041,VEEWEYDE-SUD,222,26,0,male,child,138,1,couple_with_child,4.301314966817025,50.83016044162608
223,223,21001A041,VEEWEYDE-SUD,223,64,1,female,parent,139,2,couple_no_child,4.301314966817025,50.83016044162608
224,224,21001A041,VEEWEYDE-SUD,224,71,0,male,parent,139,2,couple_no_child,4.301314966817025,50.83016044162608
225,225,21001A041,VEEWEYDE-SUD,225,64,1,female,parent,140,3,single,4.301314966817025,50.83016044162608
226,226,21001A041,VEEWEYDE-SUD,226,64,1,female,parent,141,3,single,4.301314966817025,50.83016044162608
227,227,21001A041,VEEWEYDE-SUD,227,64,1,female,parent,142,3,single,4.301314966817025,50.83016044162608
228,228,21001A041,VEEWEYDE-SUD,228,64,1,female,parent,143,3,single,4.301314966817025,50.83016044162608
229,229,21001A041,VEEWEYDE-SUD,229,64,1,female,parent,144,3,single,4.301314966817025,50.83016044162608
230,230,21001A041,VEEWEYDE-SUD,230,64,1,female,parent,145,3,single,4.301314966817025,50.83016044162608
231,231,21001A041,VEEWEYDE-SUD,231,64,1,female,parent,146,4,single_with_child,4.301314966817025,50.83016044162608
232,232,21001A041,VEEWEYDE-SUD,232,24,0,male,child,146,4,single_with_child,4.301314966817025,50.83016044162608
233,233,21001A041,VEEWEYDE-SUD,233,26,1,female,child,146,4,single_with_child,4.301314966817025,50.83016044162608
234,234,21001A041,VEEWEYDE-SUD,234,64,1,female,parent,147,4,single_with_child,4.301314966817025,50.83016044162608
235,235,21001A041,VEEWEYDE-SUD,235,35,1,female,child,147,4,single_with_child,4.301314966817025,50.83016044162608
236,236,21001A041,VEEWEYDE-SUD,236,63,1,female,parent,148,1,couple_with_child,4.301314966817025,50.83016044162608
237,237,21001A041,VEEWEYDE-SUD,237,66,0,male,parent,148,1,couple_with_child,4.301314966817025,50.83016044162608
238,238,21001A041,VEEWEYDE-SUD,238,47,0,male,child,148,1,couple_with_child,4.301314966817025,50.83016044162608
