,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStat,WorkSectorStatName
15,21001A120,MINIMES,120020,72,1,female,parent,63266,6,collectif,21001A120,Anderlecht,8,Nursing Home,21001A120,MINIMES
16,21001A32-,AURORE,17123,80,1,female,parent,9266,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
17,21001C512,CHANTS D'OISEAUX,36159,73,0,male,parent,19802,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
18,21001A92-,JAKOB SMITS,102662,73,1,female,parent,54414,6,collectif,21001A92-,Anderlecht,8,Nursing Home,21001A92-,JAKOB SMITS
19,21001A80-,SILLON,48216,75,1,female,parent,26432,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
20,21001A132,RAUTER-NORD,73262,72,1,female,parent,39638,6,collectif,21001A132,Anderlecht,8,Nursing Home,21001A132,RAUTER-NORD
21,21001B17-,ABATTOIR,87080,71,0,male,parent,46883,6,collectif,21001B17-,Anderlecht,8,Nursing Home,21001B17-,ABATTOIR
22,21001A74-,SCHEUT-OUEST,98820,71,1,female,parent,52590,6,collectif,21001A74-,Anderlecht,8,Nursing Home,21001A74-,SCHEUT-OUEST
23,21001A712,SCHEUT - DE SMET,88075,70,0,male,parent,47372,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
24,21001A90-,SCHEUTKAPEL,72154,84,0,male,parent,39053,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
25,21001A80-,SILLON,48407,66,0,male,parent,26623,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
26,21001A941,CROCUS,69492,79,1,female,parent,37515,6,collectif,21001A941,Anderlecht,8,Nursing Home,21001A941,CROCUS
27,21001C512,CHANTS D'OISEAUX,35959,89,1,female,parent,19602,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
28,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51424,77,0,male,parent,28310,6,collectif,21001A31-,Anderlecht,8,Nursing Home,21001A31-,CHAUSSEE DE MONS - SAINT-LUC
29,21001A51-,SCHERDEMAEL,22799,76,1,female,parent,12548,6,collectif,21001A51-,Anderlecht,8,Nursing Home,21001A51-,SCHERDEMAEL
30,21001A02-,WAYEZ,122811,78,0,male,parent,64802,6,collectif,21001A02-,Anderlecht,8,Nursing Home,21001A02-,WAYEZ
31,21001A90-,SCHEUTKAPEL,72082,73,1,female,parent,38981,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
32,21001A00-,RESISTANCE,105687,65,1,female,parent,56054,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
33,21001B20-,CONSEIL-NORD,61999,79,1,female,parent,33380,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
34,21001C512,CHANTS D'OISEAUX,36048,78,1,female,parent,19691,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
35,21001A41-,ROMAIN ROLLAND,20076,86,1,female,parent,10886,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
36,21001A34-,ROUE - CITE JARDIN,30609,79,0,male,parent,16619,6,collectif,21001A34-,Anderlecht,8,Nursing Home,21001A34-,ROUE - CITE JARDIN
37,21001C512,CHANTS D'OISEAUX,36162,71,0,male,parent,19805,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
38,21001A32-,AURORE,17155,76,1,female,parent,9298,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
39,21001A80-,SILLON,48201,78,1,female,parent,26417,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
40,21001A81-,BROECK,50430,71,1,female,parent,27740,6,collectif,21001A81-,Anderlecht,8,Nursing Home,21001A81-,BROECK
41,21001A81-,BROECK,50364,82,1,female,parent,27674,6,collectif,21001A81-,Anderlecht,8,Nursing Home,21001A81-,BROECK
42,21001A32-,AURORE,17157,76,1,female,parent,9300,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
43,21001A441,DOCTEUR ROUX,34259,75,1,female,parent,18546,6,collectif,21001A441,Anderlecht,8,Nursing Home,21001A441,DOCTEUR ROUX
44,21001A112,BIESTEBROEK,125620,81,1,female,parent,66154,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
45,21001C512,CHANTS D'OISEAUX,36042,78,1,female,parent,19685,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
46,21001A011,KLEINMOLEN,85768,73,1,female,parent,46078,6,collectif,21001A011,Anderlecht,8,Nursing Home,21001A011,KLEINMOLEN
47,21001A51-,SCHERDEMAEL,22849,79,0,male,parent,12598,6,collectif,21001A51-,Anderlecht,8,Nursing Home,21001A51-,SCHERDEMAEL
48,21001A031,RAUTER-SUD,53401,68,0,male,parent,29323,6,collectif,21001A031,Anderlecht,8,Nursing Home,21001A031,RAUTER-SUD
49,21001A120,MINIMES,120036,66,1,female,parent,63282,6,collectif,21001A120,Anderlecht,8,Nursing Home,21001A120,MINIMES
50,21001B22-,BROGNIEZ-SUD,54728,81,0,male,parent,30050,6,collectif,21001B22-,Anderlecht,8,Nursing Home,21001B22-,BROGNIEZ-SUD
51,21001A332,ROUE,10197,74,1,female,parent,5545,6,collectif,21001A332,Anderlecht,8,Nursing Home,21001A332,ROUE
52,21001A350,CERIA - ZONE D'HABITAT,31971,74,1,female,parent,17317,6,collectif,21001A350,Anderlecht,8,Nursing Home,21001A350,CERIA - ZONE D'HABITAT
53,21001A43-,VAN BEETHOVEN,11731,79,1,female,parent,6385,6,collectif,21001A43-,Anderlecht,8,Nursing Home,21001A43-,VAN BEETHOVEN
54,21001A90-,SCHEUTKAPEL,72168,78,0,male,parent,39067,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
55,21001A712,SCHEUT - DE SMET,88074,70,0,male,parent,47371,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
56,21001A00-,RESISTANCE,105791,72,0,male,parent,56158,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
57,21001A80-,SILLON,48215,75,1,female,parent,26431,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
58,21001C70-,BON AIR - CENTRE,24305,73,0,male,parent,13458,6,collectif,21001C70-,Anderlecht,8,Nursing Home,21001C70-,BON AIR - CENTRE
59,21001A732,SCHEUTVELD,69824,93,1,female,parent,37723,6,collectif,21001A732,Anderlecht,8,Nursing Home,21001A732,SCHEUTVELD
60,21001A941,CROCUS,69469,88,1,female,parent,37492,6,collectif,21001A941,Anderlecht,8,Nursing Home,21001A941,CROCUS
61,21001A90-,SCHEUTKAPEL,72095,71,1,female,parent,38994,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
62,21001A84-,POESIE,28261,84,1,female,parent,15426,6,collectif,21001A84-,Anderlecht,8,Nursing Home,21001A84-,POESIE
63,21001A451,VENIZELOS,42290,79,0,male,parent,23295,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
64,21001C512,CHANTS D'OISEAUX,36083,72,1,female,parent,19726,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
65,21001A32-,AURORE,17129,79,1,female,parent,9272,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
66,21001A41-,ROMAIN ROLLAND,20182,67,1,female,parent,10992,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
67,21001A85-,AUBADE,20861,77,1,female,parent,11349,6,collectif,21001A85-,Anderlecht,8,Nursing Home,21001A85-,AUBADE
68,21001A051,LINDE-EST,67023,79,0,male,parent,36353,6,collectif,21001A051,Anderlecht,8,Nursing Home,21001A051,LINDE-EST
69,21001A41-,ROMAIN ROLLAND,20147,76,1,female,parent,10957,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
70,21001A30-,BIZET,45133,72,0,male,parent,24712,6,collectif,21001A30-,Anderlecht,8,Nursing Home,21001A30-,BIZET
71,21001A90-,SCHEUTKAPEL,72088,72,1,female,parent,38987,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
72,21001A552,TREFLE,26823,74,1,female,parent,14636,6,collectif,21001A552,Anderlecht,8,Nursing Home,21001A552,TREFLE
73,21001A552,TREFLE,26971,79,0,male,parent,14784,6,collectif,21001A552,Anderlecht,8,Nursing Home,21001A552,TREFLE
74,21001A90-,SCHEUTKAPEL,71976,92,1,female,parent,38875,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
75,21001A80-,SILLON,48150,84,1,female,parent,26366,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
76,21001A712,SCHEUT - DE SMET,87984,82,1,female,parent,47281,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
77,21001A82-,MOORTEBEEK,39535,71,1,female,parent,21610,6,collectif,21001A82-,Anderlecht,8,Nursing Home,21001A82-,MOORTEBEEK
78,21001A503,VIVES,8919,84,1,female,parent,4895,6,collectif,21001A503,Anderlecht,8,Nursing Home,21001A503,VIVES
79,21001A72-,OSSEGEM,82620,69,0,male,parent,44489,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
80,21001A95-,BUFFON,109188,71,1,female,parent,57688,6,collectif,21001A95-,Anderlecht,8,Nursing Home,21001A95-,BUFFON
81,21001B25-,REVISION-NORD,77966,75,1,female,parent,41885,6,collectif,21001B25-,Anderlecht,8,Nursing Home,21001B25-,REVISION-NORD
82,21001A931,AGRAFE-NORBERT GILLE,96320,72,0,male,parent,51492,6,collectif,21001A931,Anderlecht,8,Nursing Home,21001A931,AGRAFE-NORBERT GILLE
83,21001A02-,WAYEZ,122733,94,1,female,parent,64724,6,collectif,21001A02-,Anderlecht,8,Nursing Home,21001A02-,WAYEZ
84,21001A92-,JAKOB SMITS,102862,66,0,male,parent,54614,6,collectif,21001A92-,Anderlecht,8,Nursing Home,21001A92-,JAKOB SMITS
85,21001C512,CHANTS D'OISEAUX,35967,88,1,female,parent,19610,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
86,21001A41-,ROMAIN ROLLAND,20041,89,1,female,parent,10851,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
87,21001A72-,OSSEGEM,82609,71,0,male,parent,44478,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
88,21001A941,CROCUS,69584,83,0,male,parent,37607,6,collectif,21001A941,Anderlecht,8,Nursing Home,21001A941,CROCUS
89,21001A451,VENIZELOS,42231,74,1,female,parent,23236,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
90,21001B31-,ALBERT I- IMMEUBLES,74105,83,1,female,parent,40085,6,collectif,21001B31-,Anderlecht,8,Nursing Home,21001B31-,ALBERT I- IMMEUBLES
91,21001A81-,BROECK,50380,78,1,female,parent,27690,6,collectif,21001A81-,Anderlecht,8,Nursing Home,21001A81-,BROECK
92,21001A041,VEEWEYDE-SUD,2654,73,1,female,parent,1224,6,collectif,21001A041,Anderlecht,8,Nursing Home,21001A041,VEEWEYDE-SUD
93,21001A80-,SILLON,48151,84,1,female,parent,26367,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
94,21001C512,CHANTS D'OISEAUX,36077,73,1,female,parent,19720,6,collectif,21001C512,Anderlecht,8,Nursing Home,21001C512,CHANTS D'OISEAUX
95,21001B25-,REVISION-NORD,77965,75,1,female,parent,41884,6,collectif,21001B25-,Anderlecht,8,Nursing Home,21001B25-,REVISION-NORD
96,21001B31-,ALBERT I- IMMEUBLES,74097,88,1,female,parent,40077,6,collectif,21001B31-,Anderlecht,8,Nursing Home,21001B31-,ALBERT I- IMMEUBLES
97,21001A441,DOCTEUR ROUX,34280,67,1,female,parent,18567,6,collectif,21001A441,Anderlecht,8,Nursing Home,21001A441,DOCTEUR ROUX
98,21001A34-,ROUE - CITE JARDIN,30396,82,1,female,parent,16406,6,collectif,21001A34-,Anderlecht,8,Nursing Home,21001A34-,ROUE - CITE JARDIN
99,21001A43-,VAN BEETHOVEN,11742,72,1,female,parent,6396,6,collectif,21001A43-,Anderlecht,8,Nursing Home,21001A43-,VAN BEETHOVEN
100,21001A80-,SILLON,48126,89,1,female,parent,26342,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
101,21001A112,BIESTEBROEK,125656,71,1,female,parent,66190,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
102,21001A51-,SCHERDEMAEL,22829,71,1,female,parent,12578,6,collectif,21001A51-,Anderlecht,8,Nursing Home,21001A51-,SCHERDEMAEL
103,21001A72-,OSSEGEM,82426,82,1,female,parent,44295,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
104,21001A82-,MOORTEBEEK,39508,76,1,female,parent,21583,6,collectif,21001A82-,Anderlecht,8,Nursing Home,21001A82-,MOORTEBEEK
105,21001A74-,SCHEUT-OUEST,98829,68,1,female,parent,52599,6,collectif,21001A74-,Anderlecht,8,Nursing Home,21001A74-,SCHEUT-OUEST
106,21001C611,SOETKIN,40271,71,1,female,parent,22112,6,collectif,21001C611,Anderlecht,8,Nursing Home,21001C611,SOETKIN
107,21001A712,SCHEUT - DE SMET,87990,76,1,female,parent,47287,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
108,21001A911,SCHEUT-EST,94414,65,0,male,parent,50597,6,collectif,21001A911,Anderlecht,8,Nursing Home,21001A911,SCHEUT-EST
109,21001A90-,SCHEUTKAPEL,72080,74,1,female,parent,38979,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
110,21001A441,DOCTEUR ROUX,34390,80,0,male,parent,18677,6,collectif,21001A441,Anderlecht,8,Nursing Home,21001A441,DOCTEUR ROUX
111,21001B11-,ROSEE-OUEST,78960,71,1,female,parent,42550,6,collectif,21001B11-,Anderlecht,8,Nursing Home,21001B11-,ROSEE-OUEST
112,21001A92-,JAKOB SMITS,102629,84,1,female,parent,54381,6,collectif,21001A92-,Anderlecht,8,Nursing Home,21001A92-,JAKOB SMITS
113,21001A441,DOCTEUR ROUX,34397,77,0,male,parent,18684,6,collectif,21001A441,Anderlecht,8,Nursing Home,21001A441,DOCTEUR ROUX
114,21001B20-,CONSEIL-NORD,62267,72,0,male,parent,33648,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
115,21001A84-,POESIE,28246,94,1,female,parent,15411,6,collectif,21001A84-,Anderlecht,8,Nursing Home,21001A84-,POESIE
116,21001A72-,OSSEGEM,82605,73,0,male,parent,44474,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
117,21001A451,VENIZELOS,42222,76,1,female,parent,23227,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
118,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51378,76,1,female,parent,28264,6,collectif,21001A31-,Anderlecht,8,Nursing Home,21001A31-,CHAUSSEE DE MONS - SAINT-LUC
119,21001A712,SCHEUT - DE SMET,87986,80,1,female,parent,47283,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
120,21001A32-,AURORE,17191,71,1,female,parent,9334,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
121,21001A95-,BUFFON,109262,74,0,male,parent,57762,6,collectif,21001A95-,Anderlecht,8,Nursing Home,21001A95-,BUFFON
122,21001B25-,REVISION-NORD,78172,68,0,male,parent,42091,6,collectif,21001B25-,Anderlecht,8,Nursing Home,21001B25-,REVISION-NORD
123,21001A41-,ROMAIN ROLLAND,20235,77,0,male,parent,11045,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
124,21001A02-,WAYEZ,122738,84,1,female,parent,64729,6,collectif,21001A02-,Anderlecht,8,Nursing Home,21001A02-,WAYEZ
125,21001C71-,BON AIR - CITE JARDIN,37501,76,1,female,parent,20451,6,collectif,21001C71-,Anderlecht,8,Nursing Home,21001C71-,BON AIR - CITE JARDIN
126,21001A112,BIESTEBROEK,125749,81,0,male,parent,66283,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
127,21001A80-,SILLON,48185,80,1,female,parent,26401,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
128,21001A00-,RESISTANCE,105668,74,1,female,parent,56035,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
129,21001A80-,SILLON,48232,74,1,female,parent,26448,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
130,21001A74-,SCHEUT-OUEST,98794,77,1,female,parent,52564,6,collectif,21001A74-,Anderlecht,8,Nursing Home,21001A74-,SCHEUT-OUEST
131,21001A85-,AUBADE,20956,74,0,male,parent,11444,6,collectif,21001A85-,Anderlecht,8,Nursing Home,21001A85-,AUBADE
132,21001A712,SCHEUT - DE SMET,87989,77,1,female,parent,47286,6,collectif,21001A712,Anderlecht,8,Nursing Home,21001A712,SCHEUT - DE SMET
133,21001A80-,SILLON,48204,77,1,female,parent,26420,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
134,21001B332,GOUJONS,113318,73,0,male,parent,59959,6,collectif,21001B332,Anderlecht,8,Nursing Home,21001B332,GOUJONS
135,21001A74-,SCHEUT-OUEST,99101,69,0,male,parent,52871,6,collectif,21001A74-,Anderlecht,8,Nursing Home,21001A74-,SCHEUT-OUEST
136,21001A30-,BIZET,44815,72,1,female,parent,24394,6,collectif,21001A30-,Anderlecht,8,Nursing Home,21001A30-,BIZET
137,21001A81-,BROECK,50481,76,0,male,parent,27791,6,collectif,21001A81-,Anderlecht,8,Nursing Home,21001A81-,BROECK
138,21001A011,KLEINMOLEN,85942,74,0,male,parent,46252,6,collectif,21001A011,Anderlecht,8,Nursing Home,21001A011,KLEINMOLEN
139,21001A350,CERIA - ZONE D'HABITAT,32076,77,0,male,parent,17422,6,collectif,21001A350,Anderlecht,8,Nursing Home,21001A350,CERIA - ZONE D'HABITAT
140,21001A72-,OSSEGEM,82424,83,1,female,parent,44293,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
141,21001A90-,SCHEUTKAPEL,72177,74,0,male,parent,39076,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
142,21001A112,BIESTEBROEK,125741,84,0,male,parent,66275,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
143,21001A42-,KAT,23391,80,0,male,parent,12916,6,collectif,21001A42-,Anderlecht,8,Nursing Home,21001A42-,KAT
144,21001B21-,BROGNIEZ-NORD,91705,84,1,female,parent,49105,6,collectif,21001B21-,Anderlecht,8,Nursing Home,21001B21-,BROGNIEZ-NORD
145,21001A112,BIESTEBROEK,125767,74,0,male,parent,66301,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
146,21001B20-,CONSEIL-NORD,62014,75,1,female,parent,33395,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
147,21001B31-,ALBERT I- IMMEUBLES,74126,72,1,female,parent,40106,6,collectif,21001B31-,Anderlecht,8,Nursing Home,21001B31-,ALBERT I- IMMEUBLES
148,21001B20-,CONSEIL-NORD,62284,66,0,male,parent,33665,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
149,21001B31-,ALBERT I- IMMEUBLES,74220,75,0,male,parent,40200,6,collectif,21001B31-,Anderlecht,8,Nursing Home,21001B31-,ALBERT I- IMMEUBLES
150,21001A503,VIVES,8977,67,1,female,parent,4953,6,collectif,21001A503,Anderlecht,8,Nursing Home,21001A503,VIVES
151,21001A441,DOCTEUR ROUX,34275,69,1,female,parent,18562,6,collectif,21001A441,Anderlecht,8,Nursing Home,21001A441,DOCTEUR ROUX
152,21001A90-,SCHEUTKAPEL,72078,74,1,female,parent,38977,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
153,21001A81-,BROECK,50483,76,0,male,parent,27793,6,collectif,21001A81-,Anderlecht,8,Nursing Home,21001A81-,BROECK
154,21001A90-,SCHEUTKAPEL,72174,75,0,male,parent,39073,6,collectif,21001A90-,Anderlecht,8,Nursing Home,21001A90-,SCHEUTKAPEL
155,21001B22-,BROGNIEZ-SUD,54737,69,0,male,parent,30059,6,collectif,21001B22-,Anderlecht,8,Nursing Home,21001B22-,BROGNIEZ-SUD
156,21001B241,REVISION-SUD,115304,79,0,male,parent,60965,6,collectif,21001B241,Anderlecht,8,Nursing Home,21001B241,REVISION-SUD
157,21001A30-,BIZET,45131,73,0,male,parent,24710,6,collectif,21001A30-,Anderlecht,8,Nursing Home,21001A30-,BIZET
158,21001A031,RAUTER-SUD,53402,68,0,male,parent,29324,6,collectif,21001A031,Anderlecht,8,Nursing Home,21001A031,RAUTER-SUD
159,21001C70-,BON AIR - CENTRE,24309,66,0,male,parent,13462,6,collectif,21001C70-,Anderlecht,8,Nursing Home,21001C70-,BON AIR - CENTRE
160,21001A34-,ROUE - CITE JARDIN,30445,66,1,female,parent,16455,6,collectif,21001A34-,Anderlecht,8,Nursing Home,21001A34-,ROUE - CITE JARDIN
161,21001A74-,SCHEUT-OUEST,99105,69,0,male,parent,52875,6,collectif,21001A74-,Anderlecht,8,Nursing Home,21001A74-,SCHEUT-OUEST
162,21001A00-,RESISTANCE,105669,74,1,female,parent,56036,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
163,21001A931,AGRAFE-NORBERT GILLE,96317,74,0,male,parent,51489,6,collectif,21001A931,Anderlecht,8,Nursing Home,21001A931,AGRAFE-NORBERT GILLE
164,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51423,78,0,male,parent,28309,6,collectif,21001A31-,Anderlecht,8,Nursing Home,21001A31-,CHAUSSEE DE MONS - SAINT-LUC
165,21001A931,AGRAFE-NORBERT GILLE,96321,72,0,male,parent,51493,6,collectif,21001A931,Anderlecht,8,Nursing Home,21001A931,AGRAFE-NORBERT GILLE
166,21001A95-,BUFFON,109163,77,1,female,parent,57663,6,collectif,21001A95-,Anderlecht,8,Nursing Home,21001A95-,BUFFON
167,21001A552,TREFLE,26838,72,1,female,parent,14651,6,collectif,21001A552,Anderlecht,8,Nursing Home,21001A552,TREFLE
168,21001A72-,OSSEGEM,82603,73,0,male,parent,44472,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
169,21001A350,CERIA - ZONE D'HABITAT,31980,72,1,female,parent,17326,6,collectif,21001A350,Anderlecht,8,Nursing Home,21001A350,CERIA - ZONE D'HABITAT
170,21001A451,VENIZELOS,42204,80,1,female,parent,23209,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
171,21001B20-,CONSEIL-NORD,62015,75,1,female,parent,33396,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
172,21001A051,LINDE-EST,66908,81,1,female,parent,36238,6,collectif,21001A051,Anderlecht,8,Nursing Home,21001A051,LINDE-EST
173,21001A80-,SILLON,48270,71,1,female,parent,26486,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
174,21001A451,VENIZELOS,42232,74,1,female,parent,23237,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
175,21001A32-,AURORE,17080,89,1,female,parent,9223,6,collectif,21001A32-,Anderlecht,8,Nursing Home,21001A32-,AURORE
176,21001A72-,OSSEGEM,82432,80,1,female,parent,44301,6,collectif,21001A72-,Anderlecht,8,Nursing Home,21001A72-,OSSEGEM
177,21001A051,LINDE-EST,66897,89,1,female,parent,36227,6,collectif,21001A051,Anderlecht,8,Nursing Home,21001A051,LINDE-EST
178,21001A112,BIESTEBROEK,125614,83,1,female,parent,66148,6,collectif,21001A112,Anderlecht,8,Nursing Home,21001A112,BIESTEBROEK
179,21001A00-,RESISTANCE,105676,71,1,female,parent,56043,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
180,21001A041,VEEWEYDE-SUD,2734,69,0,male,parent,1304,6,collectif,21001A041,Anderlecht,8,Nursing Home,21001A041,VEEWEYDE-SUD
