,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
16,21009A52-,GRAY (RUE),554314,54,1,female,parent,305246,1,couple_with_child,Ixelles,6,Worker,21009A451,CHATELAIN (PLACE DU)-EST
17,21009A101,FLAGEY (PLACE),521595,61,1,female,parent,285032,3,single,Ixelles,6,Worker,21009A01-,BLYCKAERTS
18,21009A73-,BERCKENDAEL,588103,61,0,male,parent,327118,1,couple_with_child,Ixelles,6,Worker,21009A501,LUXEMBOURG (PLACE DE)
19,21009A63-,MACAU,529943,35,1,female,parent,290236,3,single,Ixelles,6,Worker,21009A051,SAINT-BONIFACE
20,21009A52-,GRAY (RUE),555119,40,1,female,parent,305570,1,couple_with_child,Ixelles,6,Worker,21001B11-,ROSEE-OUEST
21,21013A201,ANGLETERRE (RUE D'),794268,35,1,female,child,433408,1,couple_with_child,Saint-Gilles,6,Worker,21013A422,CRICKX (RUE)
22,21013A101,PARVIS,779419,43,0,male,parent,425059,3,single,Saint-Gilles,6,Worker,21013A121,GUILLAUME TELL-SUD
23,21013A40-,BARRIERE,818269,32,0,male,parent,447491,3,single,Saint-Gilles,6,Worker,21013A422,CRICKX (RUE)
24,21013A23-,ROI (AVENUE DU),799388,18,0,male,child,435962,4,single_with_child,Saint-Gilles,6,Worker,21013A121,GUILLAUME TELL-SUD
25,21014A12-,SAINT-LAZARE,844294,44,0,male,parent,462179,3,single,Saint-Josse-ten-Noode,6,Worker,21004A83-,E. JACQMAIN (BOULEVARD)-OUEST
26,21014A10-,SAINT-FRANCOIS,840564,52,1,female,parent,460113,1,couple_with_child,Saint-Josse-ten-Noode,6,Worker,21004A20-,BOURSE-NORD-OUEST
27,21014A03-,MADOU,843417,33,1,female,parent,461675,4,single_with_child,Saint-Josse-ten-Noode,6,Worker,21004A32-,CONGRES - GARE
28,21014A04-,HAECHT (CHAUSSEE DE),846502,48,1,female,parent,463192,3,single,Saint-Josse-ten-Noode,6,Worker,21014A41-,BOSSUET
29,21014A01-,STEURS,844708,31,1,female,child,462388,1,couple_with_child,Saint-Josse-ten-Noode,6,Worker,21014A2MJ,NORD
30,21014A05-,HOUWAERT,855391,46,0,male,parent,467542,3,single,Saint-Josse-ten-Noode,6,Worker,21014A00-,PLACE SAINT-JOSSE
31,21014A02-,CHARITE,833747,59,0,male,parent,456482,3,single,Saint-Josse-ten-Noode,6,Worker,21014A04-,HAECHT (CHAUSSEE DE)
32,21014A02-,CHARITE,834126,30,1,female,parent,456801,5,colloc,Saint-Josse-ten-Noode,6,Worker,21004G3MJ,DOBBELENBERG (RUE DE)
33,21014A02-,CHARITE,833914,35,0,male,parent,456649,3,single,Saint-Josse-ten-Noode,6,Worker,21017A000,CENTRE DE BOITSFORT
34,21014A05-,HOUWAERT,851911,43,1,female,parent,465868,2,couple_no_child,Saint-Josse-ten-Noode,6,Worker,21004A14-,GRAND SABLON
35,21014A12-,SAINT-LAZARE,844339,27,0,male,parent,462224,3,single,Saint-Josse-ten-Noode,6,Worker,21014A04-,HAECHT (CHAUSSEE DE)
36,21015A35-,JEAN STOBBAERTS (AVENUE),909076,26,1,female,parent,495815,4,single_with_child,Schaerbeek,6,Worker,21004A72-,SAINT-THOMAS (INSTITUT)
37,21015A13-,PORTAELS (RUE),983067,41,0,male,parent,532432,5,colloc,Schaerbeek,6,Worker,21001C522,HOPITAL U.L.B.
38,21015A021,HOUFFALIZE (PLACE),893857,33,0,male,parent,488040,3,single,Schaerbeek,6,Worker,21004F930,COIN DES CERISES
