,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkID,WorkType
137,21001A83-,PETERBOS,4420,18,0,male,child,2375,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
139,21001A83-,PETERBOS,4461,18,1,female,child,2394,4,single_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
145,21001A83-,PETERBOS,4634,18,1,female,child,2467,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
148,21001A83-,PETERBOS,4747,18,1,female,child,2525,4,single_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
152,21001A83-,PETERBOS,4864,18,0,male,child,2574,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
155,21001A83-,PETERBOS,5013,18,1,female,child,2640,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
159,21001A83-,PETERBOS,5159,18,0,male,child,2704,4,single_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
162,21001A83-,PETERBOS,5175,18,1,female,child,2708,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
165,21001A83-,PETERBOS,5241,18,0,male,child,2733,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
170,21001A83-,PETERBOS,5380,18,0,male,child,2795,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
176,21001A83-,PETERBOS,5467,18,1,female,child,2835,4,single_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
178,21001A83-,PETERBOS,5579,18,0,male,child,2882,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
180,21001A83-,PETERBOS,5680,18,1,female,child,2926,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
192,21001A503,VIVES,8564,18,1,female,parent,4622,1,couple_with_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
194,21001A503,VIVES,8569,18,1,female,parent,4624,2,couple_no_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
195,21001A503,VIVES,8570,18,0,male,parent,4624,2,couple_no_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
196,21001A503,VIVES,8571,18,1,female,parent,4625,3,single,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
197,21001A503,VIVES,8579,18,0,male,parent,4628,1,couple_with_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
202,21001A503,VIVES,8816,18,0,male,parent,4860,3,single,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
203,21001A503,VIVES,8817,18,0,male,parent,4861,3,single,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
212,21001A503,VIVES,7891,18,1,female,child,4316,1,couple_with_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
213,21001A503,VIVES,7919,18,1,female,child,4329,1,couple_with_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
220,21001A503,VIVES,8208,18,1,female,child,4474,1,couple_with_child,21001A503,Anderlecht,21001A503,VIVES,Anderlecht,6,Worker
222,21001A332,ROUE,9941,18,0,male,parent,5385,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
228,21001A332,ROUE,9990,18,1,female,parent,5400,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
229,21001A332,ROUE,9992,18,1,female,parent,5401,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
230,21001A332,ROUE,9994,18,1,female,parent,5402,2,couple_no_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
231,21001A332,ROUE,10005,18,0,male,parent,5408,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
232,21001A332,ROUE,10007,18,0,male,parent,5409,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
234,21001A332,ROUE,10127,18,0,male,parent,5528,3,single,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
242,21001A332,ROUE,9563,18,1,female,child,5256,1,couple_with_child,21001A332,Anderlecht,21001A332,ROUE,Anderlecht,6,Worker
248,21001A43-,VAN BEETHOVEN,11453,18,0,male,parent,6180,1,couple_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
254,21001A43-,VAN BEETHOVEN,11469,18,0,male,parent,6186,1,couple_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
256,21001A43-,VAN BEETHOVEN,11473,18,0,male,parent,6187,1,couple_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
260,21001A43-,VAN BEETHOVEN,11481,18,1,female,parent,6193,1,couple_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
262,21001A43-,VAN BEETHOVEN,11485,18,1,female,parent,6195,3,single,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
263,21001A43-,VAN BEETHOVEN,11486,18,1,female,parent,6196,3,single,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
266,21001A43-,VAN BEETHOVEN,11659,18,0,male,parent,6363,3,single,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
267,21001A43-,VAN BEETHOVEN,11660,18,0,male,parent,6364,3,single,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
271,21001A43-,VAN BEETHOVEN,10649,18,1,female,child,5868,4,single_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,6,Worker
288,21001A401,ARBORETUM,12503,18,1,female,parent,6827,1,couple_with_child,21001A401,Anderlecht,21001A401,ARBORETUM,Anderlecht,6,Worker
290,21001A401,ARBORETUM,12507,18,0,male,parent,6828,2,couple_no_child,21001A401,Anderlecht,21001A401,ARBORETUM,Anderlecht,6,Worker
292,21001A401,ARBORETUM,12510,18,0,male,parent,6830,1,couple_with_child,21001A401,Anderlecht,21001A401,ARBORETUM,Anderlecht,6,Worker
300,21001A32-,AURORE,16019,18,0,male,parent,8561,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
340,21001A32-,AURORE,16359,18,1,female,parent,8687,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
342,21001A32-,AURORE,16361,18,1,female,parent,8688,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
345,21001A32-,AURORE,16367,18,1,female,parent,8691,2,couple_no_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
347,21001A32-,AURORE,16371,18,1,female,parent,8693,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
357,21001A32-,AURORE,16859,18,0,male,parent,9169,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
358,21001A32-,AURORE,16860,18,0,male,parent,9170,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
359,21001A32-,AURORE,16861,18,0,male,parent,9171,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
360,21001A32-,AURORE,16862,18,0,male,parent,9172,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
362,21001A32-,AURORE,13375,18,0,male,child,7420,4,single_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
363,21001A32-,AURORE,13425,18,0,male,child,7447,4,single_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
365,21001A32-,AURORE,13538,18,1,female,child,7516,4,single_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
375,21001A32-,AURORE,14043,18,1,female,child,7733,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
376,21001A32-,AURORE,14134,18,0,male,child,7768,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
383,21001A32-,AURORE,14751,18,0,male,child,8040,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
386,21001A32-,AURORE,14840,18,1,female,child,8075,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
389,21001A32-,AURORE,14958,18,1,female,child,8132,4,single_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
392,21001A32-,AURORE,15038,18,1,female,child,8165,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
393,21001A32-,AURORE,15055,18,0,male,child,8170,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
394,21001A32-,AURORE,15057,18,1,female,child,8170,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
399,21001A32-,AURORE,15202,18,0,male,child,8232,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,6,Worker
407,21001A53-,NELLIE MELBA,17623,18,0,male,parent,9565,1,couple_with_child,21001A53-,Anderlecht,21001A53-,NELLIE MELBA,Anderlecht,6,Worker
410,21001A53-,NELLIE MELBA,17630,18,1,female,parent,9568,1,couple_with_child,21001A53-,Anderlecht,21001A53-,NELLIE MELBA,Anderlecht,6,Worker
411,21001A53-,NELLIE MELBA,17632,18,1,female,parent,9569,2,couple_no_child,21001A53-,Anderlecht,21001A53-,NELLIE MELBA,Anderlecht,6,Worker
413,21001A53-,NELLIE MELBA,17635,18,0,male,parent,9570,1,couple_with_child,21001A53-,Anderlecht,21001A53-,NELLIE MELBA,Anderlecht,6,Worker
414,21001A53-,NELLIE MELBA,17637,18,0,male,parent,9571,2,couple_no_child,21001A53-,Anderlecht,21001A53-,NELLIE MELBA,Anderlecht,6,Worker
423,21001A41-,ROMAIN ROLLAND,19550,18,0,male,parent,10541,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
424,21001A41-,ROMAIN ROLLAND,19614,18,0,male,parent,10559,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
435,21001A41-,ROMAIN ROLLAND,19660,18,1,female,parent,10583,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
437,21001A41-,ROMAIN ROLLAND,19664,18,1,female,parent,10585,2,couple_no_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
438,21001A41-,ROMAIN ROLLAND,19666,18,1,female,parent,10586,3,single,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
442,21001A41-,ROMAIN ROLLAND,19907,18,0,male,parent,10821,3,single,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
443,21001A41-,ROMAIN ROLLAND,19908,18,0,male,parent,10822,3,single,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
446,21001A41-,ROMAIN ROLLAND,18194,18,1,female,child,9968,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
449,21001A41-,ROMAIN ROLLAND,18347,18,1,female,child,10042,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
451,21001A41-,ROMAIN ROLLAND,18494,18,0,male,child,10107,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
453,21001A41-,ROMAIN ROLLAND,18700,18,1,female,child,10201,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
456,21001A41-,ROMAIN ROLLAND,18782,18,0,male,child,10236,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
465,21001A41-,ROMAIN ROLLAND,19152,18,1,female,child,10395,1,couple_with_child,21001A41-,Anderlecht,21001A41-,ROMAIN ROLLAND,Anderlecht,6,Worker
467,21001A85-,AUBADE,20758,18,1,female,parent,11281,1,couple_with_child,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
470,21001A85-,AUBADE,20815,18,0,male,parent,11330,3,single,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
478,21001A85-,AUBADE,20497,18,0,male,child,11203,1,couple_with_child,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
481,21001A85-,AUBADE,20591,18,0,male,child,11233,1,couple_with_child,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
482,21001A85-,AUBADE,20592,18,0,male,child,11233,1,couple_with_child,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
483,21001A85-,AUBADE,20619,18,1,female,child,11242,1,couple_with_child,21001A85-,Anderlecht,21001A85-,AUBADE,Anderlecht,6,Worker
486,21001A51-,SCHERDEMAEL,22378,18,0,male,parent,12228,1,couple_with_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
487,21001A51-,SCHERDEMAEL,22384,18,0,male,parent,12230,1,couple_with_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
488,21001A51-,SCHERDEMAEL,22389,18,0,male,parent,12231,2,couple_no_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
499,21001A51-,SCHERDEMAEL,22438,18,1,female,parent,12260,1,couple_with_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
501,21001A51-,SCHERDEMAEL,22440,18,1,female,parent,12261,2,couple_no_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
502,21001A51-,SCHERDEMAEL,22441,18,0,male,parent,12261,2,couple_no_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
503,21001A51-,SCHERDEMAEL,22442,18,1,female,parent,12262,2,couple_no_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
504,21001A51-,SCHERDEMAEL,22443,18,0,male,parent,12262,2,couple_no_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
514,21001A51-,SCHERDEMAEL,21900,18,1,female,child,12017,1,couple_with_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,6,Worker
523,21001A42-,KAT,23264,18,1,female,parent,12813,1,couple_with_child,21001A42-,Anderlecht,21001A42-,KAT,Anderlecht,6,Worker
525,21001A42-,KAT,23266,18,1,female,parent,12814,2,couple_no_child,21001A42-,Anderlecht,21001A42-,KAT,Anderlecht,6,Worker
526,21001A42-,KAT,23268,18,1,female,parent,12815,3,single,21001A42-,Anderlecht,21001A42-,KAT,Anderlecht,6,Worker
527,21001A42-,KAT,23270,18,0,male,parent,12816,1,couple_with_child,21001A42-,Anderlecht,21001A42-,KAT,Anderlecht,6,Worker
536,21001A52-,SCHERDEMAEL-NORD,23846,18,0,male,parent,13167,1,couple_with_child,21001A52-,Anderlecht,21001A52-,SCHERDEMAEL-NORD,Anderlecht,6,Worker
538,21001A52-,SCHERDEMAEL-NORD,23855,18,1,female,parent,13170,1,couple_with_child,21001A52-,Anderlecht,21001A52-,SCHERDEMAEL-NORD,Anderlecht,6,Worker
539,21001A52-,SCHERDEMAEL-NORD,23858,18,1,female,parent,13171,2,couple_no_child,21001A52-,Anderlecht,21001A52-,SCHERDEMAEL-NORD,Anderlecht,6,Worker
544,21001A52-,SCHERDEMAEL-NORD,23707,18,0,male,child,13118,1,couple_with_child,21001A52-,Anderlecht,21001A52-,SCHERDEMAEL-NORD,Anderlecht,6,Worker
558,21001A552,TREFLE,26231,18,0,male,parent,14269,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
562,21001A552,TREFLE,26285,18,0,male,parent,14288,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
564,21001A552,TREFLE,26304,18,0,male,parent,14297,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
567,21001A552,TREFLE,26327,18,0,male,parent,14303,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
568,21001A552,TREFLE,26331,18,0,male,parent,14304,2,couple_no_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
589,21001A552,TREFLE,26421,18,1,female,parent,14351,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
590,21001A552,TREFLE,26423,18,1,female,parent,14352,2,couple_no_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
591,21001A552,TREFLE,26425,18,1,female,parent,14353,2,couple_no_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
593,21001A552,TREFLE,26428,18,1,female,parent,14355,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
594,21001A552,TREFLE,26429,18,1,female,parent,14356,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
595,21001A552,TREFLE,26430,18,1,female,parent,14357,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
603,21001A552,TREFLE,26663,18,0,male,parent,14584,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
604,21001A552,TREFLE,26664,18,0,male,parent,14585,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
605,21001A552,TREFLE,26665,18,0,male,parent,14586,3,single,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
607,21001A552,TREFLE,26736,18,1,female,parent,14606,5,colloc,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
618,21001A552,TREFLE,24915,18,1,female,child,13781,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
623,21001A552,TREFLE,25181,18,0,male,child,13878,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
624,21001A552,TREFLE,25217,18,0,male,child,13892,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
626,21001A552,TREFLE,25259,18,1,female,child,13908,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
628,21001A552,TREFLE,25349,18,0,male,child,13941,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
635,21001A552,TREFLE,25641,18,0,male,child,14050,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
640,21001A552,TREFLE,25773,18,0,male,child,14098,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
641,21001A552,TREFLE,25814,18,1,female,child,14114,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
642,21001A552,TREFLE,26678,18,1,female,child,14591,4,single_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,6,Worker
659,21001A84-,POESIE,28075,18,1,female,parent,15306,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
661,21001A84-,POESIE,28078,18,1,female,parent,15307,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
662,21001A84-,POESIE,28079,18,0,male,parent,15307,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
663,21001A84-,POESIE,28082,18,1,female,parent,15308,2,couple_no_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
664,21001A84-,POESIE,28083,18,0,male,parent,15308,2,couple_no_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
668,21001A84-,POESIE,27341,18,1,female,child,15058,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
673,21001A84-,POESIE,27543,18,0,male,child,15132,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
675,21001A84-,POESIE,27557,18,0,male,child,15137,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
678,21001A84-,POESIE,27684,18,0,male,child,15180,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,6,Worker
692,21001A34-,ROUE - CITE JARDIN,30043,18,0,male,parent,16174,1,couple_with_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
694,21001A34-,ROUE - CITE JARDIN,30053,18,0,male,parent,16179,1,couple_with_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
695,21001A34-,ROUE - CITE JARDIN,30055,18,0,male,parent,16180,1,couple_with_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
712,21001A34-,ROUE - CITE JARDIN,30091,18,0,male,parent,16199,2,couple_no_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
716,21001A34-,ROUE - CITE JARDIN,30102,18,1,female,parent,16207,2,couple_no_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
720,21001A34-,ROUE - CITE JARDIN,30320,18,0,male,parent,16377,5,colloc,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,6,Worker
