,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType
16,21001A931,AGRAFE-NORBERT GILLE,95328,18,0,male,child,50948,1,couple_with_child,21001A931,Anderlecht,21001A931,AGRAFE-NORBERT GILLE,Anderlecht,7,StayHome
17,21001A43-,VAN BEETHOVEN,11453,18,0,male,parent,6180,1,couple_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,7,StayHome
18,21001A30-,BIZET,44051,18,0,male,parent,23918,2,couple_no_child,21001A30-,Anderlecht,21001A30-,BIZET,Anderlecht,7,StayHome
19,21001A10-,PORSELEIN,115831,18,0,male,child,61304,1,couple_with_child,21001A10-,Anderlecht,21001A10-,PORSELEIN,Anderlecht,7,StayHome
20,21001B21-,BROGNIEZ-NORD,90741,18,0,male,parent,48469,1,couple_with_child,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,7,StayHome
21,21001B332,GOUJONS,112813,18,0,male,child,59650,4,single_with_child,21001B332,Anderlecht,21001B332,GOUJONS,Anderlecht,7,StayHome
22,21001A32-,AURORE,16861,18,0,male,parent,9171,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,7,StayHome
23,21001A112,BIESTEBROEK,125445,18,0,male,parent,66103,3,single,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,7,StayHome
24,21001B10-,ROSEE-EST,110035,18,0,male,child,58150,1,couple_with_child,21001B10-,Anderlecht,21001B10-,ROSEE-EST,Anderlecht,7,StayHome
25,21001B31-,ALBERT I- IMMEUBLES,73550,18,0,male,child,39866,4,single_with_child,21001B31-,Anderlecht,21001B31-,ALBERT I- IMMEUBLES,Anderlecht,7,StayHome
26,21001A83-,PETERBOS,6106,18,0,male,parent,3083,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,7,StayHome
27,21001B20-,CONSEIL-NORD,61618,18,0,male,parent,33264,3,single,21001B20-,Anderlecht,21001B20-,CONSEIL-NORD,Anderlecht,7,StayHome
28,21001B20-,CONSEIL-NORD,60810,18,0,male,parent,32548,1,couple_with_child,21001B20-,Anderlecht,21001B20-,CONSEIL-NORD,Anderlecht,7,StayHome
29,21001A92-,JAKOB SMITS,102080,18,0,male,parent,54047,1,couple_with_child,21001A92-,Anderlecht,21001A92-,JAKOB SMITS,Anderlecht,7,StayHome
30,21001C71-,BON AIR - CITE JARDIN,36900,18,0,male,child,20160,4,single_with_child,21001C71-,Anderlecht,21001C71-,BON AIR - CITE JARDIN,Anderlecht,7,StayHome
31,21001A112,BIESTEBROEK,124128,18,0,male,child,65430,1,couple_with_child,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,7,StayHome
32,21001A34-,ROUE - CITE JARDIN,28886,18,0,male,child,15800,1,couple_with_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,7,StayHome
33,21001A472,STADE COMMUNAL - INDUSTRIE,3613,18,0,male,parent,1807,3,single,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,7,StayHome
34,21001A552,TREFLE,26285,18,0,male,parent,14288,1,couple_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,7,StayHome
35,21001A112,BIESTEBROEK,124046,18,0,male,child,65405,4,single_with_child,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,7,StayHome
36,21001A031,RAUTER-SUD,53176,18,0,male,parent,29176,3,single,21001A031,Anderlecht,21001A031,RAUTER-SUD,Anderlecht,7,StayHome
37,21001A112,BIESTEBROEK,125446,18,0,male,parent,66104,3,single,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,7,StayHome
38,21001A00-,RESISTANCE,104774,18,0,male,parent,55480,1,couple_with_child,21001A00-,Anderlecht,21001A00-,RESISTANCE,Anderlecht,7,StayHome
39,21001A02-,WAYEZ,122437,18,0,male,parent,64543,1,couple_with_child,21001A02-,Anderlecht,21001A02-,WAYEZ,Anderlecht,7,StayHome
40,21001B20-,CONSEIL-NORD,61617,18,0,male,parent,33263,3,single,21001B20-,Anderlecht,21001B20-,CONSEIL-NORD,Anderlecht,7,StayHome
41,21001A041,VEEWEYDE-SUD,2162,18,0,male,parent,855,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,7,StayHome
42,21001A941,CROCUS,68434,18,0,male,child,37011,1,couple_with_child,21001A941,Anderlecht,21001A941,CROCUS,Anderlecht,7,StayHome
43,21001B20-,CONSEIL-NORD,61620,18,0,male,parent,33266,3,single,21001B20-,Anderlecht,21001B20-,CONSEIL-NORD,Anderlecht,7,StayHome
44,21001A51-,SCHERDEMAEL,22439,18,0,male,parent,12260,1,couple_with_child,21001A51-,Anderlecht,21001A51-,SCHERDEMAEL,Anderlecht,7,StayHome
45,21001A84-,POESIE,27751,18,0,male,child,15204,1,couple_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,7,StayHome
46,21001A441,DOCTEUR ROUX,34173,18,0,male,parent,18511,5,colloc,21001A441,Anderlecht,21001A441,DOCTEUR ROUX,Anderlecht,7,StayHome
47,21001B321,ALBERT I- QUARTIER,56309,18,0,male,parent,30685,1,couple_with_child,21001B321,Anderlecht,21001B321,ALBERT I- QUARTIER,Anderlecht,7,StayHome
48,21001A02-,WAYEZ,122213,18,0,male,child,64472,4,single_with_child,21001A02-,Anderlecht,21001A02-,WAYEZ,Anderlecht,7,StayHome
49,21001A72-,OSSEGEM,80811,18,0,male,child,43505,1,couple_with_child,21001A72-,Anderlecht,21001A72-,OSSEGEM,Anderlecht,7,StayHome
50,21001A142,VEEWEYDE-NORD,65214,18,0,male,parent,35363,2,couple_no_child,21001A142,Anderlecht,21001A142,VEEWEYDE-NORD,Anderlecht,7,StayHome
51,21001C522,HOPITAL U.L.B.,40547,18,0,male,parent,22388,3,single,21001C522,Anderlecht,21001C522,HOPITAL U.L.B.,Anderlecht,7,StayHome
52,21001C71-,BON AIR - CITE JARDIN,37201,18,0,male,parent,20270,1,couple_with_child,21001C71-,Anderlecht,21001C71-,BON AIR - CITE JARDIN,Anderlecht,7,StayHome
53,21001C71-,BON AIR - CITE JARDIN,37025,18,0,male,child,20210,1,couple_with_child,21001C71-,Anderlecht,21001C71-,BON AIR - CITE JARDIN,Anderlecht,7,StayHome
54,21001A152,LINDE-OUEST,121382,18,0,male,parent,64001,1,couple_with_child,21001A152,Anderlecht,21001A152,LINDE-OUEST,Anderlecht,7,StayHome
55,21001B332,GOUJONS,112600,18,0,male,child,59556,1,couple_with_child,21001B332,Anderlecht,21001B332,GOUJONS,Anderlecht,7,StayHome
56,21001A83-,PETERBOS,4420,18,0,male,child,2375,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,7,StayHome
57,21001A83-,PETERBOS,6103,18,0,male,parent,3082,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,7,StayHome
58,21001C512,CHANTS D'OISEAUX,35028,18,0,male,child,19128,1,couple_with_child,21001C512,Anderlecht,21001C512,CHANTS D'OISEAUX,Anderlecht,7,StayHome
59,21004E201,AVENUE JEAN DE BOLOGNE,317480,18,0,male,child,174545,1,couple_with_child,21004E201,Bruxelles,21004E201,AVENUE JEAN DE BOLOGNE,Bruxelles,7,StayHome
60,21004E72-,MAISON ROUGE (PLACE)-SUD,340218,18,0,male,parent,185364,3,single,21004E72-,Bruxelles,21004E72-,MAISON ROUGE (PLACE)-SUD,Bruxelles,7,StayHome
61,21004E222,MUTSAARD (AVENUE),375316,18,0,male,child,204197,4,single_with_child,21004E222,Bruxelles,21004E222,MUTSAARD (AVENUE),Bruxelles,7,StayHome
62,21004F511,AVENUE DES PAGODES,196534,18,0,male,parent,104144,1,couple_with_child,21004F511,Bruxelles,21004F511,AVENUE DES PAGODES,Bruxelles,7,StayHome
63,21007A142,MONTE CARLO,490312,18,0,male,parent,268456,1,couple_with_child,21007A142,Forest,21007A142,MONTE CARLO,Forest,7,StayHome
64,21014A14-,PRAIRIE,835599,18,0,male,parent,457666,5,colloc,21014A14-,Saint-Josse-ten-Noode,21014A14-,PRAIRIE,Saint-Josse-ten-Noode,7,StayHome
65,21014A10-,SAINT-FRANCOIS,841584,18,0,male,parent,460419,1,couple_with_child,21014A10-,Saint-Josse-ten-Noode,21014A10-,SAINT-FRANCOIS,Saint-Josse-ten-Noode,7,StayHome
66,21014A02-,CHARITE,834039,18,0,male,parent,456774,3,single,21014A02-,Saint-Josse-ten-Noode,21014A02-,CHARITE,Saint-Josse-ten-Noode,7,StayHome
67,21015A32-,CONSOLATION (RUE DE LA),898866,18,0,male,child,490831,1,couple_with_child,21015A32-,Schaerbeek,21015A32-,CONSOLATION (RUE DE LA),Schaerbeek,7,StayHome
68,21015A30-,GRANDE RUE AU BOIS,897495,18,0,male,parent,489798,2,couple_no_child,21015A30-,Schaerbeek,21015A30-,GRANDE RUE AU BOIS,Schaerbeek,7,StayHome
69,21015A152,PR. ELISABETH-NORD,932388,18,0,male,child,508055,4,single_with_child,21015A152,Schaerbeek,21015A152,PR. ELISABETH-NORD,Schaerbeek,7,StayHome
70,21012A30-,METTEWIE - IDYLLE,751455,18,0,male,child,410645,1,couple_with_child,21012A30-,Molenbeek Saint-Jean,21012A30-,METTEWIE - IDYLLE,Molenbeek Saint-Jean,7,StayHome
71,21012A152,ETANGS NOIRS,742374,18,0,male,child,405580,4,single_with_child,21012A152,Molenbeek Saint-Jean,21012A152,ETANGS NOIRS,Molenbeek Saint-Jean,7,StayHome
72,21012A811,MYRTES-NORD,764586,18,0,male,parent,417172,1,couple_with_child,21012A811,Molenbeek Saint-Jean,21012A811,MYRTES-NORD,Molenbeek Saint-Jean,7,StayHome
73,21012A20-,BAECK,722019,18,0,male,parent,395212,1,couple_with_child,21012A20-,Molenbeek Saint-Jean,21012A20-,BAECK,Molenbeek Saint-Jean,7,StayHome
