,SectorStatID,Nb de filles inscrites en secondaires habitant le ss
159,21001A132,31
160,21001B31-,51
161,21001B25-,151
162,21001B11-,28
163,21001A011,123
164,21001B17-,38
165,21001A712,36
166,21001A07-,13
167,21001B21-,133
168,21001A911,74
169,21001A931,59
170,21001A74-,115
171,21001A00-,105
172,21001A95-,110
173,21001B10-,116
174,21001B332,53
175,21001B241,68
176,21001A120,122
177,21001A152,41
178,21001A112,106
179,21002A20-,38
180,21002A53-,26
181,21002A511,82
182,21002A22-,19
183,21002A24-,45
184,21002A25-,46
185,21002A45-,26
186,21002A130,50
187,21002A311,39
188,21002A372,11
189,21002A21-,79
190,21002A411,19
191,21002A00-,38
192,21002A02-,19
193,21002A11-,30
194,21002A14-,15
195,21002A12-,45
196,21002A041,19
197,21002A01-,27
198,21002A52-,26
199,21003A323,25
200,21003A342,26
201,21003A331,28
202,21003A04-,41
203,21003A0AJ,56
204,21003A02-,95
205,21003A03-,57
206,21003A011,77
207,21003A00-,127
208,21003A283,5
209,21003A11-,52
210,21003A41-,26
211,21003A2MJ,12
212,21003A10-,93
213,21004B421,78
214,21004B411,28
215,21004F511,73
216,21004C62-,13
217,21004C65-,19
218,21004G310,49
219,21004F94-,42
220,21004F901,75
221,21004F930,95
222,21004G321,41
223,21004B2WJ,5
224,21004B45-,28
225,21004A25-,39
226,21004B2MJ,7
227,21004B44-,56
228,21004A24-,82
229,21004A35-,23
230,21004A83-,42
231,21004G3MJ,27
232,21004F91-,86
233,21004G3NJ,14
234,21004C642,12
235,21004C61-,21
236,21004C54-,35
237,21004C63-,32
238,21004B13-,3
239,21004F953,38
240,21004F9MJ,59
241,21004A02-,34
242,21004A23-,91
243,21004A01-,10
244,21004A22-,104
245,21004B10-,8
246,21004A72-,66
247,21004A71-,41
248,21004A002,8
249,21004A34-,14
250,21004A15-,9
251,21004A16-,64
252,21004A20-,58
253,21004A14-,36
254,21004A001,8
255,21004A32-,35
256,21004C52-,14
257,21004C552,38
258,21004C51-,15
259,21004A33-,44
260,21004C53-,14
261,21004C501,11
262,21004A21-,233
263,21004A13-,11
264,21004E70-,233
265,21004E83-,144
266,21004E130,184
267,21004E73-,147
268,21004D64-,41
269,21004E112,23
270,21004E211,37
271,21004D631,7
272,21004D6NJ,7
273,21004A822,7
274,21004E233,19
275,21004D672,31
276,21004F522,89
277,21004E82-,152
278,21004E222,56
279,21004E81-,41
280,21004D600,48
281,21005A02-,62
282,21005A33-,31
283,21005A14-,81
284,21005A13-,46
285,21005A082,6
286,21005A01-,68
287,21005A322,10
288,21005A311,39
289,21005A20-,39
290,21005A15-,61
291,21005A031,36
292,21005A051,96
293,21005A11-,60
294,21005A21-,12
295,21006A12-,35
296,21006A11-,26
297,21006A153,40
298,21006A13-,50
299,21006A02-,25
300,21006A03-,25
301,21006A094,13
302,21006A24-,29
303,21006A403,57
304,21006A21-,47
305,21006A23-,67
306,21006A312,11
307,21006A101,151
308,21006A001,117
309,21006A414,84
310,21006A171,16
311,21006A25-,43
312,21006A011,98
313,21006A142,46
314,21006A042,49
315,21006A052,72
316,21007A03-,50
317,21007A252,6
318,21007A21-,11
319,21007A75-,26
320,21007A111,32
321,21007A41-,18
322,21007A142,43
323,21007A50-,96
324,21007A552,9
325,21007A541,16
326,21007A61-,166
327,21007A06-,25
328,21007A04-,17
329,21007A00-,98
330,21007A101,80
331,21007A783,14
332,21007A071,42
333,21007A70-,88
334,21007A239,92
335,21009A101,40
336,21009A13-,23
337,21009A121,26
338,21009A63-,55
339,21009A42-,63
340,21009A40-,31
341,21009A301,26
342,21009A812,9
343,21009A33-,94
344,21009A43-,56
345,21009A41-,51
346,21009A83-,41
347,21009A52-,99
348,21009A44-,40
349,21009A712,12
350,21009A72-,25
351,21009A911,35
352,21009A311,8
353,21009A802,5
354,21009A82-,21
355,21009A111,72
356,21009A151,23
357,21009A451,45
358,21010A10-,75
359,21010A111,79
360,21010A312,42
361,21010A13-,149
362,21010A141,166
363,21010A01-,230
364,21010A21-,115
365,21011A11-,60
366,21011A20-,138
367,21011A10-,73
368,21011A01-,190
369,21011A02-,92
370,21011A00-,95
371,21012A552,51
372,21012A833,13
373,21012A84-,70
374,21012A26-,109
375,21012A25-,43
376,21012A172,52
377,21012A041,82
378,21012A00-,123
379,21012A05-,52
380,21012A851,33
381,21012A882,13
382,21012A22-,11
383,21012A12-,63
384,21012A672,103
385,21012A63-,105
386,21012A62-,216
387,21012A511,127
388,21012A20-,92
389,21012A611,58
390,21012A54-,136
391,21012A50-,98
392,21012A21-,101
393,21012A52-,144
394,21012A30-,70
395,21012A23-,136
396,21012A822,170
397,21012A811,35
398,21012A141,119
399,21012A03-,89
400,21012A02-,42
401,21012A011,48
402,21012A732,50
403,21013A242,43
404,21013A102,9
405,21013A101,73
406,21013A13-,82
407,21013A11-,35
408,21013A01-,75
409,21013A04-,42
410,21013A252,82
411,21013A23-,56
412,21013A02-,50
413,21013A612,8
414,21013A211,79
415,21013A052,23
416,21013A151,38
417,21013A522,26
418,21013A40-,52
419,21013A41-,70
420,21013A031,22
421,21013A00-,81
422,21013A51-,38
423,21014A02-,31
424,21014A14-,34
425,21014A41-,146
426,21014A10-,103
427,21014A03-,35
428,21014A12-,6
429,21014A01-,37
430,21014A05-,278
431,21014A3MJ,7
432,21015A77-,65
433,21015A73-,44
434,21015A782,8
435,21015A31-,86
436,21015A36-,38
437,21015A70-,56
438,21015A721,36
439,21015A822,10
440,21015A34-,52
441,21015A63-,43
442,21015A883,10
443,21015A811,52
444,21015A831,104
445,21015A30-,114
446,21015A64-,115
447,21015A33-,82
448,21015A35-,80
449,21015A53-,108
450,21015A54-,141
451,21015A52-,63
452,21015A51-,56
453,21015A05-,174
454,21015A101,57
455,21015A111,111
456,21015A142,8
457,21015A71-,46
458,21015A04-,186
459,21015A43-,54
460,21015A44-,142
461,21015A612,160
462,21015A45-,78
463,21015A00-,282
464,21015A01-,41
465,21015A13-,103
466,21015A272,4
467,21015A231,58
468,21015A21-,99
469,21016A901,66
470,21016A232,45
471,21016A111,30
472,21016A841,14
473,21016A85-,35
474,21016A042,22
475,21016A03-,98
476,21016A02-,92
477,21016A922,30
478,21016A912,35
479,21016A731,16
480,21016A772,25
481,21016A72-,43
482,21016A71-,60
483,21016A954,6
484,21016A80-,80
485,21016A225,11
486,21016A64-,63
487,21016A533,23
488,21016A943,20
489,21016A65-,40
490,21016A601,42
491,21016A620,38
492,21016A01-,155
493,21016A00-,142
494,21016A12-,75
495,21016A44-,85
496,21016A214,9
497,21016A322,22
498,21016A400,102
499,21016A429,59
500,21016A490,13
501,21016A639,106
502,21016A610,16
503,21016A342,110
504,21017A541,21
505,21017A11-,58
506,21017A240,24
507,21017A230,34
508,21017A220,25
509,21017A41-,43
510,21017A523,38
511,21017A624,16
512,21017A534,11
513,21017A501,10
514,21017A432,44
515,21017A021,14
516,21017A12-,97
517,21017A13-,36
518,21017A451,47
519,21017A041,29
520,21018A72-,71
521,21018A35-,47
522,21018A34-,36
523,21018A32-,10
524,21018A311,50
525,21018A33-,53
526,21018A22-,44
527,21018A512,41
528,21018A04-,44
529,21018A02-,35
530,21018A37-,6
531,21018A63-,67
532,21018A05-,35
533,21018A61-,69
534,21018A62-,100
535,21018A09-,5
536,21018A30-,38
537,21018A643,75
538,21018A60-,9
539,21018A81-,24
540,21018A84-,43
541,21018A00-,29
542,21018A43-,31
543,21018A41-,34
544,21018A42-,26
545,21018A01-,22
546,21018A14-,40
547,21018A12-,42
548,21018A82-,14
549,21018A87-,17
550,21018A3MJ,68
551,21019A231,39
552,21019A242,25
553,21019A252,42
554,21019A12-,26
555,21019A52-,27
556,21019A51-,45
557,21019A04-,20
558,21019A03-,36
559,21019A052,16
560,21019A001,42
561,21019A30-,39
562,21019A33-,41
563,21019A01-,21
564,21019A11-,32
565,21019A31-,45
566,21019A32-,85
567,21019A20-,61
568,21019A14-,48
569,21019A21-,51
570,21019A40-,111
571,21019A15-,64
572,21019A42-,37
573,21019A22-,14
574,21019A441,15
575,21019A41-,38
576,21001C6PB,17
