,SectorStatID,Nb de garcons inscrits en secondaires habitant le ss
326,21007A61-,163
327,21007A06-,25
328,21007A04-,16
329,21007A00-,126
330,21007A101,77
331,21007A783,16
332,21007A071,41
333,21007A70-,74
334,21007A239,72
335,21009A101,34
336,21009A13-,20
337,21009A121,20
338,21009A63-,58
339,21009A42-,69
340,21009A40-,33
341,21009A301,25
342,21009A812,9
343,21009A33-,86
344,21009A43-,44
345,21009A41-,53
346,21009A83-,52
347,21009A52-,110
348,21009A44-,38
349,21009A712,11
350,21009A72-,33
351,21009A911,31
352,21009A311,12
353,21009A802,10
354,21009A82-,19
355,21009A111,77
356,21009A151,18
357,21009A451,43
358,21010A10-,72
359,21010A111,66
360,21010A312,35
361,21010A13-,145
362,21010A141,154
363,21010A01-,227
364,21010A21-,118
365,21011A11-,67
366,21011A20-,139
367,21011A10-,81
368,21011A01-,172
369,21011A02-,95
370,21011A00-,98
371,21012A552,48
372,21012A833,12
373,21012A84-,77
374,21012A26-,110
375,21012A25-,52
376,21012A172,49
377,21012A041,81
378,21012A00-,123
379,21012A05-,49
380,21012A851,35
381,21012A882,15
382,21012A22-,9
383,21012A12-,68
384,21012A672,103
385,21012A63-,112
386,21012A62-,205
387,21012A511,132
388,21012A20-,86
389,21012A611,65
390,21012A54-,128
391,21012A50-,109
392,21012A21-,98
393,21012A52-,147
394,21012A30-,68
395,21012A23-,112
396,21012A822,202
397,21012A811,40
398,21012A141,126
399,21012A03-,89
400,21012A02-,42
401,21012A011,60
402,21012A732,56
403,21013A242,74
404,21013A102,6
405,21013A101,68
406,21013A13-,75
407,21013A11-,42
408,21013A01-,75
409,21013A04-,33
410,21013A252,71
411,21013A23-,56
412,21013A02-,53
413,21013A612,3
414,21013A211,89
415,21013A052,20
416,21013A151,50
417,21013A522,30
418,21013A40-,58
419,21013A41-,74
420,21013A031,25
421,21013A00-,70
422,21013A51-,48
423,21014A02-,38
424,21014A14-,46
425,21014A41-,165
426,21014A10-,106
427,21014A03-,36
428,21014A12-,11
429,21014A01-,32
430,21014A05-,250
431,21014A3MJ,9
432,21015A77-,69
433,21015A73-,42
434,21015A782,6
435,21015A31-,63
436,21015A36-,49
437,21015A70-,57
438,21015A721,32
439,21015A822,19
440,21015A34-,46
441,21015A63-,50
442,21015A883,9
443,21015A811,51
444,21015A831,114
445,21015A30-,130
446,21015A64-,115
447,21015A33-,71
448,21015A35-,78
449,21015A53-,125
450,21015A54-,143
451,21015A52-,72
452,21015A51-,48
453,21015A05-,163
454,21015A101,76
455,21015A111,131
456,21015A142,9
457,21015A71-,46
458,21015A04-,200
459,21015A43-,74
460,21015A44-,133
461,21015A612,162
462,21015A45-,66
463,21015A00-,301
464,21015A01-,34
465,21015A13-,87
466,21015A272,3
467,21015A231,43
468,21015A21-,109
469,21016A901,69
470,21016A232,52
471,21016A111,39
472,21016A841,17
473,21016A85-,23
474,21016A042,14
475,21016A03-,89
476,21016A02-,93
477,21016A922,29
478,21016A912,33
479,21016A731,10
480,21016A772,19
481,21016A72-,28
482,21016A71-,49
483,21016A954,3
484,21016A80-,80
485,21016A225,6
486,21016A64-,72
487,21016A533,14
488,21016A943,30
489,21016A65-,34
490,21016A601,42
491,21016A620,47
492,21016A01-,147
493,21016A00-,150
494,21016A12-,76
495,21016A44-,98
496,21016A214,16
497,21016A322,21
498,21016A400,98
499,21016A429,66
500,21016A490,14
501,21016A639,112
502,21016A610,16
503,21016A342,116
504,21017A541,16
505,21017A11-,57
506,21017A240,33
507,21017A230,41
508,21017A220,31
509,21017A41-,47
510,21017A523,34
511,21017A624,25
512,21017A534,9
513,21017A501,12
514,21017A432,38
515,21017A021,10
516,21017A12-,100
517,21017A13-,41
518,21017A451,50
519,21017A041,29
520,21018A72-,61
521,21018A35-,50
522,21018A34-,37
523,21018A32-,15
524,21018A311,56
525,21018A33-,50
526,21018A22-,42
527,21018A512,47
528,21018A04-,61
529,21018A02-,35
530,21018A37-,6
531,21018A63-,70
532,21018A05-,46
533,21018A61-,65
534,21018A62-,85
535,21018A09-,6
536,21018A30-,24
537,21018A643,65
538,21018A60-,18
539,21018A81-,28
540,21018A84-,41
541,21018A00-,35
542,21018A43-,30
543,21018A41-,32
544,21018A42-,24
545,21018A01-,36
546,21018A14-,50
547,21018A12-,46
548,21018A82-,22
549,21018A87-,12
550,21018A3MJ,80
551,21019A231,38
552,21019A242,36
553,21019A252,41
554,21019A12-,27
555,21019A52-,31
556,21019A51-,47
557,21019A04-,15
558,21019A03-,37
559,21019A052,24
560,21019A001,43
561,21019A30-,36
562,21019A33-,53
563,21019A01-,19
564,21019A11-,36
565,21019A31-,31
566,21019A32-,86
567,21019A20-,51
568,21019A14-,45
569,21019A21-,54
570,21019A40-,113
571,21019A15-,54
572,21019A42-,35
573,21019A22-,11
574,21019A441,15
575,21019A41-,28
576,21001C6PB,15
