,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
78,21001B25-,REVISION-NORD,75140,18,1,female,child,40626,4,single_with_child,21001B25-,Anderlecht,21001B25-,REVISION-NORD,Anderlecht,5,Unif off campus,21004A33-,"Name       LIBERTE (PLACE DE LA)
Commune                Bruxelles
Name: 21004A33-, dtype: object"
79,21001B21-,BROGNIEZ-NORD,90947,18,1,female,parent,48541,3,single,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,5,Unif off campus,21004C54-,"Name       LOUISE (AVENUE)-SUD-EST
Commune                  Bruxelles
Name: 21004C54-, dtype: object"
80,21001A112,BIESTEBROEK,125525,18,1,female,parent,66128,5,colloc,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,5,Unif off campus,21004C61-,"Name          U.L.B.
Commune    Bruxelles
Name: 21004C61-, dtype: object"
81,21001A401,ARBORETUM,12508,18,1,female,parent,6829,3,single,21001A401,Anderlecht,21001A401,ARBORETUM,Anderlecht,5,Unif off campus,21004A02-,"Name       SAINT-FRANCOIS XAVIER
Commune                Bruxelles
Name: 21004A02-, dtype: object"
82,21001A552,TREFLE,26679,18,1,female,child,14591,4,single_with_child,21001A552,Anderlecht,21001A552,TREFLE,Anderlecht,5,Unif off campus,21004A21-,"Name       ANNEESSENS (PLACE)
Commune             Bruxelles
Name: 21004A21-, dtype: object"
83,21012A26-,MACHTENS-NORD,684204,18,1,female,parent,376232,2,couple_no_child,21012A26-,Molenbeek Saint-Jean,21012A26-,MACHTENS-NORD,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
84,21012A822,KORENBEEK,762843,18,1,female,parent,415984,3,single,21012A822,Molenbeek Saint-Jean,21012A822,KORENBEEK,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
85,21012A54-,DELHAIZE,728619,18,1,female,child,398585,1,couple_with_child,21012A54-,Molenbeek Saint-Jean,21012A54-,DELHAIZE,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
86,21012A60-,LAEKENVELD,707717,18,1,female,parent,387843,3,single,21012A60-,Molenbeek Saint-Jean,21012A60-,LAEKENVELD,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
87,21012A30-,METTEWIE - IDYLLE,752778,18,1,female,parent,411140,3,single,21012A30-,Molenbeek Saint-Jean,21012A30-,METTEWIE - IDYLLE,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
88,21012A41-,MOORTEBEEK,757899,18,1,female,child,413819,1,couple_with_child,21012A41-,Molenbeek Saint-Jean,21012A41-,MOORTEBEEK,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
89,21012A851,CONDOR,696535,18,1,female,child,382778,1,couple_with_child,21012A851,Molenbeek Saint-Jean,21012A851,CONDOR,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
90,21012A10-,DUCHESSE DE BRABANT,691222,18,1,female,parent,379854,1,couple_with_child,21012A10-,Molenbeek Saint-Jean,21012A10-,DUCHESSE DE BRABANT,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
91,21012A23-,MACHTENS-SUD,756735,18,1,female,parent,413178,5,colloc,21012A23-,Molenbeek Saint-Jean,21012A23-,MACHTENS-SUD,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
92,21012A822,KORENBEEK,762841,18,1,female,parent,415983,2,couple_no_child,21012A822,Molenbeek Saint-Jean,21012A822,KORENBEEK,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
93,21012A71-,PIERS,737281,18,1,female,parent,402597,1,couple_with_child,21012A71-,Molenbeek Saint-Jean,21012A71-,PIERS,Molenbeek Saint-Jean,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
