Code;Territoire;Commune;Quartier
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles;Louise - Longue Haie
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles;Châtelain
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles;Brugmann - Lepoutre
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles;Etangs d'Ixelles
21004C552;LOUISE (AVENUE)-SUD;Bruxelles;Etangs d'Ixelles
21004C591;CAMBRE (BOIS DE LA);Bruxelles;Bois de la Cambre
21004C61-;U.L.B.;Bruxelles;Boondael
21004C62-;BOENDAAL-OUEST;Bruxelles;Boondael
21004C63-;NATIONS (SQUARE DES);Bruxelles;Dries
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles;Boondael
21004C65-;VIVIER D'OIE;Bruxelles;Fort Jaco
21004D600;PARVIS SAINT-ROCH;Bruxelles;Quartier Nord
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles;Quartier Nord
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles;Quartier Nord
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles;Quartier Maritime
21004D64-;MASUI (PLACE)-NORD;Bruxelles;Quartier Nord
21004D672;QUAI DE WILLEBROECK;Bruxelles;Quartier Nord
21004D6MJ;QUAI DES USINES - MONNOYER;Bruxelles;Industrie Nord
21004D6NJ;TOUR ET TAXIS;Bruxelles;Quartier Maritime
21004E101;PARVIS NOTRE DAME;Bruxelles;Vieux Laeken Est
21004E112;RUE DES CHRYSANTHEMES;Bruxelles;Vieux Laeken Est
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles;Houba
21004E130;SACRE-COEUR;Bruxelles;Houba
21004E14-;ECOLE DES CADETS;Bruxelles;Houba
21004E180;DOMAINE ROYALE;Bruxelles;Domaine Royal Laeken
21004E193;N.D. DE LAEKEN;Bruxelles;Vieux Laeken Est
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles;Mutsaard
21004E211;RUE DE WAND;Bruxelles;Mutsaard
21004E222;MUTSAARD (AVENUE);Bruxelles;Mutsaard
21004E233;DE MEYSSE (AVENUE);Bruxelles;Mutsaard
21004E292;AVENUE DES CROIX DU FEU;Bruxelles;Domaine Royal Laeken
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles;Vieux Laeken Est
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles;Vieux Laeken Est
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles;Vieux Laeken Est
21004E74-;EM. DELVA (RUE);Bruxelles;Vieux Laeken Ouest
21004E800;DIVIN JESUS;Bruxelles;Heysel
21004E81-;DISQUE (RUE DU);Bruxelles;Heysel
21004E82-;CITE MODELE;Bruxelles;Heysel
21004E83-;STIENON (AVENUE);Bruxelles;Heysel
21004E8MJ;HEYSEL;Bruxelles;Heysel
21004E8NJ;HOPITAL BRUGMANN;Bruxelles;Heysel
21004F511;AVENUE DES PAGODES;Bruxelles;Mutsaard
21004F522;AVENUE DE VERSAILLES;Bruxelles;Mutsaard
21004F531;RUE DES FAINES;Bruxelles;Heembeek
21004F572;MARLY-SUD;Bruxelles;Industrie Nord
21004F901;PLACE PETER BENOIT;Bruxelles;Heembeek
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles;Heembeek
21004F922;RUE CHATEAU BEYAERD;Bruxelles;Heembeek
21004F930;COIN DES CERISES;Bruxelles;Heembeek
21004F94-;VAL MARIA;Bruxelles;Heembeek
21004F953;RUE DU WIMPELBERG;Bruxelles;Heembeek
21004F970;MARLY-NORD;Bruxelles;Industrie Nord
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles;Heembeek
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles;Industrie Nord
21004G30-;SAINTE-ELISABETH;Bruxelles;Haren
21004G310;HAREN-SUD-OUEST;Bruxelles;Haren
21004G321;HAREN-EST;Bruxelles;Haren
21004G371;GARE DE FORMATION;Bruxelles;Industrie Nord
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles;Haren
21004G3NJ;HAREN-SUD;Bruxelles;Industrie OTAN
21005A00-;HOTEL COMMUNAL;Etterbeek;Jourdan
21005A01-;SAINTE-GERTRUDE;Etterbeek;Saint-Pierre
21005A02-;CHAMP DU ROI (RUE);Etterbeek;Saint-Pierre
21005A031;MAELBEEK;Etterbeek;Jourdan
21005A042;PH. BAUCQ (RUE);Etterbeek;Chasse
21005A051;RINSDELLE;Etterbeek;Saint-Pierre
21005A082;COURS ST-MICHEL;Etterbeek;Saint-Pierre
21005A10-;GENERAL HENRI (RUE);Etterbeek;Chasse
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek;Saint-Pierre
21005A12-;SAINT-ANTOINE;Etterbeek;Chasse
21005A13-;LA CHASSE;Etterbeek;Chasse
21005A14-;ARMEE (AVENUE DE L');Etterbeek;Saint-Michel
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek;Saint-Michel
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek;Porte Tervueren
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek;Porte Tervueren
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek;Porte Tervueren
21005A29-;CINQUANTENAIRE (PARC);Etterbeek;Cinquantenaire
21005A311;CASERNE (Etterbeek);Etterbeek;Chasse
21005A322;NOUVELLE AVENUE-SUD;Etterbeek;Chasse
21005A33-;CARDINAL LAVIGERIE (RUE);Etterbeek;Chaussée de Wavre - Saint-Julien
21006A001;VIEIL EVERE;Evere;Paix
21006A011;CENTRE;Evere;Paix
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere;Paix
21006A03-;BLOCS SAINT-VINCENT;Evere;Paix
21006A042;KERKHOEK;Evere;Paix
21006A052;CHAMP DE REPOS;Evere;Paix
21006A073;GARE DE FORMATION;Evere;Industrie Nord
21006A094;BON PASTEUR;Evere;Paix
21006A101;CONSCIENCE;Evere;Conscience
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere;Avenue Léopold III
21006A12-;GERMINAL I;Evere;Avenue Léopold III
21006A13-;MAISON COMMUNALE;Evere;Conscience
21006A142;ED. DEKNOOP (RUE);Evere;Conscience
21006A153;KEET;Evere;Conscience
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere;Avenue Léopold III
21006A201;HAUT-EVERE;Evere;Paduwa
21006A21-;HOME FAMILIAL BRABANT;Evere;Paduwa
21006A22-;SAINT-EXUPERY;Evere;Avenue Léopold III
21006A23-;DU BONHEUR;Evere;Paduwa
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere;Paduwa
21006A25-;GIBET;Evere;Paduwa
21006A272;QUARTIER GROSJEAN;Evere;Paduwa
21006A312;J. BORDET (AVENUE DE);Evere;Avenue Léopold III
21006A323;GERMINAL II;Evere;Avenue Léopold III
21006A37-;ZONE INDUSTRIELLE;Evere;Industrie OTAN
21006A403;QUARTIER CICERO;Evere;Paduwa
21006A414;P. DUPONT (RUE);Evere;Avenue Léopold III
21006A474;COMMUNAUTES;Evere;Paduwa
21006A48-;CIMETIERE BRUXELLES;Evere;Cimetière de Bruxelles
21006A515;CARLI;Evere;Paix
21007A00-;CENTRE SAINT-DENIS;Forest;Saint-Denis - Neerstalle
21007A01-;CURE D'ARS;Forest;Saint-Denis - Neerstalle
21007A02-;STUART MERRIL;Forest;Saint-Denis - Neerstalle
21007A03-;FOYER FORESTOIS - FAMILLE;Forest;Saint-Denis - Neerstalle
21007A04-;FOYER FORESTOIS - MADELON;Forest;Saint-Denis - Neerstalle
21007A05-;NEERSTALLE;Forest;Saint-Denis - Neerstalle
21007A06-;KATANGA;Forest;Saint-Denis - Neerstalle
21007A071;BOLLINCKX;Forest;Industrie Sud
21007A082;BEMPT;Forest;Industrie Sud
21007A101;BOURGOGNE;Forest;Van Volxem - Van Haelen
21007A111;MESSIDOR I;Forest;Vossegat - Roosendaal
21007A12-;HAVESKERCKE;Forest;Vossegat - Roosendaal
21007A132;DENAYER (RUE);Forest;Vossegat - Roosendaal
21007A142;MONTE CARLO;Forest;Van Volxem - Van Haelen
21007A201;ROOSENDAEL (RUE);Forest;Vossegat - Roosendaal
21007A21-;MAGNANERIE;Forest;Vossegat - Roosendaal
21007A239;NEPTUNE (AVENUE) I;Forest;Altitude 100
21007A242;GLOBE;Forest;Vossegat - Roosendaal
21007A252;MESSIDOR II;Forest;Vossegat - Roosendaal
21007A291;FOREST NATIONAL - STADE;Forest;Vossegat - Roosendaal
21007A373;CHARROI (RUE DE);Forest;Bas Forest
21007A40-;PONT DE LUTTRE;Forest;Bas Forest
21007A41-;PONT DE LUTTRE-OUEST;Forest;Bas Forest
21007A50-;BERANGER;Forest;Van Volxem - Van Haelen
21007A51-;CHATAIGNE;Forest;Van Volxem - Van Haelen
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;Van Volxem - Van Haelen
21007A53-;WIELEMANS CEUPPENS;Forest;Van Volxem - Van Haelen
21007A541;LYCEE;Forest;Van Volxem - Van Haelen
21007A552;REINE MARIE-HENRIETTE;Forest;Van Volxem - Van Haelen
21007A60-;SAINT-ANTOINE;Forest;Bas Forest
21007A61-;MONTENEGRO (RUE);Forest;Bas Forest
21007A70-;ALTITUDE  CENT;Forest;Altitude 100
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;Molière - Longchamp
21007A72-;MOLIERE;Forest;Molière - Longchamp
21007A73-;BERCKENDAEL (RUE);Forest;Brugmann - Lepoutre
21007A75-;TOURNOI (RUE DU);Forest;Altitude 100
21007A783;PARC DE FOREST;Forest;Parc Duden - Parc de Forest
21007A79-;PARC DUDEN;Forest;Parc Duden - Parc de Forest
21007A814;VILLAS - MONT KEMMEL;Forest;Haut Saint-Gilles
21008A00-;CENTRE;Ganshoren;Ganshoren Centre
21008A01-;VAN PAGE-SUD;Ganshoren;Ganshoren Centre
21008A02-;SIPPELBERG;Ganshoren;Ganshoren Centre
21008A10-;PLATEAU;Ganshoren;Basilique
21008A19-;BASILIQUE;Ganshoren;Parc Elisabeth
21008A20-;CHARLES-QUINT;Ganshoren;Ganshoren Centre
21008A21-;MAIL;Ganshoren;Villas de Ganshoren
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;Villas de Ganshoren
21008A23-;DE MESMAEKER;Ganshoren;Villas de Ganshoren
21008A240;REFORME;Ganshoren;Villas de Ganshoren
21008A27-;NESTOR MARTIN;Ganshoren;Villas de Ganshoren
21008A29-;RIVIERE MOLENBEEK;Ganshoren;Bois du Laarbeek - Poelbos
21008A30-;LE HOME;Ganshoren;Ganshoren Centre
21008A31-;TOUSSAINT;Ganshoren;Jette Centre
21008A32-;HEIDEKEN;Ganshoren;Jette Centre
21008A33-;VAN PAGE-NORD;Ganshoren;Ganshoren Centre
21008A34-;PARC ALBERT;Ganshoren;Ganshoren Centre
21008A35-;CHARTE;Ganshoren;Jette Centre
21008A38-;PARC DE RIVIEREN;Ganshoren;Villas de Ganshoren
21009A00-;CENTRE;Ixelles;Matonge
21009A01-;BLYCKAERTS;Ixelles;Flagey - Malibran
21009A02-;MUSEE;Ixelles;Flagey - Malibran
21009A03-;ERMITAGE;Ixelles;Louise - Longue Haie
21009A041;ARBRE BENIT;Ixelles;Louise - Longue Haie
21009A051;SAINT-BONIFACE;Ixelles;Matonge
21009A101;FLAGEY (PLACE);Ixelles;Flagey - Malibran
21009A111;WERY (RUE);Ixelles;Flagey - Malibran
21009A121;GENERAL DE GAULLE;Ixelles;Etangs d'Ixelles
21009A13-;GACHARD;Ixelles;Etangs d'Ixelles
21009A151;A. DELPORTE-NORD;Ixelles;Hôpital Etterbeek-Ixelles
21009A192;ETANGS;Ixelles;Etangs d'Ixelles
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;Université
21009A21-;ETE;Ixelles;Université
21009A22-;UNIVERSITE;Ixelles;Université
21009A23-;ETOILE (ROND POINT DE L');Ixelles;Etangs d'Ixelles
21009A29-;CIMETIERE;Ixelles;Cimetière d'Ixelles
21009A2MJ;CAMPUS UNIVERSITAIRE;Ixelles;Université
21009A301;BOONDAEL-NORD;Ixelles;Boondael
21009A311;TREILLE (RUE DE LA);Ixelles;Boondael
21009A33-;SAINT-ADRIEN;Ixelles;Boondael
21009A34-;STADE COMMUNAL;Ixelles;Boondael
21009A40-;MELEZES;Ixelles;Brugmann - Lepoutre
21009A41-;SAINT-GEORGES;Ixelles;Brugmann - Lepoutre
21009A42-;RENIER CHALON;Ixelles;Brugmann - Lepoutre
21009A43-;FERNAND NEURAY;Ixelles;Brugmann - Lepoutre
21009A44-;PREVOT;Ixelles;Brugmann - Lepoutre
21009A451;CHATELAIN (PLACE DU)-EST;Ixelles;Châtelain
21009A501;LUXEMBOURG (PLACE DE);Ixelles;Quartier Européen
21009A512;WIERTZ;Ixelles;Quartier Européen
21009A52-;GRAY (RUE);Ixelles;Jourdan
21009A53-;LONDRES (PLACE DE);Ixelles;Matonge
21009A542;EGLISE ANGLICANE;Ixelles;Louise - Longue Haie
21009A552;PORTE DE NAMUR;Ixelles;Matonge
21009A593;QUARTIER LEOPOLD;Ixelles;Quartier Européen
21009A602;BELVEDERE;Ixelles;Flagey - Malibran
21009A612;LIEGEOIS (RUE);Ixelles;Flagey - Malibran
21009A623;KLAUWAERTS;Ixelles;Etangs d'Ixelles
21009A63-;MACAU;Ixelles;Hôpital Etterbeek-Ixelles
21009A652;HOPITAUX;Ixelles;Hôpital Etterbeek-Ixelles
21009A712;CHATELAIN (PLACE DU)-OUEST;Ixelles;Châtelain
21009A72-;DEFACQZ;Ixelles;Châtelain
21009A73-;BERCKENDAEL;Ixelles;Brugmann - Lepoutre
21009A802;BOONDAEL-SUD;Ixelles;Boondael
21009A812;SCHOOLGAT;Ixelles;Boondael
21009A82-;FORET;Ixelles;Boondael
21009A83-;L. ERNOTTE (RUE);Ixelles;Dries
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;Hôpital Etterbeek-Ixelles
21009A911;A. DELPORTE-SUD;Ixelles;Hôpital Etterbeek-Ixelles
21009A922;CASERNE (Ixelles);Ixelles;Hôpital Etterbeek-Ixelles
21010A00-;CENTRE;Jette;Jette Centre
21010A01-;ESSEGHEM;Jette;Woeste
21010A02-;LEOPOLD I;Jette;Woeste
21010A03-;MIROIR;Jette;Jette Centre
21010A04-;NOTRE-DAME DE LOURDES;Jette;Woeste
21010A05-;ALBERT (QUARTIER);Jette;Woeste
21010A092;PARC DE LA JEUNESSE;Jette;Parc Baudouin - Dielegembos
21010A10-;ANCIENNE BARRIERE;Jette;Heymbosch - AZ-Jette
21010A111;HEYMBOSCH;Jette;Heymbosch - AZ-Jette
21010A121;F. MOHRFELD (RUE DE);Jette;Heymbosch - AZ-Jette
21010A13-;CITE-JARDIN;Jette;Heysel
21010A141;BRUGMANN;Jette;Houba
21010A182;DIELEGEM (BOIS DE);Jette;Parc Baudouin - Dielegembos
21010A1AJ;ARBRE BALLON;Jette;Heymbosch - AZ-Jette
21010A21-;MADELEINE;Jette;Basilique
21010A312;BAECK DUPRE;Jette;Jette Centre
21010A393;SACRE-COEUR;Jette;Parc Baudouin - Dielegembos
21010A493;LAERBEEK (BOIS DE);Jette;Bois du Laarbeek - Poelbos
21010A4MJ;VUB;Jette;Heymbosch - AZ-Jette
