,id,time,origin,destination,distance,duree
2,2,527,21009A34-,21002A25-,1.7725801023962984,4.487544563028604
79,79,558,21001A43-,21015A421,6.024638369397896,15.25224903645037
39,39,567,21001C512,21001B372,3.488890626823607,8.832634498287613
40,40,603,21004E101,21004F994,3.4576370629695763,8.753511551821713
18,18,612,21015A00-,21019A21-,7.107507669883376,17.99369030350222
97,97,618,21012A25-,21009A041,3.73412435558218,9.45347938122071
13,13,621,21001A911,21009A911,5.51411040692111,13.95977318207876
92,92,625,21002A25-,21009A101,3.562963221998308,9.02016005569192
38,38,629,21001B372,21013A623,0.866485084391383,2.1936331250414765
71,71,647,21001C522,21008A23-,7.1136486145300974,18.009236998810376
86,86,682,21015A77-,21007A252,7.5777900037636705,19.18427849054094
1,1,684,21008A35-,21015A21-,5.165524752637112,13.0772778547775
11,11,684,21018A00-,21007A201,7.731554636804095,19.573556042542013
20,20,716,21001A441,21013A04-,3.942169708389184,9.980176476934645
87,87,736,21002A53-,21018A81-,4.403491518531613,11.14807979375092
43,43,738,21004C54-,21017A031,3.890620438483213,9.849671996160033
50,50,755,21015A782,21003A11-,7.109266996453965,17.998144294820168
28,28,761,21016A943,21001A350,2.8797328392265418,7.290462884117828
67,67,772,21003A342,21008A31-,2.75871811826556,6.984096501938128
69,69,785,21007A814,21004F930,8.619716248721854,21.822066452460394
34,34,795,21019A231,21001A331,9.538964493608194,24.14927719900809
10,10,796,21018A42-,21019A51-,2.033410354062155,5.147874314081406
81,81,812,21012A23-,21018A20-,7.451159995685734,18.863696191609456
33,33,812,21004G30-,21006A011,2.6759827534600684,6.774639882177389
51,51,816,21009A512,21004B45-,1.4970148509520815,3.789911015068561
85,85,838,21013A052,21010A493,7.24160104707444,18.333167207783394
7,7,850,21016A232,21006A25-,7.215330772834774,18.266660184391835
66,66,861,21017A624,21002A21-,1.3491756686671064,3.415634604220523
32,32,875,21004D6NJ,21015A00-,1.8854017850087132,4.773169075971427
73,73,884,21012A672,21015A111,3.436545072574125,8.700114107782596
94,94,886,21006A001,21007A541,7.797393193272362,19.740235932335096
15,15,899,21007A73-,21019A51-,4.732894553220979,11.98201152714172
0,0,984,21017A212,21019A32-,2.8190714279782134,7.136889691084085
6,6,1013,21006A474,21001A031,8.637865789080857,21.868014655900907
61,61,1045,21015A421,21016A400,7.558461460764372,19.13534547028955
44,44,1051,21001A00-,21004F970,10.063912644484676,25.478259859454877
16,16,1065,21003A312,21001B372,4.505956130171453,11.40748387385178
4,4,1082,21004D600,21009A451,4.419118852356702,11.187642664194183
54,54,1085,21001A783,21008A32-,3.091888551001531,7.827565951902611
84,84,1146,21018A33-,21011A12-,9.24206576169398,23.397634839731595
36,36,1161,21001A81-,21018A04-,9.322376843742036,23.600954034789968
74,74,1168,21010A121,21004E70-,2.116711141217566,5.358762382829282
72,72,1181,21008A240,21017A09-,12.90984489125131,32.68315162342104
60,60,1205,21016A72-,21009A22-,5.281816586140195,13.371687559848597
82,82,1231,21010A13-,21001A00-,6.169846334165593,15.619864137128085
53,53,1251,21019A252,21001B20-,8.006329523849216,20.2691886679727
95,95,1280,21005A051,21001A41-,7.697605963635756,19.487610034520905
12,12,1281,21011A01-,21004D610,1.506348571477972,3.8135406872860056
41,41,1300,21012A22-,21012A05-,1.6361267157609491,4.1420929512935425
48,48,1310,21018A61-,21013A13-,5.850517025006033,14.811435506344388
64,64,1317,21017A472,21008A30-,10.8147924472052,27.379221385329622
89,89,1330,21007A50-,21019A11-,9.649160973096429,24.428255628092227
17,17,1330,21016A521,21012A2MJ,8.937429325339643,22.626403355290236
46,46,1370,21018A02-,21004D610,5.47346292854338,13.856868173527545
57,57,1402,21003A10-,21019A02-,8.720425820596452,22.07702739391507
88,88,1404,21012A732,21012A822,2.6916551701941267,6.81431688656741
52,52,1436,21004E193,21005A01-,5.361601796127213,13.573675433233452
