,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune
30503,21001A34-,ROUE - CITE JARDIN,30519,19,1,female,parent,16529,6,collectif,21001A34-,Anderlecht
30504,21001A34-,ROUE - CITE JARDIN,30520,19,1,female,parent,16530,6,collectif,21001A34-,Anderlecht
30505,21001A34-,ROUE - CITE JARDIN,30521,19,1,female,parent,16531,6,collectif,21001A34-,Anderlecht
30683,21001A34-,ROUE - CITE JARDIN,30700,19,0,male,parent,16710,6,collectif,21001A34-,Anderlecht
30684,21001A34-,ROUE - CITE JARDIN,30701,19,0,male,parent,16711,6,collectif,21001A34-,Anderlecht
30685,21001A34-,ROUE - CITE JARDIN,30702,18,0,male,parent,16712,6,collectif,21001A34-,Anderlecht
30686,21001A34-,ROUE - CITE JARDIN,30703,18,0,male,parent,16713,6,collectif,21001A34-,Anderlecht
30687,21001A34-,ROUE - CITE JARDIN,30704,18,0,male,parent,16714,6,collectif,21001A34-,Anderlecht
32101,21001A350,CERIA - ZONE D'HABITAT,32120,19,0,male,parent,17466,6,collectif,21001A350,Anderlecht
32102,21001A350,CERIA - ZONE D'HABITAT,32121,18,0,male,parent,17467,6,collectif,21001A350,Anderlecht
34323,21001A441,DOCTEUR ROUX,34342,19,1,female,parent,18629,6,collectif,21001A441,Anderlecht
34324,21001A441,DOCTEUR ROUX,34343,19,1,female,parent,18630,6,collectif,21001A441,Anderlecht
34483,21001A441,DOCTEUR ROUX,34504,20,0,male,parent,18791,6,collectif,21001A441,Anderlecht
34484,21001A441,DOCTEUR ROUX,34505,20,0,male,parent,18792,6,collectif,21001A441,Anderlecht
34485,21001A441,DOCTEUR ROUX,34506,18,0,male,parent,18793,6,collectif,21001A441,Anderlecht
36082,21001C512,CHANTS D'OISEAUX,36104,18,1,female,parent,19747,6,collectif,21001C512,Anderlecht
37533,21001C71-,BON AIR - CITE JARDIN,37556,20,1,female,parent,20506,6,collectif,21001C71-,Anderlecht
37534,21001C71-,BON AIR - CITE JARDIN,37557,19,1,female,parent,20507,6,collectif,21001C71-,Anderlecht
37535,21001C71-,BON AIR - CITE JARDIN,37558,18,1,female,parent,20508,6,collectif,21001C71-,Anderlecht
37536,21001C71-,BON AIR - CITE JARDIN,37559,18,1,female,parent,20509,6,collectif,21001C71-,Anderlecht
37537,21001C71-,BON AIR - CITE JARDIN,37560,18,1,female,parent,20510,6,collectif,21001C71-,Anderlecht
37538,21001C71-,BON AIR - CITE JARDIN,37561,18,1,female,parent,20511,6,collectif,21001C71-,Anderlecht
37668,21001C71-,BON AIR - CITE JARDIN,37692,20,0,male,parent,20642,6,collectif,21001C71-,Anderlecht
37669,21001C71-,BON AIR - CITE JARDIN,37693,19,0,male,parent,20643,6,collectif,21001C71-,Anderlecht
37670,21001C71-,BON AIR - CITE JARDIN,37694,19,0,male,parent,20644,6,collectif,21001C71-,Anderlecht
40267,21001C611,SOETKIN,40295,20,1,female,parent,22136,6,collectif,21001C611,Anderlecht
40268,21001C611,SOETKIN,40296,20,1,female,parent,22137,6,collectif,21001C611,Anderlecht
40325,21001C611,SOETKIN,40353,20,0,male,parent,22194,6,collectif,21001C611,Anderlecht
40326,21001C611,SOETKIN,40354,20,0,male,parent,22195,6,collectif,21001C611,Anderlecht
40571,21001C522,HOPITAL U.L.B.,40599,20,1,female,parent,22432,6,collectif,21001C522,Anderlecht
42218,21001A451,VENIZELOS,42246,18,1,female,parent,23251,6,collectif,21001A451,Anderlecht
45018,21001A30-,BIZET,45046,18,1,female,parent,24625,6,collectif,21001A30-,Anderlecht
53447,21001A031,RAUTER-SUD,53477,20,0,male,parent,29399,6,collectif,21001A031,Anderlecht
53448,21001A031,RAUTER-SUD,53478,19,0,male,parent,29400,6,collectif,21001A031,Anderlecht
53449,21001A031,RAUTER-SUD,53479,19,0,male,parent,29401,6,collectif,21001A031,Anderlecht
53450,21001A031,RAUTER-SUD,53480,19,0,male,parent,29402,6,collectif,21001A031,Anderlecht
56634,21001B321,ALBERT I- QUARTIER,56666,19,1,female,parent,30961,6,collectif,21001B321,Anderlecht
62072,21001B20-,CONSEIL-NORD,62107,19,1,female,parent,33488,6,collectif,21001B20-,Anderlecht
62073,21001B20-,CONSEIL-NORD,62108,19,1,female,parent,33489,6,collectif,21001B20-,Anderlecht
62074,21001B20-,CONSEIL-NORD,62109,19,1,female,parent,33490,6,collectif,21001B20-,Anderlecht
62075,21001B20-,CONSEIL-NORD,62110,19,1,female,parent,33491,6,collectif,21001B20-,Anderlecht
62076,21001B20-,CONSEIL-NORD,62111,19,1,female,parent,33492,6,collectif,21001B20-,Anderlecht
62077,21001B20-,CONSEIL-NORD,62112,18,1,female,parent,33493,6,collectif,21001B20-,Anderlecht
62078,21001B20-,CONSEIL-NORD,62113,18,1,female,parent,33494,6,collectif,21001B20-,Anderlecht
62079,21001B20-,CONSEIL-NORD,62114,18,1,female,parent,33495,6,collectif,21001B20-,Anderlecht
62080,21001B20-,CONSEIL-NORD,62115,18,1,female,parent,33496,6,collectif,21001B20-,Anderlecht
62081,21001B20-,CONSEIL-NORD,62116,18,1,female,parent,33497,6,collectif,21001B20-,Anderlecht
62082,21001B20-,CONSEIL-NORD,62117,18,1,female,parent,33498,6,collectif,21001B20-,Anderlecht
62083,21001B20-,CONSEIL-NORD,62118,18,1,female,parent,33499,6,collectif,21001B20-,Anderlecht
62084,21001B20-,CONSEIL-NORD,62119,18,1,female,parent,33500,6,collectif,21001B20-,Anderlecht
62085,21001B20-,CONSEIL-NORD,62120,18,1,female,parent,33501,6,collectif,21001B20-,Anderlecht
64018,21001B23-,CONSEIL-SUD,64055,18,1,female,parent,34772,6,collectif,21001B23-,Anderlecht
64019,21001B23-,CONSEIL-SUD,64056,18,1,female,parent,34773,6,collectif,21001B23-,Anderlecht
64020,21001B23-,CONSEIL-SUD,64057,18,1,female,parent,34774,6,collectif,21001B23-,Anderlecht
67033,21001A051,LINDE-EST,67072,20,0,male,parent,36402,6,collectif,21001A051,Anderlecht
67034,21001A051,LINDE-EST,67073,20,0,male,parent,36403,6,collectif,21001A051,Anderlecht
69819,21001A732,SCHEUTVELD,69859,20,1,female,parent,37758,6,collectif,21001A732,Anderlecht
69820,21001A732,SCHEUTVELD,69860,20,1,female,parent,37759,6,collectif,21001A732,Anderlecht
69821,21001A732,SCHEUTVELD,69861,19,1,female,parent,37760,6,collectif,21001A732,Anderlecht
69822,21001A732,SCHEUTVELD,69862,19,1,female,parent,37761,6,collectif,21001A732,Anderlecht
69823,21001A732,SCHEUTVELD,69863,19,1,female,parent,37762,6,collectif,21001A732,Anderlecht
69824,21001A732,SCHEUTVELD,69864,18,1,female,parent,37763,6,collectif,21001A732,Anderlecht
69825,21001A732,SCHEUTVELD,69865,18,1,female,parent,37764,6,collectif,21001A732,Anderlecht
69826,21001A732,SCHEUTVELD,69866,18,1,female,parent,37765,6,collectif,21001A732,Anderlecht
72076,21001A90-,SCHEUTKAPEL,72118,19,1,female,parent,39017,6,collectif,21001A90-,Anderlecht
72077,21001A90-,SCHEUTKAPEL,72119,19,1,female,parent,39018,6,collectif,21001A90-,Anderlecht
78006,21001B25-,REVISION-NORD,78048,19,1,female,parent,41967,6,collectif,21001B25-,Anderlecht
78007,21001B25-,REVISION-NORD,78049,19,1,female,parent,41968,6,collectif,21001B25-,Anderlecht
78008,21001B25-,REVISION-NORD,78050,19,1,female,parent,41969,6,collectif,21001B25-,Anderlecht
78961,21001B11-,ROSEE-OUEST,79004,20,1,female,parent,42594,6,collectif,21001B11-,Anderlecht
78962,21001B11-,ROSEE-OUEST,79005,20,1,female,parent,42595,6,collectif,21001B11-,Anderlecht
78963,21001B11-,ROSEE-OUEST,79006,19,1,female,parent,42596,6,collectif,21001B11-,Anderlecht
78964,21001B11-,ROSEE-OUEST,79007,19,1,female,parent,42597,6,collectif,21001B11-,Anderlecht
78965,21001B11-,ROSEE-OUEST,79008,19,1,female,parent,42598,6,collectif,21001B11-,Anderlecht
78966,21001B11-,ROSEE-OUEST,79009,19,1,female,parent,42599,6,collectif,21001B11-,Anderlecht
78967,21001B11-,ROSEE-OUEST,79010,18,1,female,parent,42600,6,collectif,21001B11-,Anderlecht
79107,21001B11-,ROSEE-OUEST,79151,20,0,male,parent,42741,6,collectif,21001B11-,Anderlecht
79108,21001B11-,ROSEE-OUEST,79152,20,0,male,parent,42742,6,collectif,21001B11-,Anderlecht
85795,21001A011,KLEINMOLEN,85843,18,1,female,parent,46153,6,collectif,21001A011,Anderlecht
85796,21001A011,KLEINMOLEN,85844,18,1,female,parent,46154,6,collectif,21001A011,Anderlecht
85797,21001A011,KLEINMOLEN,85845,18,1,female,parent,46155,6,collectif,21001A011,Anderlecht
85798,21001A011,KLEINMOLEN,85846,18,1,female,parent,46156,6,collectif,21001A011,Anderlecht
85799,21001A011,KLEINMOLEN,85847,18,1,female,parent,46157,6,collectif,21001A011,Anderlecht
85800,21001A011,KLEINMOLEN,85848,18,1,female,parent,46158,6,collectif,21001A011,Anderlecht
85801,21001A011,KLEINMOLEN,85849,18,1,female,parent,46159,6,collectif,21001A011,Anderlecht
87990,21001A712,SCHEUT - DE SMET,88040,18,1,female,parent,47337,6,collectif,21001A712,Anderlecht
88090,21001A712,SCHEUT - DE SMET,88140,20,0,male,parent,47437,6,collectif,21001A712,Anderlecht
88091,21001A712,SCHEUT - DE SMET,88141,20,0,male,parent,47438,6,collectif,21001A712,Anderlecht
88092,21001A712,SCHEUT - DE SMET,88142,20,0,male,parent,47439,6,collectif,21001A712,Anderlecht
88093,21001A712,SCHEUT - DE SMET,88143,20,0,male,parent,47440,6,collectif,21001A712,Anderlecht
88094,21001A712,SCHEUT - DE SMET,88144,19,0,male,parent,47441,6,collectif,21001A712,Anderlecht
88363,21001A07-,BIRMINGHAM,88413,19,1,female,parent,47576,6,collectif,21001A07-,Anderlecht
91738,21001B21-,BROGNIEZ-NORD,91788,18,1,female,parent,49188,6,collectif,21001B21-,Anderlecht
91739,21001B21-,BROGNIEZ-NORD,91789,18,1,female,parent,49189,6,collectif,21001B21-,Anderlecht
91740,21001B21-,BROGNIEZ-NORD,91790,18,1,female,parent,49190,6,collectif,21001B21-,Anderlecht
94319,21001A911,SCHEUT-EST,94374,18,1,female,parent,50557,6,collectif,21001A911,Anderlecht
96168,21001A931,AGRAFE-NORBERT GILLE,96223,20,1,female,parent,51395,6,collectif,21001A931,Anderlecht
96169,21001A931,AGRAFE-NORBERT GILLE,96224,20,1,female,parent,51396,6,collectif,21001A931,Anderlecht
98948,21001A74-,SCHEUT-OUEST,99003,19,1,female,parent,52773,6,collectif,21001A74-,Anderlecht
98949,21001A74-,SCHEUT-OUEST,99004,19,1,female,parent,52774,6,collectif,21001A74-,Anderlecht
98950,21001A74-,SCHEUT-OUEST,99005,19,1,female,parent,52775,6,collectif,21001A74-,Anderlecht
98951,21001A74-,SCHEUT-OUEST,99006,19,1,female,parent,52776,6,collectif,21001A74-,Anderlecht
98952,21001A74-,SCHEUT-OUEST,99007,19,1,female,parent,52777,6,collectif,21001A74-,Anderlecht
98953,21001A74-,SCHEUT-OUEST,99008,19,1,female,parent,52778,6,collectif,21001A74-,Anderlecht
98954,21001A74-,SCHEUT-OUEST,99009,19,1,female,parent,52779,6,collectif,21001A74-,Anderlecht
98955,21001A74-,SCHEUT-OUEST,99010,18,1,female,parent,52780,6,collectif,21001A74-,Anderlecht
98956,21001A74-,SCHEUT-OUEST,99011,18,1,female,parent,52781,6,collectif,21001A74-,Anderlecht
98957,21001A74-,SCHEUT-OUEST,99012,18,1,female,parent,52782,6,collectif,21001A74-,Anderlecht
98958,21001A74-,SCHEUT-OUEST,99013,18,1,female,parent,52783,6,collectif,21001A74-,Anderlecht
98959,21001A74-,SCHEUT-OUEST,99014,18,1,female,parent,52784,6,collectif,21001A74-,Anderlecht
98960,21001A74-,SCHEUT-OUEST,99015,18,1,female,parent,52785,6,collectif,21001A74-,Anderlecht
98961,21001A74-,SCHEUT-OUEST,99016,18,1,female,parent,52786,6,collectif,21001A74-,Anderlecht
102923,21001A92-,JAKOB SMITS,102978,19,0,male,parent,54730,6,collectif,21001A92-,Anderlecht
102924,21001A92-,JAKOB SMITS,102979,19,0,male,parent,54731,6,collectif,21001A92-,Anderlecht
111824,21001B10-,ROSEE-EST,111882,19,1,female,parent,59047,6,collectif,21001B10-,Anderlecht
111825,21001B10-,ROSEE-EST,111883,18,1,female,parent,59048,6,collectif,21001B10-,Anderlecht
111996,21001B10-,ROSEE-EST,112055,19,0,male,parent,59220,6,collectif,21001B10-,Anderlecht
111997,21001B10-,ROSEE-EST,112056,19,0,male,parent,59221,6,collectif,21001B10-,Anderlecht
111998,21001B10-,ROSEE-EST,112057,19,0,male,parent,59222,6,collectif,21001B10-,Anderlecht
111999,21001B10-,ROSEE-EST,112058,19,0,male,parent,59223,6,collectif,21001B10-,Anderlecht
112000,21001B10-,ROSEE-EST,112059,19,0,male,parent,59224,6,collectif,21001B10-,Anderlecht
122712,21001A02-,WAYEZ,122773,18,1,female,parent,64764,6,collectif,21001A02-,Anderlecht
133952,21002A22-,CANARIS (AVENUE DES),134013,19,1,female,parent,70734,6,collectif,21002A22-,Auderghem
133953,21002A22-,CANARIS (AVENUE DES),134014,18,1,female,parent,70735,6,collectif,21002A22-,Auderghem
133954,21002A22-,CANARIS (AVENUE DES),134015,18,1,female,parent,70736,6,collectif,21002A22-,Auderghem
134019,21002A22-,CANARIS (AVENUE DES),134080,20,0,male,parent,70801,6,collectif,21002A22-,Auderghem
137783,21002A45-,VAL DUC,137844,20,1,female,parent,72732,6,collectif,21002A45-,Auderghem
137784,21002A45-,VAL DUC,137845,20,1,female,parent,72733,6,collectif,21002A45-,Auderghem
137872,21002A45-,VAL DUC,137933,20,0,male,parent,72821,6,collectif,21002A45-,Auderghem
137873,21002A45-,VAL DUC,137934,18,0,male,parent,72822,6,collectif,21002A45-,Auderghem
142354,21002A372,QUARTIER INDUSTRIE,142416,20,0,male,parent,75209,6,collectif,21002A372,Auderghem
142355,21002A372,QUARTIER INDUSTRIE,142417,19,0,male,parent,75210,6,collectif,21002A372,Auderghem
147981,21002A411,PUTDAAL,148043,20,1,female,parent,78409,6,collectif,21002A411,Auderghem
147982,21002A411,PUTDAAL,148044,20,1,female,parent,78410,6,collectif,21002A411,Auderghem
147983,21002A411,PUTDAAL,148045,20,1,female,parent,78411,6,collectif,21002A411,Auderghem
147984,21002A411,PUTDAAL,148046,19,1,female,parent,78412,6,collectif,21002A411,Auderghem
156891,21002A14-,TEN REUKEN,156955,18,1,female,parent,83222,6,collectif,21002A14-,Auderghem
156892,21002A14-,TEN REUKEN,156956,18,1,female,parent,83223,6,collectif,21002A14-,Auderghem
156955,21002A14-,TEN REUKEN,157019,20,0,male,parent,83286,6,collectif,21002A14-,Auderghem
156956,21002A14-,TEN REUKEN,157020,20,0,male,parent,83287,6,collectif,21002A14-,Auderghem
156957,21002A14-,TEN REUKEN,157021,20,0,male,parent,83288,6,collectif,21002A14-,Auderghem
156958,21002A14-,TEN REUKEN,157022,20,0,male,parent,83289,6,collectif,21002A14-,Auderghem
156959,21002A14-,TEN REUKEN,157023,19,0,male,parent,83290,6,collectif,21002A14-,Auderghem
156960,21002A14-,TEN REUKEN,157024,19,0,male,parent,83291,6,collectif,21002A14-,Auderghem
156961,21002A14-,TEN REUKEN,157025,19,0,male,parent,83292,6,collectif,21002A14-,Auderghem
156962,21002A14-,TEN REUKEN,157026,19,0,male,parent,83293,6,collectif,21002A14-,Auderghem
156963,21002A14-,TEN REUKEN,157027,19,0,male,parent,83294,6,collectif,21002A14-,Auderghem
156964,21002A14-,TEN REUKEN,157028,18,0,male,parent,83295,6,collectif,21002A14-,Auderghem
161008,21002A041,VIGNETTE,161074,20,1,female,parent,85401,6,collectif,21002A041,Auderghem
161009,21002A041,VIGNETTE,161075,18,1,female,parent,85402,6,collectif,21002A041,Auderghem
161050,21002A041,VIGNETTE,161117,20,0,male,parent,85444,6,collectif,21002A041,Auderghem
161743,21002A01-,SAINTE-ANNE,161810,19,1,female,parent,85769,6,collectif,21002A01-,Auderghem
161744,21002A01-,SAINTE-ANNE,161811,19,1,female,parent,85770,6,collectif,21002A01-,Auderghem
165770,21003A323,SEPT ETOILES,165837,18,1,female,parent,87852,6,collectif,21003A323,Berchem Sainte-Agathe
165771,21003A323,SEPT ETOILES,165838,18,1,female,parent,87853,6,collectif,21003A323,Berchem Sainte-Agathe
165863,21003A323,SEPT ETOILES,165930,20,0,male,parent,87945,6,collectif,21003A323,Berchem Sainte-Agathe
165864,21003A323,SEPT ETOILES,165931,18,0,male,parent,87946,6,collectif,21003A323,Berchem Sainte-Agathe
166815,21003A342,HOGENBOS,166883,20,0,male,parent,88489,6,collectif,21003A342,Berchem Sainte-Agathe
166816,21003A342,HOGENBOS,166884,20,0,male,parent,88490,6,collectif,21003A342,Berchem Sainte-Agathe
166817,21003A342,HOGENBOS,166885,20,0,male,parent,88491,6,collectif,21003A342,Berchem Sainte-Agathe
166818,21003A342,HOGENBOS,166886,19,0,male,parent,88492,6,collectif,21003A342,Berchem Sainte-Agathe
167590,21003A331,ALLEE VERTE,167658,18,0,male,parent,88889,6,collectif,21003A331,Berchem Sainte-Agathe
167591,21003A331,ALLEE VERTE,167659,18,0,male,parent,88890,6,collectif,21003A331,Berchem Sainte-Agathe
167592,21003A331,ALLEE VERTE,167660,18,0,male,parent,88891,6,collectif,21003A331,Berchem Sainte-Agathe
168669,21003A04-,L. DE SMET,168738,20,1,female,parent,89414,6,collectif,21003A04-,Berchem Sainte-Agathe
168670,21003A04-,L. DE SMET,168739,19,1,female,parent,89415,6,collectif,21003A04-,Berchem Sainte-Agathe
168671,21003A04-,L. DE SMET,168740,19,1,female,parent,89416,6,collectif,21003A04-,Berchem Sainte-Agathe
169883,21003A0AJ,HUNDERENVELD,169954,20,0,male,parent,90147,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169884,21003A0AJ,HUNDERENVELD,169955,20,0,male,parent,90148,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169885,21003A0AJ,HUNDERENVELD,169956,20,0,male,parent,90149,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169886,21003A0AJ,HUNDERENVELD,169957,20,0,male,parent,90150,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169887,21003A0AJ,HUNDERENVELD,169958,20,0,male,parent,90151,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169888,21003A0AJ,HUNDERENVELD,169959,20,0,male,parent,90152,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169889,21003A0AJ,HUNDERENVELD,169960,19,0,male,parent,90153,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169890,21003A0AJ,HUNDERENVELD,169961,19,0,male,parent,90154,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169891,21003A0AJ,HUNDERENVELD,169962,19,0,male,parent,90155,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169892,21003A0AJ,HUNDERENVELD,169963,19,0,male,parent,90156,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169893,21003A0AJ,HUNDERENVELD,169964,19,0,male,parent,90157,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169894,21003A0AJ,HUNDERENVELD,169965,19,0,male,parent,90158,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169895,21003A0AJ,HUNDERENVELD,169966,18,0,male,parent,90159,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169896,21003A0AJ,HUNDERENVELD,169967,18,0,male,parent,90160,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169897,21003A0AJ,HUNDERENVELD,169968,18,0,male,parent,90161,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169898,21003A0AJ,HUNDERENVELD,169969,18,0,male,parent,90162,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169899,21003A0AJ,HUNDERENVELD,169970,18,0,male,parent,90163,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169900,21003A0AJ,HUNDERENVELD,169971,18,0,male,parent,90164,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169901,21003A0AJ,HUNDERENVELD,169972,18,0,male,parent,90165,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169902,21003A0AJ,HUNDERENVELD,169973,18,0,male,parent,90166,6,collectif,21003A0AJ,Berchem Sainte-Agathe
169903,21003A0AJ,HUNDERENVELD,169974,18,0,male,parent,90167,6,collectif,21003A0AJ,Berchem Sainte-Agathe
176998,21003A011,MOLENBERG,177070,19,0,male,parent,93771,6,collectif,21003A011,Berchem Sainte-Agathe
176999,21003A011,MOLENBERG,177071,19,0,male,parent,93772,6,collectif,21003A011,Berchem Sainte-Agathe
177647,21003A212,CLOS DU ZAVELENBERG,177719,19,1,female,parent,94067,6,collectif,21003A212,Berchem Sainte-Agathe
177648,21003A212,CLOS DU ZAVELENBERG,177720,19,1,female,parent,94068,6,collectif,21003A212,Berchem Sainte-Agathe
177649,21003A212,CLOS DU ZAVELENBERG,177721,19,1,female,parent,94069,6,collectif,21003A212,Berchem Sainte-Agathe
177650,21003A212,CLOS DU ZAVELENBERG,177722,19,1,female,parent,94070,6,collectif,21003A212,Berchem Sainte-Agathe
177651,21003A212,CLOS DU ZAVELENBERG,177723,18,1,female,parent,94071,6,collectif,21003A212,Berchem Sainte-Agathe
177652,21003A212,CLOS DU ZAVELENBERG,177724,18,1,female,parent,94072,6,collectif,21003A212,Berchem Sainte-Agathe
177653,21003A212,CLOS DU ZAVELENBERG,177725,18,1,female,parent,94073,6,collectif,21003A212,Berchem Sainte-Agathe
182045,21003A11-,CITE MODERNE,182118,20,1,female,parent,96136,6,collectif,21003A11-,Berchem Sainte-Agathe
182122,21003A11-,CITE MODERNE,182196,19,0,male,parent,96214,6,collectif,21003A11-,Berchem Sainte-Agathe
182123,21003A11-,CITE MODERNE,182197,19,0,male,parent,96215,6,collectif,21003A11-,Berchem Sainte-Agathe
182124,21003A11-,CITE MODERNE,182198,19,0,male,parent,96216,6,collectif,21003A11-,Berchem Sainte-Agathe
182125,21003A11-,CITE MODERNE,182199,19,0,male,parent,96217,6,collectif,21003A11-,Berchem Sainte-Agathe
182126,21003A11-,CITE MODERNE,182200,19,0,male,parent,96218,6,collectif,21003A11-,Berchem Sainte-Agathe
182127,21003A11-,CITE MODERNE,182201,18,0,male,parent,96219,6,collectif,21003A11-,Berchem Sainte-Agathe
185458,21003A2MJ,GARE,185534,18,1,female,parent,97981,6,collectif,21003A2MJ,Berchem Sainte-Agathe
185533,21003A2MJ,GARE,185609,20,0,male,parent,98056,6,collectif,21003A2MJ,Berchem Sainte-Agathe
185534,21003A2MJ,GARE,185610,18,0,male,parent,98057,6,collectif,21003A2MJ,Berchem Sainte-Agathe
196834,21004F511,AVENUE DES PAGODES,196912,19,1,female,parent,104378,6,collectif,21004F511,Bruxelles
196835,21004F511,AVENUE DES PAGODES,196913,19,1,female,parent,104379,6,collectif,21004F511,Bruxelles
196836,21004F511,AVENUE DES PAGODES,196914,19,1,female,parent,104380,6,collectif,21004F511,Bruxelles
196837,21004F511,AVENUE DES PAGODES,196915,19,1,female,parent,104381,6,collectif,21004F511,Bruxelles
196838,21004F511,AVENUE DES PAGODES,196916,19,1,female,parent,104382,6,collectif,21004F511,Bruxelles
196839,21004F511,AVENUE DES PAGODES,196917,19,1,female,parent,104383,6,collectif,21004F511,Bruxelles
196840,21004F511,AVENUE DES PAGODES,196918,19,1,female,parent,104384,6,collectif,21004F511,Bruxelles
196841,21004F511,AVENUE DES PAGODES,196919,19,1,female,parent,104385,6,collectif,21004F511,Bruxelles
197605,21004C62-,BOENDAAL-OUEST,197684,20,1,female,parent,104909,6,collectif,21004C62-,Bruxelles
