,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
43,43,21001B3MJ,PETITE ILE - RIVE DROITE,43,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
44,44,21001B3MJ,PETITE ILE - RIVE DROITE,44,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
45,45,21001B3MJ,PETITE ILE - RIVE DROITE,45,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
46,46,21001B3MJ,PETITE ILE - RIVE DROITE,46,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,26.0
47,47,21001B3MJ,PETITE ILE - RIVE DROITE,47,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,20.0
48,48,21001B3MJ,PETITE ILE - RIVE DROITE,48,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
49,49,21001B3MJ,PETITE ILE - RIVE DROITE,49,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,0.0
50,50,21001B3MJ,PETITE ILE - RIVE DROITE,50,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
51,51,21001B3MJ,PETITE ILE - RIVE DROITE,51,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
52,52,21001B3MJ,PETITE ILE - RIVE DROITE,52,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
53,53,21001B3MJ,PETITE ILE - RIVE DROITE,53,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
54,54,21001B3MJ,PETITE ILE - RIVE DROITE,54,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
55,55,21001B3MJ,PETITE ILE - RIVE DROITE,55,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,20.0
56,56,21001B3MJ,PETITE ILE - RIVE DROITE,56,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,0.0
57,57,21001B3MJ,PETITE ILE - RIVE DROITE,57,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,19.0
58,58,21001B3MJ,PETITE ILE - RIVE DROITE,58,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
59,59,21001B3MJ,PETITE ILE - RIVE DROITE,59,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
60,60,21001B3MJ,PETITE ILE - RIVE DROITE,60,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,18.0
61,61,21001B3MJ,PETITE ILE - RIVE DROITE,61,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
62,62,21001A51-,SCHERDEMAEL,62,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A51-,SCHERDEMAEL,23.0
63,63,21001A51-,SCHERDEMAEL,63,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A51-,SCHERDEMAEL,16.0
64,64,21001A51-,SCHERDEMAEL,64,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A51-,SCHERDEMAEL,16.0
65,65,21001A42-,KAT,65,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A42-,KAT,20.0
66,66,21001A52-,SCHERDEMAEL-NORD,66,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A52-,SCHERDEMAEL-NORD,16.0
67,67,21001A52-,SCHERDEMAEL-NORD,67,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A52-,SCHERDEMAEL-NORD,16.0
68,68,21001A52-,SCHERDEMAEL-NORD,68,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A52-,SCHERDEMAEL-NORD,0.0
69,69,21001C70-,BON AIR - CENTRE,69,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C70-,BON AIR - CENTRE,18.0
70,70,21001A552,TREFLE,70,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,16.0
71,71,21001A552,TREFLE,71,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,16.0
72,72,21001A552,TREFLE,72,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,19.0
73,73,21001A552,TREFLE,73,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,18.0
74,74,21001A552,TREFLE,74,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,16.0
75,75,21001A552,TREFLE,75,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,16.0
76,76,21001A552,TREFLE,76,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,16.0
77,77,21001A552,TREFLE,77,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,21.0
78,78,21001A84-,POESIE,78,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A84-,POESIE,16.0
79,79,21001A84-,POESIE,79,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A84-,POESIE,16.0
80,80,21001A34-,ROUE - CITE JARDIN,80,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A34-,ROUE - CITE JARDIN,16.0
81,81,21001A34-,ROUE - CITE JARDIN,81,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A34-,ROUE - CITE JARDIN,20.0
82,82,21001A34-,ROUE - CITE JARDIN,82,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A34-,ROUE - CITE JARDIN,0.0
83,83,21001A350,CERIA - ZONE D'HABITAT,83,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A350,CERIA - ZONE D'HABITAT,16.0
84,84,21001A350,CERIA - ZONE D'HABITAT,84,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A350,CERIA - ZONE D'HABITAT,17.0
85,85,21001A350,CERIA - ZONE D'HABITAT,85,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A350,CERIA - ZONE D'HABITAT,16.0
86,86,21001A441,DOCTEUR ROUX,86,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A441,DOCTEUR ROUX,16.0
87,87,21001A441,DOCTEUR ROUX,87,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A441,DOCTEUR ROUX,16.0
88,88,21001C512,CHANTS D'OISEAUX,88,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C512,CHANTS D'OISEAUX,23.0
89,89,21001C512,CHANTS D'OISEAUX,89,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C512,CHANTS D'OISEAUX,16.0
90,90,21001C512,CHANTS D'OISEAUX,90,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C512,CHANTS D'OISEAUX,26.0
91,91,21001C512,CHANTS D'OISEAUX,91,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C512,CHANTS D'OISEAUX,16.0
92,92,21001C71-,BON AIR - CITE JARDIN,92,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C71-,BON AIR - CITE JARDIN,0.0
93,93,21001C71-,BON AIR - CITE JARDIN,93,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C71-,BON AIR - CITE JARDIN,0.0
94,94,21001C71-,BON AIR - CITE JARDIN,94,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C71-,BON AIR - CITE JARDIN,17.0
95,95,21001C71-,BON AIR - CITE JARDIN,95,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C71-,BON AIR - CITE JARDIN,0.0
96,96,21001A82-,MOORTEBEEK,96,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,17.0
97,97,21001A82-,MOORTEBEEK,97,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,16.0
98,98,21001A82-,MOORTEBEEK,98,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,16.0
99,99,21001A82-,MOORTEBEEK,99,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,17.0
100,100,21001A82-,MOORTEBEEK,100,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,19.0
101,101,21001C611,SOETKIN,101,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,16.0
102,102,21001C611,SOETKIN,102,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,16.0
103,103,21001C611,SOETKIN,103,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,18.0
104,104,21001C611,SOETKIN,104,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,20.0
105,105,21001C611,SOETKIN,105,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,21.0
106,106,21001C611,SOETKIN,106,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,18.0
107,107,21001C611,SOETKIN,107,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,20.0
108,108,21001C611,SOETKIN,108,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,17.0
109,109,21001C581,CIMETIERE,109,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,17.0
110,110,21001C581,CIMETIERE,110,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
111,111,21001C581,CIMETIERE,111,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
112,112,21001C581,CIMETIERE,112,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,17.0
113,113,21001C581,CIMETIERE,113,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,0.0
114,114,21001C581,CIMETIERE,114,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
115,115,21001C581,CIMETIERE,115,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
116,116,21001C581,CIMETIERE,116,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
117,117,21001C581,CIMETIERE,117,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
118,118,21001C581,CIMETIERE,118,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,16.0
119,119,21001C581,CIMETIERE,119,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,17.0
120,120,21001C581,CIMETIERE,120,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,19.0
121,121,21001C522,HOPITAL U.L.B.,121,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
122,122,21001C522,HOPITAL U.L.B.,122,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,19.0
123,123,21001C522,HOPITAL U.L.B.,123,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
124,124,21001C522,HOPITAL U.L.B.,124,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,24.0
125,125,21001C522,HOPITAL U.L.B.,125,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
126,126,21001C522,HOPITAL U.L.B.,126,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
127,127,21001C522,HOPITAL U.L.B.,127,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
128,128,21001C522,HOPITAL U.L.B.,128,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,16.0
129,129,21001C522,HOPITAL U.L.B.,129,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,20.0
130,130,21001A451,VENIZELOS,130,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A451,VENIZELOS,0.0
131,131,21001A451,VENIZELOS,131,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A451,VENIZELOS,25.0
132,132,21001A30-,BIZET,132,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A30-,BIZET,17.0
133,133,21001A30-,BIZET,133,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A30-,BIZET,18.0
134,134,21001A30-,BIZET,134,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A30-,BIZET,18.0
135,135,21001A80-,SILLON,135,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A80-,SILLON,24.0
136,136,21001A80-,SILLON,136,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A80-,SILLON,16.0
