Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Sum of Compte;Commune_from
Femme;46;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Femme;48;1050;IXELLES;1;Ixelles
Femme;48;1180;UCCLE;1;Uccle
Femme;52;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Femme;55;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Femme;60;1090;JETTE;1;Jette
Homme;17;1190;FOREST;1;Forest
Homme;18;1000;BRUXELLES;2;Bruxelles
Homme;18;1030;SCHAERBEEK;1;Schaerbeek
Homme;18;1040;ETTERBEEK;3;Etterbeek
Homme;18;1070;ANDERLECHT;1;Anderlecht
Homme;18;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Homme;18;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;18;1090;JETTE;1;Jette
Homme;18;1160;AUDERGHEM;1;Auderghem
Homme;18;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Homme;18;1180;UCCLE;4;Uccle
Homme;18;1190;FOREST;1;Forest
Homme;18;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Homme;19;1000;BRUXELLES;9;Bruxelles
Homme;19;1030;SCHAERBEEK;2;Schaerbeek
Homme;19;1040;ETTERBEEK;3;Etterbeek
Homme;19;1050;IXELLES;2;Ixelles
Homme;19;1060;SAINT-GILLES;4;Saint-Gilles
Homme;19;1070;ANDERLECHT;8;Anderlecht
Homme;19;1080;MOLENBEEK-SAINT-JEAN;3;Molenbeek-Saint-Jean
Homme;19;1081;KOEKELBERG;2;Koekelberg
Homme;19;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;19;1083;GANSHOREN;2;Ganshoren
Homme;19;1090;JETTE;2;Jette
Homme;19;1140;EVERE;1;Evere
Homme;19;1150;WOLUWE-SAINT-PIERRE;5;Woluwe-Saint-Pierre
Homme;19;1160;AUDERGHEM;4;Auderghem
Homme;19;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Homme;19;1180;UCCLE;9;Uccle
Homme;19;1190;FOREST;3;Forest
Homme;19;1200;WOLUWE-SAINT-LAMBERT;5;Woluwe-Saint-Lambert
Homme;20;1000;BRUXELLES;9;Bruxelles
Homme;20;1030;SCHAERBEEK;1;Schaerbeek
Homme;20;1040;ETTERBEEK;2;Etterbeek
Homme;20;1050;IXELLES;2;Ixelles
Homme;20;1060;SAINT-GILLES;3;Saint-Gilles
Homme;20;1070;ANDERLECHT;5;Anderlecht
Homme;20;1080;MOLENBEEK-SAINT-JEAN;3;Molenbeek-Saint-Jean
Homme;20;1082;BERCHEM-SAINTE-AGATHE;2;Berchem-Sainte-Agathe
Homme;20;1083;GANSHOREN;1;Ganshoren
Homme;20;1090;JETTE;7;Jette
Homme;20;1140;EVERE;1;Evere
Homme;20;1150;WOLUWE-SAINT-PIERRE;5;Woluwe-Saint-Pierre
Homme;20;1160;AUDERGHEM;6;Auderghem
Homme;20;1170;WATERMAEL-BOITSFORT;4;Watermael-Boitsfort
Homme;20;1180;UCCLE;6;Uccle
Homme;20;1190;FOREST;4;Forest
Homme;20;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Homme;20;1210;SAINT-JOSSE-TEN-NOODE;3;Saint-Josse-Ten-Noode
Homme;21;1000;BRUXELLES;10;Bruxelles
Homme;21;1030;SCHAERBEEK;7;Schaerbeek
Homme;21;1040;ETTERBEEK;2;Etterbeek
Homme;21;1050;IXELLES;7;Ixelles
Homme;21;1060;SAINT-GILLES;2;Saint-Gilles
Homme;21;1070;ANDERLECHT;5;Anderlecht
Homme;21;1080;MOLENBEEK-SAINT-JEAN;9;Molenbeek-Saint-Jean
Homme;21;1082;BERCHEM-SAINTE-AGATHE;4;Berchem-Sainte-Agathe
Homme;21;1083;GANSHOREN;1;Ganshoren
Homme;21;1090;JETTE;5;Jette
Homme;21;1150;WOLUWE-SAINT-PIERRE;4;Woluwe-Saint-Pierre
Homme;21;1160;AUDERGHEM;2;Auderghem
Homme;21;1170;WATERMAEL-BOITSFORT;6;Watermael-Boitsfort
Homme;21;1180;UCCLE;4;Uccle
Homme;21;1190;FOREST;4;Forest
Homme;21;1200;WOLUWE-SAINT-LAMBERT;3;Woluwe-Saint-Lambert
Homme;21;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Homme;22;1000;BRUXELLES;12;Bruxelles
Homme;22;1030;SCHAERBEEK;8;Schaerbeek
Homme;22;1040;ETTERBEEK;2;Etterbeek
Homme;22;1050;IXELLES;5;Ixelles
Homme;22;1060;SAINT-GILLES;4;Saint-Gilles
Homme;22;1070;ANDERLECHT;5;Anderlecht
Homme;22;1080;MOLENBEEK-SAINT-JEAN;7;Molenbeek-Saint-Jean
Homme;22;1081;KOEKELBERG;3;Koekelberg
Homme;22;1082;BERCHEM-SAINTE-AGATHE;3;Berchem-Sainte-Agathe
Homme;22;1090;JETTE;4;Jette
Homme;22;1140;EVERE;6;Evere
Homme;22;1150;WOLUWE-SAINT-PIERRE;7;Woluwe-Saint-Pierre
Homme;22;1160;AUDERGHEM;5;Auderghem
Homme;22;1170;WATERMAEL-BOITSFORT;5;Watermael-Boitsfort
Homme;22;1180;UCCLE;10;Uccle
Homme;22;1190;FOREST;2;Forest
Homme;22;1200;WOLUWE-SAINT-LAMBERT;9;Woluwe-Saint-Lambert
Homme;22;1210;SAINT-JOSSE-TEN-NOODE;4;Saint-Josse-Ten-Noode
Homme;23;1000;BRUXELLES;8;Bruxelles
Homme;23;1030;SCHAERBEEK;9;Schaerbeek
Homme;23;1040;ETTERBEEK;3;Etterbeek
Homme;23;1050;IXELLES;5;Ixelles
Homme;23;1060;SAINT-GILLES;5;Saint-Gilles
Homme;23;1070;ANDERLECHT;5;Anderlecht
Homme;23;1080;MOLENBEEK-SAINT-JEAN;2;Molenbeek-Saint-Jean
Homme;23;1081;KOEKELBERG;1;Koekelberg
Homme;23;1082;BERCHEM-SAINTE-AGATHE;2;Berchem-Sainte-Agathe
Homme;23;1083;GANSHOREN;1;Ganshoren
Homme;23;1090;JETTE;3;Jette
Homme;23;1140;EVERE;2;Evere
Homme;23;1150;WOLUWE-SAINT-PIERRE;6;Woluwe-Saint-Pierre
Homme;23;1160;AUDERGHEM;3;Auderghem
Homme;23;1170;WATERMAEL-BOITSFORT;5;Watermael-Boitsfort
Homme;23;1180;UCCLE;7;Uccle
Homme;23;1190;FOREST;4;Forest
Homme;23;1200;WOLUWE-SAINT-LAMBERT;5;Woluwe-Saint-Lambert
Homme;23;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Homme;24;1000;BRUXELLES;3;Bruxelles
Homme;24;1030;SCHAERBEEK;7;Schaerbeek
Homme;24;1040;ETTERBEEK;4;Etterbeek
Homme;24;1050;IXELLES;3;Ixelles
Homme;24;1060;SAINT-GILLES;2;Saint-Gilles
Homme;24;1070;ANDERLECHT;4;Anderlecht
Homme;24;1080;MOLENBEEK-SAINT-JEAN;6;Molenbeek-Saint-Jean
Homme;24;1081;KOEKELBERG;2;Koekelberg
Homme;24;1082;BERCHEM-SAINTE-AGATHE;3;Berchem-Sainte-Agathe
Homme;24;1090;JETTE;2;Jette
Homme;24;1140;EVERE;1;Evere
Homme;24;1150;WOLUWE-SAINT-PIERRE;6;Woluwe-Saint-Pierre
Homme;24;1160;AUDERGHEM;3;Auderghem
Homme;24;1180;UCCLE;6;Uccle
Homme;24;1190;FOREST;5;Forest
Homme;24;1200;WOLUWE-SAINT-LAMBERT;3;Woluwe-Saint-Lambert
Homme;24;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Homme;25;1000;BRUXELLES;3;Bruxelles
Homme;25;1030;SCHAERBEEK;5;Schaerbeek
Homme;25;1040;ETTERBEEK;4;Etterbeek
Homme;25;1050;IXELLES;4;Ixelles
Homme;25;1060;SAINT-GILLES;4;Saint-Gilles
Homme;25;1070;ANDERLECHT;4;Anderlecht
Homme;25;1080;MOLENBEEK-SAINT-JEAN;2;Molenbeek-Saint-Jean
Homme;25;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;25;1090;JETTE;4;Jette
Homme;25;1180;UCCLE;6;Uccle
Homme;25;1190;FOREST;4;Forest
Homme;25;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Homme;25;1210;SAINT-JOSSE-TEN-NOODE;2;Saint-Josse-Ten-Noode
Homme;26;1000;BRUXELLES;3;Bruxelles
Homme;26;1030;SCHAERBEEK;1;Schaerbeek
Homme;26;1050;IXELLES;7;Ixelles
Homme;26;1060;SAINT-GILLES;3;Saint-Gilles
Homme;26;1070;ANDERLECHT;4;Anderlecht
Homme;26;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Homme;26;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Homme;26;1160;AUDERGHEM;2;Auderghem
Homme;26;1180;UCCLE;3;Uccle
Homme;26;1190;FOREST;2;Forest
Homme;26;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Homme;26;1210;SAINT-JOSSE-TEN-NOODE;2;Saint-Josse-Ten-Noode
Homme;27;1000;BRUXELLES;1;Bruxelles
Homme;27;1030;SCHAERBEEK;4;Schaerbeek
Homme;27;1040;ETTERBEEK;1;Etterbeek
Homme;27;1050;IXELLES;3;Ixelles
Homme;27;1080;MOLENBEEK-SAINT-JEAN;3;Molenbeek-Saint-Jean
Homme;27;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;27;1090;JETTE;1;Jette
Homme;27;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Homme;27;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Homme;27;1180;UCCLE;1;Uccle
Homme;27;1210;SAINT-JOSSE-TEN-NOODE;2;Saint-Josse-Ten-Noode
Homme;28;1000;BRUXELLES;1;Bruxelles
Homme;28;1050;IXELLES;1;Ixelles
Homme;28;1083;GANSHOREN;1;Ganshoren
Homme;28;1090;JETTE;2;Jette
Homme;28;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Homme;28;1180;UCCLE;1;Uccle
Homme;28;1190;FOREST;2;Forest
Homme;28;1200;WOLUWE-SAINT-LAMBERT;4;Woluwe-Saint-Lambert
Homme;29;1000;BRUXELLES;1;Bruxelles
Homme;29;1030;SCHAERBEEK;2;Schaerbeek
Homme;29;1060;SAINT-GILLES;1;Saint-Gilles
Homme;29;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Homme;29;1180;UCCLE;1;Uccle
Homme;29;1190;FOREST;1;Forest
Homme;29;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Homme;29;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Homme;30;1000;BRUXELLES;4;Bruxelles
Homme;30;1030;SCHAERBEEK;1;Schaerbeek
Homme;30;1050;IXELLES;1;Ixelles
Homme;30;1140;EVERE;1;Evere
Homme;30;1160;AUDERGHEM;1;Auderghem
Homme;31;1000;BRUXELLES;1;Bruxelles
Homme;31;1030;SCHAERBEEK;1;Schaerbeek
Homme;31;1050;IXELLES;2;Ixelles
Homme;31;1070;ANDERLECHT;1;Anderlecht
Homme;31;1150;WOLUWE-SAINT-PIERRE;2;Woluwe-Saint-Pierre
Homme;31;1190;FOREST;1;Forest
Homme;32;1000;BRUXELLES;1;Bruxelles
Homme;32;1040;ETTERBEEK;1;Etterbeek
Homme;32;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;32;1150;WOLUWE-SAINT-PIERRE;2;Woluwe-Saint-Pierre
Homme;33;1000;BRUXELLES;1;Bruxelles
Homme;33;1030;SCHAERBEEK;1;Schaerbeek
Homme;33;1050;IXELLES;2;Ixelles
Homme;33;1060;SAINT-GILLES;2;Saint-Gilles
Homme;33;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Homme;33;1090;JETTE;1;Jette
Homme;34;1050;IXELLES;1;Ixelles
Homme;34;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Homme;35;1000;BRUXELLES;1;Bruxelles
Homme;35;1050;IXELLES;1;Ixelles
Homme;35;1060;SAINT-GILLES;1;Saint-Gilles
Homme;36;1000;BRUXELLES;1;Bruxelles
Homme;36;1050;IXELLES;1;Ixelles
Homme;36;1190;FOREST;1;Forest
Homme;37;1070;ANDERLECHT;1;Anderlecht
Homme;37;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Homme;38;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Homme;38;1090;JETTE;1;Jette
Homme;40;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Homme;41;1190;FOREST;1;Forest
Homme;42;1050;IXELLES;1;Ixelles
Homme;42;1190;FOREST;1;Forest
Homme;43;1140;EVERE;1;Evere
Homme;43;1160;AUDERGHEM;1;Auderghem
Homme;43;1190;FOREST;1;Forest
Homme;44;1030;SCHAERBEEK;1;Schaerbeek
Homme;45;1180;UCCLE;1;Uccle
