,SectorStatID,Nb d'enfants inscrits en primaires habitant le ss
314,21009A42-,154
315,21009A40-,79
316,21009A301,45
317,21009A812,17
318,21009A33-,187
319,21009A34-,38
320,21009A21-,125
321,21009A43-,96
322,21009A41-,114
323,21009A83-,114
324,21009A52-,254
325,21009A44-,85
326,21009A712,31
327,21009A72-,56
328,21009A911,70
329,21009A311,25
330,21009A802,17
331,21009A82-,55
332,21009A111,149
333,21009A01-,104
334,21009A22-,176
335,21009A53-,148
336,21009A612,138
337,21009A151,56
338,21009A922,3
339,21009A73-,114
340,21009A451,97
341,21010A04-,302
342,21010A03-,257
343,21010A10-,154
344,21010A121,104
345,21010A111,171
346,21010A312,95
347,21010A1AJ,208
348,21010A05-,504
349,21010A13-,286
350,21010A00-,481
351,21010A141,340
352,21010A21-,249
353,21010A02-,355
354,21011A11-,150
355,21011A30-,217
356,21011A20-,313
357,21011A10-,190
358,21011A01-,484
359,21011A02-,274
360,21011A00-,224
361,21011A12-,118
362,21012A552,100
363,21012A833,26
364,21012A84-,141
365,21012A24-,268
366,21012A26-,246
367,21012A25-,104
368,21012A172,130
369,21012A041,216
370,21012A10-,297
371,21012A00-,273
372,21012A05-,128
373,21012A851,84
374,21012A882,44
375,21012A22-,23
376,21012A13-,171
377,21012A672,287
378,21012A60-,563
379,21012A62-,547
380,21012A511,338
381,21012A20-,232
382,21012A72-,281
383,21012A611,152
384,21012A53-,57
385,21012A54-,340
386,21012A50-,208
387,21012A71-,396
388,21012A21-,235
389,21012A152,616
390,21012A52-,289
391,21012A30-,165
392,21012A23-,262
393,21012A41-,119
394,21012A822,398
395,21012A811,92
396,21012A141,284
397,21012A03-,201
398,21012A11-,155
399,21012A02-,106
400,21012A011,123
401,21012A732,138
402,21013A242,136
403,21013A102,21
404,21013A101,165
405,21013A13-,163
406,21013A121,67
407,21013A422,248
408,21013A11-,70
409,21013A01-,167
410,21013A04-,93
411,21013A201,193
412,21013A252,181
413,21013A23-,138
414,21013A02-,119
415,21013A612,16
416,21013A22-,250
417,21013A211,167
418,21013A052,44
419,21013A151,98
420,21013A522,60
421,21013A40-,138
422,21013A41-,156
423,21013A031,60
424,21013A00-,155
425,21013A51-,88
426,21014A00-,253
427,21014A02-,102
428,21014A14-,110
429,21014A41-,356
430,21014A10-,234
431,21014A03-,78
432,21014A12-,22
433,21014A01-,81
434,21014A04-,259
435,21014A05-,643
436,21014A3MJ,29
437,21015A50-,284
438,21015A77-,167
439,21015A73-,105
440,21015A782,23
441,21015A31-,144
442,21015A36-,100
443,21015A70-,116
444,21015A721,87
445,21015A822,21
446,21015A63-,106
447,21015A883,25
448,21015A811,103
449,21015A831,250
450,21015A03-,510
451,21015A021,348
452,21015A30-,270
453,21015A32-,208
454,21015A64-,300
455,21015A33-,190
456,21015A35-,159
457,21015A53-,271
458,21015A54-,295
459,21015A52-,142
460,21015A51-,104
461,21015A05-,406
462,21015A12-,170
463,21015A152,385
464,21015A101,165
465,21015A111,289
466,21015A142,24
467,21015A622,57
468,21015A71-,94
469,21015A04-,468
470,21015A421,182
471,21015A40-,372
472,21015A43-,172
473,21015A44-,354
474,21015A41-,312
475,21015A612,425
476,21015A45-,171
477,21015A00-,759
478,21015A01-,102
479,21015A13-,239
480,21015A22-,373
481,21015A272,10
482,21015A231,115
483,21015A20-,534
484,21015A21-,235
485,21016A901,137
486,21016A81-,163
487,21016A82-,268
488,21016A232,88
489,21016A831,188
490,21016A111,55
491,21016A841,21
492,21016A85-,72
493,21016A042,41
494,21016A03-,185
495,21016A02-,215
496,21016A922,66
497,21016A933,182
498,21016A731,38
499,21016A701,166
500,21016A772,62
501,21016A72-,69
502,21016A71-,116
503,21016A954,16
504,21016A80-,139
505,21016A225,22
506,21016A05-,245
507,21016A533,32
508,21016A943,45
509,21016A65-,74
510,21016A601,87
511,21016A620,74
512,21016A01-,321
513,21016A00-,286
514,21016A102,160
515,21016A12-,155
516,21016A44-,200
517,21016A214,28
518,21016A322,49
519,21016A400,196
520,21016A429,105
521,21016A410,46
522,21016A490,23
523,21016A639,193
524,21016A610,32
525,21016A521,34
526,21016A342,213
527,21016A311,125
528,21017A512,49
529,21017A541,39
530,21017A635,47
531,21017A11-,120
532,21017A240,49
533,21017A230,76
534,21017A220,48
535,21017A443,74
536,21017A41-,97
537,21017A523,73
538,21017A624,40
539,21017A534,15
540,21017A501,19
541,21017A432,78
542,21017A021,19
543,21017A01-,89
544,21017A12-,177
545,21017A13-,78
546,21017A212,93
547,21017A000,65
548,21017A451,82
549,21017A041,71
550,21018A20-,216
551,21018A72-,145
552,21018A21-,171
553,21018A35-,114
554,21018A34-,75
555,21018A32-,30
556,21018A33-,121
557,21018A22-,110
558,21018A512,87
559,21018A031,78
560,21018A04-,126
561,21018A02-,68
562,21018A37-,19
563,21018A63-,141
564,21018A61-,126
565,21018A62-,225
566,21018A24-,127
567,21018A09-,12
568,21018A30-,77
569,21018A643,121
570,21018A60-,35
571,21018A81-,44
572,21018A84-,84
573,21018A00-,87
574,21018A43-,75
575,21018A41-,68
576,21018A42-,71
577,21018A01-,52
578,21018A15-,18
579,21018A14-,78
580,21018A13-,67
581,21018A12-,83
582,21018A82-,37
583,21018A83-,54
584,21018A87-,16
585,21018A3MJ,215
586,21019A231,75
587,21019A242,62
588,21019A131,118
589,21019A12-,52
590,21019A45-,73
591,21019A52-,63
592,21019A51-,101
593,21019A04-,59
594,21019A03-,81
595,21019A02-,14
596,21019A052,41
597,21019A001,104
598,21019A34-,89
599,21019A30-,72
600,21019A33-,100
601,21019A01-,47
602,21019A11-,72
603,21019A31-,88
604,21019A32-,204
605,21019A35-,93
606,21019A20-,97
607,21019A10-,159
608,21019A21-,92
609,21019A40-,215
610,21019A15-,113
611,21019A42-,67
612,21019A22-,33
613,21019A441,27
614,21019A41-,92
615,21019A43-,27
616,21001C6PB,27
