,SectorStatID,Nb d'enfants inscrits en secondaires habitant le ss
318,21009A812,16
319,21009A33-,162
320,21009A34-,37
321,21009A43-,98
322,21009A41-,88
323,21009A83-,72
324,21009A52-,182
325,21009A2MJ,2
326,21009A44-,63
327,21009A712,23
328,21009A72-,50
329,21009A911,60
330,21009A311,17
331,21009A802,10
332,21009A82-,37
333,21009A111,135
334,21009A01-,82
335,21009A22-,129
336,21009A53-,126
337,21009A612,105
338,21009A151,35
339,21009A922,2
340,21009A73-,113
341,21009A451,82
342,21010A04-,241
343,21010A03-,202
344,21010A10-,111
345,21010A121,60
346,21010A111,152
347,21010A312,70
348,21010A1AJ,187
349,21010A05-,354
350,21010A13-,233
351,21010A00-,341
352,21010A141,265
353,21010A21-,204
354,21010A02-,274
355,21011A11-,100
356,21011A30-,148
357,21011A20-,229
358,21011A10-,144
359,21011A01-,313
360,21011A02-,166
361,21011A00-,175
362,21011A12-,97
363,21012A552,82
364,21012A833,13
365,21012A84-,98
366,21012A24-,216
367,21012A26-,178
368,21012A25-,85
369,21012A172,88
370,21012A041,145
371,21012A10-,201
372,21012A00-,236
373,21012A05-,96
374,21012A851,54
375,21012A882,25
376,21012A22-,19
377,21012A13-,99
378,21012A12-,120
379,21012A672,209
380,21012A60-,419
381,21012A63-,204
382,21012A62-,384
383,21012A511,240
384,21012A20-,147
385,21012A611,104
386,21012A53-,51
387,21012A54-,240
388,21012A50-,181
389,21012A71-,309
390,21012A21-,163
391,21012A152,463
392,21012A52-,211
393,21012A30-,124
394,21012A23-,213
395,21012A41-,83
396,21012A811,55
397,21012A141,230
398,21012A03-,172
399,21012A11-,110
400,21012A02-,82
401,21012A011,109
402,21012A732,93
403,21013A242,88
404,21013A102,14
405,21013A101,110
406,21013A13-,144
407,21013A121,44
408,21013A422,161
409,21013A11-,61
410,21013A01-,138
411,21013A04-,61
412,21013A201,140
413,21013A252,147
414,21013A23-,98
415,21013A02-,94
416,21013A612,11
417,21013A22-,195
418,21013A211,139
419,21013A052,42
420,21013A151,73
421,21013A522,47
422,21013A40-,94
423,21013A41-,110
424,21013A031,40
425,21013A00-,135
426,21013A51-,72
427,21014A00-,181
428,21014A02-,62
429,21014A14-,84
430,21014A41-,287
431,21014A10-,220
432,21014A03-,55
433,21014A12-,14
434,21014A01-,62
435,21014A04-,221
436,21014A05-,495
437,21014A3MJ,13
438,21015A77-,114
439,21015A73-,71
440,21015A782,13
441,21015A31-,140
442,21015A36-,79
443,21015A70-,95
444,21015A721,69
445,21015A822,17
446,21015A34-,81
447,21015A63-,75
448,21015A883,14
449,21015A811,89
450,21015A831,182
451,21015A03-,359
452,21015A021,262
453,21015A32-,165
454,21015A64-,198
455,21015A33-,128
456,21015A35-,120
457,21015A53-,210
458,21015A54-,254
459,21015A52-,119
460,21015A51-,88
461,21015A05-,307
462,21015A12-,144
463,21015A152,242
464,21015A101,106
465,21015A142,20
466,21015A622,56
467,21015A71-,77
468,21015A04-,342
469,21015A421,105
470,21015A40-,254
471,21015A43-,108
472,21015A44-,263
473,21015A41-,215
474,21015A612,290
475,21015A45-,104
476,21015A00-,514
477,21015A01-,67
478,21015A24-,165
479,21015A13-,167
480,21015A22-,303
481,21015A272,7
482,21015A231,85
483,21015A20-,399
484,21015A21-,197
485,21016A901,106
486,21016A81-,133
487,21016A232,75
488,21016A831,140
489,21016A111,49
490,21016A841,19
491,21016A85-,50
492,21016A042,29
493,21016A02-,171
494,21016A922,54
495,21016A912,72
496,21016A933,138
497,21016A731,22
498,21016A701,126
499,21016A772,41
500,21016A72-,52
501,21016A71-,101
502,21016A954,9
503,21016A331,21
504,21016A80-,116
505,21016A225,19
506,21016A64-,106
507,21016A05-,196
508,21016A533,24
509,21016A943,36
510,21016A65-,69
511,21016A601,67
512,21016A620,65
513,21016A01-,236
514,21016A00-,220
515,21016A102,153
516,21016A12-,119
517,21016A44-,143
518,21016A214,15
519,21016A322,32
520,21016A400,164
521,21016A429,84
522,21016A410,44
523,21016A490,23
524,21016A639,178
525,21016A610,21
526,21016A521,32
527,21016A342,168
528,21016A311,103
529,21017A512,59
530,21017A541,32
531,21017A635,28
532,21017A11-,96
533,21017A240,36
534,21017A220,53
535,21017A443,42
536,21017A41-,69
537,21017A523,55
538,21017A624,34
539,21017A534,16
540,21017A501,16
541,21017A432,67
542,21017A021,20
543,21017A01-,78
544,21017A12-,138
545,21017A13-,70
546,21017A212,90
547,21017A000,58
548,21017A451,68
549,21017A041,44
550,21018A20-,152
551,21018A72-,126
552,21018A21-,130
553,21018A35-,81
554,21018A34-,58
555,21018A32-,23
556,21018A33-,83
557,21018A22-,80
558,21018A512,81
559,21018A031,72
560,21018A04-,104
561,21018A02-,59
562,21018A37-,11
563,21018A63-,89
564,21018A05-,60
565,21018A61-,96
566,21018A62-,157
567,21018A24-,102
568,21018A09-,12
569,21018A30-,57
570,21018A643,126
571,21018A60-,22
572,21018A81-,32
573,21018A84-,59
574,21018A00-,54
575,21018A43-,61
576,21018A41-,60
577,21018A42-,42
578,21018A01-,47
579,21018A15-,9
580,21018A13-,60
581,21018A12-,71
582,21018A82-,26
583,21018A83-,38
584,21018A87-,27
585,21018A3MJ,135
586,21019A231,63
587,21019A242,40
588,21019A252,61
589,21019A131,93
590,21019A12-,38
591,21019A45-,50
592,21019A52-,50
593,21019A51-,83
594,21019A03-,56
595,21019A02-,12
596,21019A052,25
597,21019A001,76
598,21019A34-,75
599,21019A30-,56
600,21019A33-,75
601,21019A01-,31
602,21019A11-,42
603,21019A31-,68
604,21019A32-,131
605,21019A35-,65
606,21019A20-,87
607,21019A14-,85
608,21019A10-,116
609,21019A21-,85
610,21019A40-,176
611,21019A42-,60
612,21019A22-,22
613,21019A441,17
614,21019A41-,71
615,21019A43-,24
616,21001C6PB,26
