,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
163,21004A21-,329
164,21004A13-,14
165,21004E70-,322
166,21004E74-,461
167,21004E201,239
168,21004E83-,209
169,21004E130,252
170,21004E73-,231
171,21004E72-,336
172,21004D64-,56
173,21004E112,26
174,21004D62-,172
175,21004E211,49
176,21004D631,21
177,21004E12-,301
178,21004D6NJ,23
179,21004A822,25
180,21004E800,58
181,21004E233,24
182,21004E101,115
183,21004A811,108
184,21004D672,38
185,21004E14-,147
186,21004F522,84
187,21004E82-,193
188,21004E222,93
189,21004E81-,56
190,21004D600,50
191,21004D610,166
192,21005A10-,137
193,21005A042,163
194,21005A02-,97
195,21005A33-,56
196,21005A14-,96
197,21005A13-,54
198,21005A082,17
199,21005A01-,110
200,21005A322,12
201,21005A311,71
202,21005A20-,53
203,21005A15-,68
204,21005A031,51
205,21005A051,160
206,21005A11-,109
207,21005A00-,134
208,21005A12-,231
209,21005A22-,32
210,21005A21-,21
211,21006A12-,34
212,21006A11-,23
213,21006A153,50
214,21006A13-,54
215,21006A02-,28
216,21006A03-,40
217,21006A094,15
218,21006A515,49
219,21006A24-,26
220,21006A403,87
221,21006A474,47
222,21006A201,105
223,21006A21-,27
224,21006A23-,132
225,21006A312,18
226,21006A101,227
227,21006A001,142
228,21006A414,127
229,21006A171,28
230,21006A25-,42
231,21006A22-,91
232,21006A011,132
233,21006A142,58
234,21006A042,56
235,21006A052,111
236,21006A323,33
237,21007A03-,37
238,21007A252,9
239,21007A201,82
240,21007A21-,15
241,21007A242,17
242,21007A75-,36
243,21007A111,25
244,21007A41-,23
245,21007A142,52
246,21007A53-,119
247,21007A50-,135
248,21007A51-,39
249,21007A552,10
250,21007A541,26
251,21007A61-,278
252,21007A06-,35
253,21007A04-,19
254,21007A00-,153
255,21007A101,113
256,21007A783,16
257,21007A071,77
258,21007A70-,119
259,21007A239,119
260,21007A05-,46
261,21007A01-,53
262,21007A52-,61
263,21007A40-,102
264,21007A02-,23
265,21007A12-,10
266,21007A60-,237
267,21007A73-,72
268,21007A72-,184
269,21007A71-,66
270,21008A31-,20
271,21008A30-,50
272,21008A00-,44
273,21008A220,107
274,21008A02-,168
275,21008A34-,26
276,21008A35-,11
277,21008A240,48
278,21008A23-,15
279,21008A20-,203
280,21008A01-,25
281,21008A33-,52
282,21008A32-,73
283,21008A10-,152
284,21008A21-,73
285,21009A20-,81
286,21009A23-,62
287,21009A623,8
288,21009A90-,40
289,21009A652,90
290,21009A501,10
291,21009A552,50
292,21009A542,13
293,21009A051,41
294,21009A041,55
295,21009A00-,76
296,21009A02-,95
297,21009A101,59
298,21009A03-,61
299,21009A13-,49
300,21009A121,38
301,21009A63-,73
302,21009A602,2
303,21009A42-,100
304,21009A40-,67
305,21009A301,32
306,21009A812,13
307,21009A33-,139
308,21009A34-,13
309,21009A21-,91
310,21009A43-,54
311,21009A41-,71
312,21009A83-,55
313,21009A52-,136
314,21009A44-,54
315,21009A712,22
316,21009A72-,46
317,21009A911,52
318,21009A311,8
319,21009A802,9
320,21009A82-,36
321,21009A111,96
322,21009A01-,70
323,21009A22-,123
324,21009A53-,101
325,21009A512,2
326,21009A612,93
327,21009A151,30
328,21009A922,6
329,21009A73-,88
330,21009A451,75
331,21010A04-,215
332,21010A03-,146
333,21010A10-,87
334,21010A121,61
335,21010A111,101
336,21010A312,38
337,21010A1AJ,126
338,21010A05-,290
339,21010A13-,174
340,21010A00-,251
341,21010A141,181
342,21010A01-,227
343,21010A21-,181
344,21010A02-,207
345,21011A11-,91
346,21011A30-,118
347,21011A20-,177
348,21011A10-,126
349,21011A01-,250
350,21011A02-,151
351,21011A00-,103
352,21011A12-,85
353,21012A552,71
354,21012A833,10
355,21012A84-,91
356,21012A24-,191
357,21012A26-,150
358,21012A25-,37
359,21012A172,64
360,21012A041,108
361,21012A10-,154
362,21012A00-,117
363,21012A05-,65
364,21012A851,72
365,21012A882,34
366,21012A22-,12
367,21012A13-,85
368,21012A12-,79
369,21012A672,159
370,21012A60-,289
371,21012A63-,136
372,21012A62-,279
373,21012A511,171
374,21012A20-,119
375,21012A72-,137
376,21012A611,91
377,21012A53-,21
378,21012A54-,186
379,21012A50-,156
380,21012A71-,196
381,21012A21-,86
382,21012A152,335
383,21012A52-,190
384,21012A30-,111
385,21012A23-,179
386,21012A41-,79
387,21012A822,235
388,21012A811,47
389,21012A141,139
390,21012A03-,90
391,21012A11-,83
392,21012A02-,45
393,21012A011,53
394,21012A732,70
395,21013A242,78
396,21013A102,16
397,21013A101,103
398,21013A13-,80
399,21013A121,40
400,21013A422,120
401,21013A11-,52
402,21013A01-,107
403,21013A04-,62
404,21013A201,110
405,21013A252,94
406,21013A23-,73
407,21013A02-,86
408,21013A612,17
409,21013A22-,157
410,21013A211,67
411,21013A052,36
412,21013A151,56
413,21013A522,43
414,21013A40-,82
415,21013A41-,115
416,21013A031,42
417,21013A00-,104
418,21013A51-,43
419,21014A00-,142
420,21014A02-,69
421,21014A14-,63
422,21014A41-,182
423,21014A10-,98
424,21014A03-,52
425,21014A12-,16
426,21014A01-,50
427,21014A04-,121
428,21014A05-,338
429,21014A3MJ,23
430,21015A50-,182
431,21015A77-,76
432,21015A73-,71
433,21015A782,15
434,21015A31-,107
435,21015A36-,69
436,21015A70-,80
437,21015A721,46
438,21015A822,18
439,21015A34-,74
440,21015A63-,77
441,21015A883,12
442,21015A811,62
443,21015A831,137
444,21015A03-,268
445,21015A021,178
446,21015A30-,151
447,21015A32-,121
448,21015A64-,144
449,21015A33-,117
450,21015A35-,89
451,21015A53-,144
452,21015A54-,199
453,21015A52-,100
454,21015A51-,68
455,21015A05-,215
456,21015A12-,110
457,21015A152,215
458,21015A101,105
459,21015A111,152
460,21015A142,14
461,21015A622,36
462,21015A71-,65
463,21015A04-,245
464,21015A421,112
465,21015A40-,202
466,21015A43-,107
467,21015A44-,188
468,21015A41-,182
469,21015A612,229
470,21015A45-,83
471,21015A00-,400
472,21015A01-,60
473,21015A24-,158
474,21015A13-,131
475,21015A22-,166
476,21015A272,10
477,21015A231,87
478,21015A20-,307
479,21015A21-,101
480,21016A901,68
481,21016A81-,92
482,21016A82-,136
483,21016A232,44
484,21016A831,92
485,21016A111,27
486,21016A841,10
487,21016A85-,39
488,21016A042,15
489,21016A03-,107
490,21016A02-,133
491,21016A922,45
492,21016A912,43
493,21016A933,94
494,21016A731,19
495,21016A701,101
496,21016A772,36
497,21016A72-,20
498,21016A71-,61
499,21016A954,13
500,21016A331,2
501,21016A80-,85
502,21016A225,10
503,21016A64-,89
504,21016A05-,150
505,21016A533,16
506,21016A943,35
507,21016A65-,48
508,21016A601,40
509,21016A620,28
510,21016A01-,141
511,21016A00-,139
512,21016A102,64
513,21016A12-,57
514,21016A44-,87
515,21016A214,13
516,21016A322,25
517,21016A400,96
518,21016A429,56
519,21016A410,26
520,21016A490,8
521,21016A639,76
522,21016A610,17
523,21016A521,11
524,21016A342,91
525,21016A311,39
526,21017A512,40
527,21017A541,26
528,21017A635,18
529,21017A11-,57
530,21017A240,27
531,21017A230,40
532,21017A220,21
533,21017A443,24
534,21017A41-,52
535,21017A523,41
536,21017A624,26
537,21017A534,13
538,21017A501,11
539,21017A432,41
540,21017A021,7
541,21017A01-,44
542,21017A12-,63
543,21017A13-,42
544,21017A212,39
545,21017A000,38
546,21017A451,48
547,21017A041,31
548,21018A20-,127
549,21018A72-,71
550,21018A21-,97
551,21018A35-,35
552,21018A34-,43
553,21018A32-,15
554,21018A311,75
555,21018A33-,66
556,21018A22-,65
557,21018A512,64
558,21018A031,53
559,21018A04-,74
560,21018A02-,37
561,21018A37-,12
562,21018A63-,67
563,21018A05-,42
564,21018A61-,77
565,21018A62-,122
566,21018A24-,64
567,21018A09-,8
568,21018A30-,44
569,21018A643,56
570,21018A60-,16
571,21018A81-,17
572,21018A84-,25
573,21018A00-,58
574,21018A43-,43
575,21018A41-,46
576,21018A42-,44
577,21018A01-,36
578,21018A15-,11
579,21018A14-,45
580,21018A13-,26
581,21018A12-,49
582,21018A82-,15
583,21018A83-,27
584,21018A87-,18
585,21018A3MJ,148
586,21019A231,39
587,21019A242,30
588,21019A252,33
589,21019A131,68
590,21019A12-,15
591,21019A45-,30
592,21019A52-,43
593,21019A51-,62
594,21019A04-,38
595,21019A03-,47
596,21019A02-,13
597,21019A052,32
598,21019A001,64
599,21019A34-,46
600,21019A30-,39
601,21019A33-,68
602,21019A01-,30
603,21019A11-,34
604,21019A31-,43
605,21019A32-,117
606,21019A35-,42
607,21019A20-,45
608,21019A14-,57
609,21019A10-,83
610,21019A21-,53
611,21019A40-,112
612,21019A15-,61
613,21019A42-,41
614,21019A22-,14
615,21019A441,8
616,21019A41-,36
617,21019A43-,15
618,21001C6PB,12
